@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
63,7,146,280,van
54,6,126,196,van
62,8,142,253,van
64,8,129,246,van
56,10,160,367,van
65,9,146,281,van
55,7,138,251,van
69,8,148,307,van
52,6,129,206,van
63,9,143,309,van
69,8,136,279,van
64,10,141,265,van
68,10,137,308,van
64,10,153,357,van
61,7,140,278,van
64,7,143,246,van
54,5,127,213,van
64,9,148,339,van
61,11,145,338,van
56,9,144,237,van
58,11,158,373,van
54,10,151,352,van
56,6,130,211,van
55,12,158,351,van
58,8,148,294,van
57,8,136,260,van
59,8,139,289,van
57,10,170,351,van
51,7,144,262,van
68,9,142,268,van
63,11,160,367,van
49,7,145,249,van
64,7,145,272,van
61,9,152,323,van
48,8,141,258,van
58,9,142,268,van
57,11,167,365,van
64,11,167,375,van
64,10,158,363,van
66,9,144,347,van
55,3,122,203,van
59,11,158,362,van
53,7,139,249,van
59,6,130,243,van
52,5,128,207,van
56,11,155,363,van
97,46,149,332,van
62,8,144,318,van
59,6,137,223,van
63,10,148,334,van
64,9,149,359,van
60,8,134,265,van
64,9,148,324,van
58,6,132,222,van
56,6,137,209,van
56,4,129,208,van
61,8,135,265,van
60,9,156,333,van
53,6,140,247,van
52,8,140,253,van
53,6,129,218,van
66,9,147,339,van
68,8,144,305,van
55,11,161,369,van
68,9,147,305,van
62,9,127,258,van
64,8,144,283,van
64,11,163,387,van
55,8,146,253,van
60,10,155,355,van
58,4,125,205,van
53,7,144,254,van
67,10,157,365,van
67,9,150,363,van
58,11,153,376,van
63,8,134,284,van
65,9,141,314,van
52,5,135,241,van
55,5,128,212,van
66,11,158,355,van
51,7,141,284,van
64,11,163,352,van
53,9,165,358,van
67,10,149,367,van
68,10,148,354,van
52,8,139,243,van
58,9,145,330,van
49,7,142,261,van
59,8,139,241,van
66,11,155,381,van
126,49,156,346,van
59,11,160,370,van
66,8,140,290,van
59,8,130,291,van
56,11,162,365,van
56,10,164,354,van
48,7,139,261,van
61,9,130,266,van
57,3,128,204,van
65,9,145,314,van
58,7,128,237,van
57,9,143,330,van
66,11,159,368,van
52,7,143,275,van
60,11,159,374,van
58,10,163,371,van
58,11,160,371,van
58,9,155,345,van
57,6,144,227,van
56,11,167,366,van
54,2,121,208,van
63,11,157,372,van
62,8,137,281,van
55,11,150,350,van
63,9,140,319,van
61,7,127,223,van
62,10,148,312,van
61,8,142,249,van
60,9,135,262,van
68,10,156,357,van
64,11,157,371,van
102,43,160,347,van
105,55,145,289,van
66,9,147,334,van
63,8,148,300,van
56,11,156,362,van
66,25,139,296,van
60,6,141,246,van
58,11,157,349,van
60,7,134,212,van
64,9,143,285,van
56,5,124,207,van
64,9,139,311,van
133,48,163,364,van
58,7,140,225,van
62,8,150,294,van
63,9,148,316,van
56,6,135,195,van
60,6,130,253,van
59,7,129,246,van
65,10,156,348,van
59,7,139,225,van
55,5,128,219,van
62,5,132,194,van
56,8,144,251,van
52,9,137,238,van
62,11,156,366,van
64,10,160,389,van
62,9,134,280,van
57,10,149,339,van
65,12,157,354,van
55,11,160,354,van
52,6,144,282,van
54,10,153,351,van
55,8,135,256,van
56,7,145,240,van
64,10,161,363,van
70,12,155,358,van
56,7,143,247,van
59,9,158,356,van
66,8,145,331,van
63,10,157,367,van
58,6,138,275,van
57,6,125,200,van
63,8,150,309,van
56,10,155,364,van
59,7,142,259,van
64,8,145,281,van
54,10,149,359,van
53,7,137,250,van
59,7,133,278,van
67,10,149,351,van
72,10,159,379,van
62,9,152,325,van
68,10,139,317,van
64,8,145,279,van
58,10,144,345,van
54,5,132,209,van
63,11,165,354,van
57,6,125,238,saab
57,3,119,184,saab
56,6,123,263,saab
60,7,131,373,saab
66,10,149,612,saab
57,4,123,196,saab
66,10,164,659,saab
57,11,168,661,saab
72,10,171,698,saab
58,8,134,486,saab
62,6,125,265,saab
55,7,130,314,saab
59,5,143,344,saab
57,7,143,335,saab
66,9,148,543,saab
63,10,166,664,saab
69,12,168,684,saab
63,9,144,512,saab
61,10,150,578,saab
58,6,137,295,saab
64,9,135,465,saab
57,6,127,216,saab
63,10,159,576,saab
70,12,168,687,saab
61,8,150,402,saab
65,10,160,559,saab
64,9,151,390,saab
62,8,132,458,saab
59,9,140,459,saab
61,10,153,635,saab
60,12,162,691,saab
59,10,163,642,saab
56,7,141,297,saab
60,10,161,572,saab
57,12,162,674,saab
59,9,158,583,saab
60,8,133,334,saab
56,11,167,712,saab
56,8,149,357,saab
57,8,128,349,saab
60,12,162,573,saab
56,6,136,274,saab
63,11,175,720,saab
57,7,147,381,saab
62,12,170,694,saab
68,11,173,703,saab
60,8,148,373,saab
60,5,131,319,saab
59,10,156,635,saab
64,10,150,520,saab
59,7,124,298,saab
59,11,162,667,saab
55,5,128,295,saab
62,10,143,489,saab
64,11,158,607,saab
61,4,127,271,saab
59,4,133,279,saab
71,11,172,705,saab
56,6,148,382,saab
58,6,121,197,saab
58,6,136,337,saab
71,12,167,713,saab
55,4,127,245,saab
65,11,162,648,saab
63,12,168,712,saab
54,8,146,308,saab
51,6,130,299,saab
61,9,154,415,saab
63,10,152,604,saab
67,8,129,353,saab
64,11,172,707,saab
59,11,154,586,saab
65,10,164,587,saab
58,7,134,246,saab
60,11,156,663,saab
58,6,136,318,saab
59,7,132,426,saab
68,11,169,675,saab
60,11,153,458,saab
67,9,158,525,saab
60,7,128,331,saab
64,11,166,710,saab
59,5,135,260,saab
66,10,157,533,saab
58,8,142,293,saab
66,10,158,635,saab
61,8,128,298,saab
66,7,133,355,saab
60,9,134,433,saab
60,10,155,440,saab
64,10,152,600,saab
58,7,139,455,saab
56,11,162,673,saab
57,11,174,709,saab
66,11,165,623,saab
66,10,173,680,saab
69,10,170,718,saab
56,5,135,262,saab
60,9,149,370,saab
60,8,152,460,saab
55,10,168,660,saab
61,9,144,480,saab
67,10,162,621,saab
64,9,158,645,saab
58,8,133,471,saab
55,6,118,224,saab
59,7,131,389,saab
63,7,154,467,saab
65,12,163,668,saab
56,11,163,650,saab
68,11,172,709,saab
65,10,156,527,saab
60,8,133,383,saab
53,4,126,268,saab
68,10,166,640,saab
56,7,140,327,saab
60,8,128,367,saab
62,9,139,430,saab
62,11,146,505,saab
54,10,171,691,saab
69,8,156,506,saab
54,10,162,641,saab
67,12,173,721,saab
53,5,127,266,saab
64,9,150,586,saab
63,7,128,264,saab
66,11,167,677,saab
62,11,165,688,saab
59,8,144,360,saab
68,12,170,700,saab
66,7,151,452,saab
54,7,127,252,saab
61,11,157,637,saab
73,10,174,718,saab
53,6,131,305,saab
59,11,163,694,saab
61,11,159,665,saab
60,7,131,435,saab
64,9,138,415,saab
53,7,126,229,saab
56,11,159,676,saab
63,8,134,405,saab
60,9,147,578,saab
62,10,155,635,saab
62,11,164,608,saab
61,10,158,492,saab
66,9,143,552,saab
61,9,149,561,saab
62,7,133,330,saab
67,9,167,629,saab
55,7,132,314,saab
71,9,171,658,saab
61,9,134,365,saab
61,10,173,686,saab
56,7,126,361,saab
62,7,129,327,saab
64,11,171,669,saab
61,5,138,333,saab
63,9,155,472,saab
69,12,169,712,saab
58,5,130,230,saab
57,4,125,220,saab
62,6,139,308,saab
61,11,168,694,saab
53,8,127,277,saab
65,11,168,667,saab
65,11,167,696,saab
59,7,152,425,saab
64,8,153,427,saab
65,9,152,584,saab
63,9,138,508,saab
67,12,165,692,saab
59,8,129,351,saab
64,12,168,709,saab
59,9,134,418,saab
68,11,164,638,saab
63,11,168,704,saab
