@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
62,9,45,van
68,8,46,van
66,10,43,van
61,9,45,van
59,8,52,van
61,7,54,van
126,49,44,van
69,8,46,van
64,8,48,van
63,9,46,van
55,7,51,van
60,10,43,van
55,5,55,van
65,12,43,van
56,11,43,van
56,6,56,van
59,11,43,van
58,11,42,van
56,6,58,van
56,10,43,van
58,7,53,van
70,12,43,van
68,10,43,van
57,3,57,van
57,10,44,van
54,11,43,van
59,7,54,van
52,8,53,van
66,9,44,van
56,8,52,van
58,9,44,van
58,7,54,van
62,8,48,van
51,6,52,van
58,10,44,van
57,10,44,van
58,9,45,van
53,6,55,van
54,5,56,van
68,9,49,van
59,8,48,van
55,5,56,van
60,6,51,van
62,9,50,van
64,7,52,van
62,8,45,van
48,8,52,van
63,11,43,van
63,11,42,van
63,7,48,van
56,11,43,van
68,9,46,van
54,11,43,van
55,11,44,van
67,10,43,van
62,8,47,van
65,9,46,van
49,7,52,van
62,8,51,van
67,10,43,van
53,9,44,van
66,9,44,van
65,9,46,van
61,11,44,van
54,6,58,van
58,6,49,van
60,6,52,van
63,8,46,van
105,55,48,van
138,49,43,van
48,7,51,van
55,3,57,van
66,11,42,van
64,9,43,van
56,11,43,van
60,8,50,van
58,6,49,van
72,10,42,van
64,8,52,van
57,8,50,van
64,11,43,van
64,9,46,van
49,7,51,van
59,6,55,van
59,8,47,van
55,11,43,van
63,8,46,van
66,11,43,van
64,9,44,van
60,7,55,van
52,6,49,van
53,7,52,van
65,10,44,van
53,7,53,van
55,8,51,van
56,10,44,van
58,10,43,van
58,4,57,van
59,7,50,van
60,11,43,van
62,5,58,van
52,6,57,van
58,11,43,van
66,11,44,van
54,10,44,van
58,10,44,van
57,6,57,van
60,9,50,van
62,11,43,van
56,11,43,van
64,10,43,van
62,9,48,van
64,8,49,van
52,8,52,van
102,43,44,van
66,25,47,van
56,7,53,van
59,6,57,van
55,12,44,van
59,7,52,van
59,7,49,van
52,10,44,van
57,6,54,van
64,9,45,van
64,11,44,van
63,11,44,van
55,5,57,van
63,8,47,van
64,11,42,van
68,10,46,van
53,6,53,van
57,9,45,van
66,8,44,van
63,9,45,van
55,8,51,van
69,8,49,van
64,10,42,van
66,8,48,van
51,7,49,van
66,9,45,van
60,9,44,van
52,5,53,van
64,9,48,van
58,11,44,van
59,5,55,van
64,11,43,van
54,10,44,van
54,2,57,van
64,7,49,van
51,7,51,van
67,9,43,van
65,9,48,van
63,10,45,van
48,7,50,van
59,9,44,van
64,10,50,van
56,4,57,van
64,8,48,van
56,7,52,van
54,7,52,van
67,9,46,van
55,11,44,van
64,11,43,van
59,8,47,van
68,10,44,van
50,8,50,van
61,9,45,van
64,10,50,van
54,5,56,van
64,10,43,van
61,7,49,van
133,48,43,van
67,10,44,van
68,10,46,van
56,9,53,van
56,6,56,van
63,8,48,van
59,6,52,van
61,9,50,van
62,6,46,saab
54,7,46,saab
68,10,32,saab
61,9,34,saab
67,8,43,saab
66,10,32,saab
58,7,52,saab
59,7,43,saab
56,6,50,saab
67,12,30,saab
65,11,31,saab
65,10,33,saab
66,10,35,saab
69,12,31,saab
56,5,50,saab
56,6,41,saab
56,7,45,saab
59,8,43,saab
60,8,42,saab
66,7,38,saab
61,10,31,saab
60,11,35,saab
66,9,34,saab
67,9,35,saab
63,9,36,saab
63,7,37,saab
61,11,31,saab
59,9,38,saab
57,12,31,saab
60,9,34,saab
56,11,31,saab
59,9,40,saab
64,8,39,saab
56,7,47,saab
64,10,33,saab
62,11,36,saab
59,10,32,saab
63,9,38,saab
56,8,43,saab
60,10,34,saab
54,10,32,saab
68,11,32,saab
60,8,38,saab
64,12,32,saab
62,8,38,saab
63,12,31,saab
67,10,32,saab
58,5,54,saab
59,10,32,saab
56,7,42,saab
60,9,39,saab
62,12,31,saab
62,7,45,saab
64,11,31,saab
54,10,31,saab
64,9,33,saab
56,11,31,saab
57,4,59,saab
59,9,33,saab
53,4,59,saab
60,10,35,saab
62,9,39,saab
59,7,41,saab
57,8,43,saab
55,12,31,saab
64,6,41,saab
66,10,32,saab
59,11,32,saab
64,11,30,saab
53,7,54,saab
63,10,34,saab
55,6,48,saab
58,6,48,saab
60,12,34,saab
70,12,31,saab
58,6,46,saab
60,8,42,saab
58,11,32,saab
60,5,46,saab
68,12,31,saab
60,12,31,saab
63,11,30,saab
64,9,40,saab
57,4,55,saab
67,12,30,saab
62,7,45,saab
57,11,31,saab
61,11,32,saab
55,4,52,saab
65,10,35,saab
59,9,36,saab
56,11,32,saab
53,8,49,saab
64,12,31,saab
55,7,46,saab
57,6,56,saab
68,11,30,saab
62,10,31,saab
64,10,36,saab
67,12,31,saab
65,8,39,saab
61,5,45,saab
60,10,31,saab
58,7,50,saab
54,7,45,saab
64,11,31,saab
65,9,33,saab
60,11,31,saab
61,8,40,saab
68,11,31,saab
60,10,38,saab
56,7,44,saab
64,8,40,saab
55,10,32,saab
60,7,39,saab
63,11,30,saab
62,9,35,saab
60,11,38,saab
61,11,31,saab
66,9,35,saab
65,10,34,saab
63,8,40,saab
61,11,32,saab
58,8,47,saab
59,4,49,saab
57,6,52,saab
65,12,31,saab
65,11,31,saab
64,7,41,saab
58,6,44,saab
64,9,32,saab
68,11,31,saab
62,10,36,saab
54,8,46,saab
58,7,38,saab
58,6,58,saab
67,9,32,saab
53,4,50,saab
62,10,32,saab
60,9,42,saab
61,10,34,saab
73,10,30,saab
69,12,31,saab
56,11,31,saab
61,10,32,saab
66,9,35,saab
66,11,31,saab
61,10,36,saab
62,9,33,saab
62,11,31,saab
59,11,31,saab
66,10,33,saab
59,11,34,saab
66,7,43,saab
64,9,41,saab
61,9,43,saab
57,6,53,saab
60,7,45,saab
59,5,44,saab
62,11,30,saab
66,10,31,saab
51,6,47,saab
53,6,47,saab
60,7,42,saab
54,7,52,saab
65,12,31,saab
55,7,46,saab
66,11,31,saab
71,9,32,saab
68,8,42,saab
63,7,51,saab
61,9,40,saab
58,9,42,saab
60,8,41,saab
56,6,49,saab
53,5,50,saab
63,11,31,saab
69,10,30,saab
58,8,37,saab
59,7,41,saab
69,8,36,saab
59,8,42,saab
63,9,37,saab
62,6,50,saab
64,10,30,saab
71,11,31,saab
57,11,31,saab
61,9,37,saab
59,7,39,saab
55,5,48,saab
61,10,33,saab
63,8,35,saab
64,9,38,saab
66,11,32,saab
57,3,61,saab
51,5,26,bus
51,6,26,bus
69,6,41,bus
68,6,43,bus
54,6,46,bus
74,5,39,bus
73,6,41,bus
66,7,43,bus
69,6,36,bus
64,6,43,bus
68,7,44,bus
61,7,43,bus
66,5,43,bus
54,7,46,bus
61,6,37,bus
68,6,39,bus
71,7,39,bus
53,6,45,bus
56,7,44,bus
71,5,35,bus
70,6,35,bus
53,8,45,bus
65,5,33,bus
62,7,44,bus
58,4,29,bus
54,7,45,bus
49,7,27,bus
61,8,46,bus
71,7,42,bus
68,7,32,bus
65,6,32,bus
54,8,45,bus
65,5,42,bus
66,7,45,bus
51,6,26,bus
53,7,45,bus
65,6,42,bus
47,4,27,bus
55,8,46,bus
71,6,40,bus
60,6,44,bus
71,7,36,bus
126,52,45,bus
65,8,46,bus
73,7,36,bus
67,6,26,bus
53,6,26,bus
66,6,39,bus
56,6,46,bus
72,6,38,bus
56,6,26,bus
70,6,44,bus
62,5,32,bus
56,7,45,bus
69,22,45,bus
65,6,32,bus
47,4,28,bus
64,6,33,bus
71,5,37,bus
55,7,45,bus
64,7,45,bus
59,6,45,bus
70,6,45,bus
72,7,44,bus
64,5,36,bus
67,7,45,bus
70,6,42,bus
69,7,35,bus
66,6,45,bus
63,6,30,bus
65,6,46,bus
56,7,45,bus
62,7,44,bus
53,6,45,bus
51,8,26,bus
63,7,45,bus
75,7,42,bus
68,6,35,bus
57,8,46,bus
61,6,29,bus
67,4,27,bus
69,5,45,bus
70,7,41,bus
70,7,38,bus
56,7,45,bus
57,5,27,bus
54,7,45,bus
69,6,40,bus
65,22,45,bus
60,7,45,bus
72,8,42,bus
67,7,44,bus
52,6,26,bus
64,6,45,bus
68,7,45,bus
67,6,43,bus
64,6,46,bus
69,5,46,bus
68,7,43,bus
57,6,28,bus
74,5,32,bus
55,7,46,bus
56,6,46,bus
70,7,46,bus
74,7,41,bus
56,8,46,bus
67,6,34,bus
56,7,44,bus
59,7,27,bus
56,6,45,bus
58,7,46,bus
64,6,44,bus
64,6,46,bus
64,6,45,bus
59,8,45,bus
74,19,44,bus
60,7,45,bus
56,8,46,bus
55,7,28,bus
64,7,44,bus
69,6,36,bus
61,7,46,bus
69,5,38,bus
55,7,45,bus
64,6,47,bus
54,6,46,bus
66,7,44,bus
70,6,43,bus
74,5,39,bus
70,6,39,bus
48,5,27,bus
66,5,31,bus
56,6,46,bus
51,7,30,bus
65,7,44,bus
64,7,44,bus
53,7,46,bus
55,5,34,bus
67,7,45,bus
52,7,44,bus
73,6,41,bus
54,5,46,bus
62,8,44,bus
57,8,46,bus
58,8,45,bus
64,7,45,bus
59,7,45,bus
53,8,46,bus
68,6,37,bus
50,6,26,bus
65,7,37,bus
55,8,46,bus
68,7,44,bus
73,7,42,bus
69,7,44,bus
75,6,45,bus
51,6,46,bus
64,5,26,bus
62,7,46,bus
65,7,46,bus
72,8,42,bus
56,8,45,bus
75,6,28,bus
54,7,45,bus
59,6,44,bus
61,8,45,bus
69,7,43,bus
69,5,33,bus
58,6,45,bus
54,4,31,bus
60,7,33,bus
67,6,46,bus
64,7,45,bus
51,6,27,bus
57,6,45,bus
68,6,43,bus
66,6,44,bus
54,8,45,bus
74,6,35,bus
66,7,44,bus
70,7,40,bus
71,6,33,bus
65,5,31,bus
72,6,41,bus
71,6,43,bus
62,7,45,bus
75,6,38,bus
64,7,43,bus
76,7,44,bus
74,7,34,bus
53,7,46,bus
71,5,36,bus
54,4,30,bus
68,7,44,bus
57,7,28,bus
64,7,44,bus
72,7,35,bus
55,7,45,opel
55,7,45,opel
55,6,46,opel
60,7,37,opel
63,9,35,opel
65,9,32,opel
63,9,36,opel
64,8,42,opel
62,7,38,opel
59,10,32,opel
60,8,45,opel
59,7,44,opel
67,10,33,opel
57,3,59,opel
70,9,31,opel
55,6,54,opel
71,10,32,opel
59,5,52,opel
57,13,30,opel
55,7,55,opel
61,11,30,opel
56,10,31,opel
62,6,54,opel
62,7,41,opel
70,11,30,opel
57,11,31,opel
68,11,32,opel
59,6,46,opel
69,10,32,opel
56,7,46,opel
58,11,31,opel
62,10,36,opel
65,8,32,opel
65,9,37,opel
67,10,33,opel
62,10,37,opel
53,11,30,opel
56,7,53,opel
62,12,30,opel
63,9,34,opel
59,8,44,opel
56,7,54,opel
65,10,35,opel
57,10,30,opel
55,10,32,opel
62,9,38,opel
57,11,32,opel
57,11,31,opel
52,4,44,opel
59,7,42,opel
64,8,39,opel
58,8,48,opel
63,8,37,opel
59,7,41,opel
56,6,49,opel
60,8,42,opel
62,10,33,opel
61,7,46,opel
69,10,33,opel
56,7,48,opel
62,8,35,opel
55,7,48,opel
62,10,35,opel
61,8,37,opel
57,8,41,opel
64,10,35,opel
59,6,44,opel
55,9,39,opel
59,9,39,opel
67,9,35,opel
58,8,40,opel
58,10,30,opel
55,7,50,opel
63,9,34,opel
58,5,59,opel
62,12,33,opel
57,8,52,opel
62,9,41,opel
64,10,33,opel
70,10,35,opel
59,11,31,opel
57,11,31,opel
71,10,31,opel
65,10,31,opel
62,8,33,opel
55,11,31,opel
60,7,40,opel
