@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
95,92,20,van
89,77,20,van
91,88,19,van
94,87,20,van
89,66,18,van
88,60,18,van
84,70,18,van
94,82,20,van
97,87,20,van
93,85,19,van
100,90,20,van
90,63,18,van
98,70,18,van
89,68,18,van
83,73,18,van
85,64,17,van
91,70,18,van
87,81,19,van
87,66,18,van
98,78,18,van
91,66,18,van
95,82,19,van
89,79,19,van
86,66,17,van
89,89,19,van
98,68,18,van
88,58,18,van
90,77,20,van
95,66,18,van
93,70,18,van
92,66,18,van
85,47,17,van
89,85,20,van
100,85,20,van
83,49,17,van
86,60,17,van
90,85,20,van
89,85,19,van
93,79,19,van
88,64,18,van
89,51,17,van
89,63,17,van
87,64,18,van
90,73,20,van
94,91,20,van
93,64,18,van
96,87,19,van
91,60,17,van
92,58,17,van
92,66,19,van
94,68,18,van
85,51,17,van
89,85,19,van
90,78,20,van
85,71,19,van
85,57,17,van
88,53,17,van
98,68,18,van
89,78,20,van
84,53,17,van
94,84,20,van
92,70,18,van
96,88,19,van
91,84,19,van
89,74,18,van
85,68,18,van
89,76,20,van
94,66,18,van
83,53,18,van
88,80,19,van
83,62,17,van
94,66,18,van
90,62,18,van
98,88,20,van
96,88,19,van
90,81,19,van
88,84,19,van
94,87,20,van
90,75,20,van
90,69,18,van
93,78,18,van
89,51,17,van
85,66,17,van
89,80,20,van
95,88,20,van
83,59,18,van
90,66,18,van
93,75,18,van
86,62,17,van
91,80,19,van
92,82,19,van
86,69,18,van
84,70,18,van
87,52,17,van
94,81,19,van
93,62,18,van
95,83,20,van
84,80,20,van
90,85,19,van
94,68,18,van
92,60,17,van
96,85,19,van
94,85,20,van
91,77,18,van
93,78,18,van
93,82,19,van
91,82,19,van
94,82,19,van
90,78,20,van
85,80,19,van
86,58,17,van
94,72,18,van
86,62,17,van
89,77,19,van
89,68,18,van
91,64,18,van
89,70,18,van
85,73,18,van
97,66,18,van
90,86,19,van
85,68,18,van
90,78,20,van
86,75,20,van
96,70,18,van
97,91,19,van
89,84,20,van
94,85,19,van
96,77,18,van
93,63,18,van
88,84,20,van
89,83,20,van
88,66,17,van
93,64,18,van
95,84,19,van
98,66,18,van
88,55,18,van
88,51,17,van
91,78,19,van
90,85,20,van
91,76,18,van
90,85,20,van
87,81,19,van
89,58,17,van
86,78,18,van
90,80,20,van
93,83,20,van
95,82,20,van
86,60,17,van
93,85,19,van
89,84,19,van
89,81,20,van
86,68,18,van
90,73,20,van
93,70,18,van
90,72,18,van
90,81,19,van
91,66,18,van
86,76,18,van
95,76,19,van
94,87,20,van
89,81,20,van
89,85,19,van
93,88,19,van
87,53,17,van
93,64,18,van
88,85,20,van
95,85,19,van
97,88,20,van
88,76,18,van
96,58,18,van
86,70,18,van
92,62,17,van
93,84,20,van
90,72,18,van
87,64,18,van
97,62,18,van
89,74,20,van
94,85,20,van
96,80,19,van
113,93,24,saab
119,106,24,saab
104,106,23,saab
107,104,25,saab
104,105,24,saab
98,96,22,saab
100,102,23,saab
89,52,17,saab
111,103,24,saab
102,105,23,saab
94,77,20,saab
91,75,19,saab
82,66,18,saab
95,95,22,saab
95,71,20,saab
86,66,18,saab
101,101,24,saab
91,83,19,saab
91,79,20,saab
108,100,23,saab
93,81,20,saab
91,72,19,saab
93,98,22,saab
78,63,19,saab
97,88,21,saab
108,103,25,saab
101,112,24,saab
108,104,25,saab
112,110,24,saab
97,76,20,saab
94,85,20,saab
104,108,24,saab
88,77,18,saab
108,109,24,saab
85,53,17,saab
103,106,24,saab
105,108,24,saab
105,100,23,saab
88,58,19,saab
103,100,22,saab
107,96,24,saab
109,96,23,saab
87,74,19,saab
90,90,21,saab
96,94,22,saab
95,81,20,saab
85,75,19,saab
93,86,20,saab
92,83,20,saab
96,101,22,saab
97,95,22,saab
83,54,18,saab
91,83,21,saab
108,103,24,saab
104,101,24,saab
88,82,19,saab
91,77,19,saab
88,90,21,saab
104,105,24,saab
85,66,19,saab
104,100,24,saab
91,98,21,saab
102,104,23,saab
84,77,19,saab
108,103,23,saab
96,78,21,saab
106,98,24,saab
116,110,24,saab
106,101,25,saab
87,60,18,saab
109,103,25,saab
93,87,20,saab
109,104,24,saab
105,105,24,saab
92,86,20,saab
104,101,24,saab
90,66,17,saab
88,57,18,saab
90,57,17,saab
105,106,24,saab
100,88,21,saab
104,100,23,saab
98,109,23,saab
92,78,19,saab
89,89,21,saab
93,72,18,saab
90,66,18,saab
106,108,25,saab
102,101,25,saab
92,80,19,saab
91,72,19,saab
85,72,18,saab
115,100,24,saab
105,105,22,saab
104,108,24,saab
109,103,24,saab
99,105,23,saab
84,75,18,saab
98,78,20,saab
109,103,25,saab
