@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
88,74,19,bus
101,107,24,opel
82,72,19,bus
93,82,20,van
91,70,18,van
85,66,19,bus
89,84,20,van
98,84,22,bus
101,103,22,opel
87,71,19,bus
104,107,24,saab
85,77,19,opel
94,83,19,van
100,95,23,bus
106,106,24,saab
98,81,20,saab
84,53,17,saab
90,78,19,opel
93,85,20,van
104,89,24,bus
86,64,19,saab
85,40,17,saab
101,108,24,saab
85,75,20,van
91,88,21,saab
89,60,17,van
89,70,17,van
100,81,20,saab
87,70,19,bus
113,109,28,bus
89,72,19,bus
90,85,19,van
96,77,21,bus
93,90,19,van
86,75,19,bus
97,76,20,opel
101,105,24,opel
103,101,23,opel
80,64,18,opel
86,86,21,saab
89,77,20,saab
85,82,20,van
91,93,21,opel
106,98,25,opel
91,86,21,opel
101,98,22,saab
91,66,18,van
104,109,24,opel
106,105,27,bus
94,72,19,bus
103,107,25,opel
93,73,18,van
90,57,18,van
86,58,17,van
88,88,20,opel
94,69,19,saab
100,89,23,bus
90,85,20,saab
85,72,18,opel
88,69,18,opel
86,63,18,saab
86,70,19,bus
96,69,18,saab
89,77,19,saab
98,104,23,saab
86,44,17,van
103,83,21,opel
95,76,20,van
99,74,20,bus
89,82,19,saab
99,104,24,opel
82,70,18,van
100,109,25,opel
105,93,24,bus
93,85,19,van
93,90,22,saab
102,98,24,opel
91,101,23,opel
80,68,19,bus
96,64,18,van
83,68,19,bus
79,55,19,saab
83,69,18,opel
100,70,20,bus
82,51,18,saab
