@relation vehicle

@attribute Praxis_rectangular numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
19,196,206,van
17,186,190,van
18,189,190,van
19,192,202,van
18,201,208,van
18,196,205,van
20,185,195,van
19,190,200,van
20,182,191,van
19,184,196,van
17,179,183,van
18,189,196,van
18,183,184,van
17,197,202,van
19,194,203,van
20,184,193,van
18,193,201,van
20,189,199,van
17,180,183,van
19,189,200,van
17,200,207,van
20,190,200,van
17,196,203,van
17,179,183,van
17,181,185,van
17,202,208,van
18,191,194,van
18,201,209,van
18,190,201,van
18,190,194,van
18,194,202,van
17,181,184,van
18,201,207,van
17,181,185,van
18,190,199,van
17,190,194,van
17,193,198,van
20,183,195,van
20,183,192,van
18,191,197,van
18,193,201,van
18,184,185,van
19,191,201,van
17,199,207,van
17,180,184,van
20,183,193,van
19,185,195,van
18,177,183,van
19,186,197,van
20,183,191,van
20,186,197,van
18,183,183,van
19,187,196,van
18,188,194,van
17,181,183,van
18,191,199,van
18,189,196,van
19,188,198,van
19,185,196,van
20,189,200,van
20,183,193,van
19,196,204,van
18,201,209,van
18,183,182,van
17,180,183,van
20,182,192,van
20,185,193,van
18,186,187,van
19,187,199,van
17,199,206,van
19,197,207,van
20,184,193,van
17,186,190,van
19,182,183,van
18,197,204,van
18,186,187,van
20,182,191,van
19,195,204,van
18,195,196,van
20,182,191,van
18,193,202,van
19,199,207,van
20,192,200,van
19,192,201,van
19,186,197,van
19,189,199,van
18,191,194,van
20,183,195,van
18,181,182,van
20,184,197,van
20,183,194,van
17,190,194,van
18,183,185,van
18,185,185,van
19,185,194,van
17,184,186,van
20,184,195,van
20,183,192,van
19,199,206,van
19,194,202,van
19,185,196,van
18,201,208,van
20,183,193,van
18,201,208,van
19,186,196,van
18,195,203,van
18,186,186,van
19,188,200,van
18,201,208,van
19,199,207,van
20,194,202,van
20,183,192,van
17,180,184,van
17,192,198,van
18,196,201,van
18,201,209,van
20,185,195,van
20,183,194,van
18,176,183,van
18,194,202,van
19,189,199,van
20,184,191,van
20,189,196,van
18,195,200,van
18,196,203,van
18,184,184,van
19,189,199,van
18,184,186,van
18,187,191,van
20,184,195,van
17,193,199,van
20,192,202,van
20,185,195,van
19,188,196,van
19,192,199,van
18,202,209,van
17,186,190,van
18,192,201,van
19,199,207,van
18,176,183,van
20,183,192,van
18,190,199,van
20,185,194,van
20,183,191,van
20,182,191,van
18,182,187,van
18,188,196,van
18,192,202,van
20,182,192,van
19,197,205,van
18,203,210,van
19,184,196,van
20,189,198,van
18,192,196,van
18,193,204,van
20,182,192,van
19,186,197,van
18,194,201,van
19,199,206,van
18,182,184,van
18,191,190,van
19,187,200,van
18,188,191,van
20,184,193,van
19,188,197,van
18,192,201,van
17,180,183,van
19,185,196,van
19,188,197,van
20,183,194,van
20,182,193,van
19,194,202,van
18,187,188,van
18,193,201,van
17,199,204,van
20,187,195,van
20,182,193,van
17,200,208,van
17,197,203,van
21,189,196,saab
23,191,199,saab
24,189,197,saab
19,182,185,saab
18,190,195,saab
19,180,183,saab
23,196,205,saab
20,197,205,saab
21,195,204,saab
23,187,196,saab
24,188,198,saab
24,187,198,saab
25,187,197,saab
25,188,201,saab
21,195,205,saab
24,189,201,saab
25,187,200,saab
22,189,197,saab
25,187,197,saab
19,190,195,saab
23,193,204,saab
22,189,197,saab
21,188,194,saab
22,190,197,saab
17,183,190,saab
21,191,198,saab
23,194,205,saab
18,184,185,saab
19,193,200,saab
22,196,205,saab
20,187,193,saab
20,200,210,saab
25,187,201,saab
22,189,196,saab
17,185,189,saab
19,188,193,saab
19,185,189,saab
19,193,198,saab
23,192,205,saab
24,189,199,saab
24,194,205,saab
24,190,203,saab
19,182,187,saab
24,187,196,saab
24,193,207,saab
19,185,191,saab
18,180,184,saab
23,188,197,saab
20,191,198,saab
18,181,182,saab
18,198,205,saab
24,186,197,saab
20,190,197,saab
22,195,204,saab
20,192,197,saab
19,183,187,saab
25,189,199,saab
18,191,195,saab
24,185,195,saab
24,186,196,saab
22,188,196,saab
19,203,209,saab
22,198,211,saab
17,179,185,saab
24,185,194,saab
24,189,202,saab
20,198,206,saab
22,190,200,saab
21,189,195,saab
24,187,197,saab
21,201,210,saab
24,187,196,saab
25,188,199,saab
25,189,203,saab
24,189,201,saab
25,187,199,saab
24,190,203,saab
20,199,208,saab
25,189,196,saab
17,181,183,saab
20,192,199,saab
25,190,204,saab
23,191,201,saab
22,191,199,saab
24,187,198,saab
18,186,190,saab
19,186,191,saab
19,196,205,saab
24,188,197,saab
19,187,192,saab
20,195,201,saab
21,197,210,saab
19,188,193,saab
24,189,200,saab
24,188,197,saab
24,188,201,saab
22,192,201,saab
18,181,186,saab
24,192,206,saab
25,186,200,saab
24,191,202,saab
17,196,202,saab
19,189,195,saab
20,192,197,saab
21,192,199,saab
20,198,207,saab
24,188,199,saab
23,189,197,saab
23,189,198,saab
23,190,198,saab
18,202,209,saab
20,193,199,saab
18,186,192,saab
18,184,188,saab
22,198,208,saab
23,192,200,saab
19,184,189,saab
19,189,194,saab
19,197,204,saab
23,192,204,saab
24,190,200,saab
17,190,195,saab
20,192,199,saab
20,186,192,saab
17,181,184,saab
23,188,196,saab
19,196,203,saab
19,180,185,saab
24,187,197,saab
19,183,188,saab
18,200,206,saab
25,190,203,saab
22,193,202,saab
25,190,205,saab
22,193,201,saab
23,187,196,saab
24,187,198,saab
19,186,191,saab
21,195,205,saab
22,191,199,saab
24,190,199,saab
25,187,199,saab
25,188,199,saab
23,192,204,saab
21,195,202,saab
18,193,204,saab
20,188,195,saab
25,189,199,saab
20,196,208,saab
19,181,185,saab
23,189,197,saab
19,187,196,saab
24,188,201,saab
19,182,186,saab
20,194,201,saab
20,197,204,saab
24,190,202,saab
23,191,198,saab
21,192,202,saab
18,187,191,saab
21,199,208,saab
19,194,201,saab
21,189,195,saab
18,201,207,saab
24,187,197,saab
22,194,206,saab
21,196,205,saab
18,179,183,saab
24,190,201,saab
21,191,200,saab
24,188,198,saab
25,189,200,saab
20,192,199,saab
23,190,200,saab
21,191,199,saab
19,181,185,saab
18,183,187,saab
18,183,189,saab
24,192,202,saab
24,188,199,saab
23,194,205,saab
24,188,199,saab
24,188,197,saab
18,180,184,saab
25,189,201,saab
20,195,203,saab
24,189,199,saab
23,188,197,saab
19,195,201,saab
25,189,203,saab
20,186,191,saab
20,190,195,saab
20,186,191,saab
19,180,183,saab
18,180,183,saab
21,191,199,saab
28,182,184,bus
19,185,192,bus
