@relation wine

@attribute MalicAcid numeric
@attribute Hue numeric
@attribute Class {1,2,3}

@data
1.43,0.89,1
1.65,1.12,1
1.5,1.18,1
4.04,0.87,1
1.89,0.88,1
1.8,1.1,1
1.9,1.13,1
1.71,0.95,1
1.75,1.01,1
1.64,1.09,1
1.67,0.92,1
1.73,0.98,1
1.64,1.08,1
2.59,1.04,1
1.53,1.25,1
1.68,1.04,1
3.59,1.04,1
1.73,1.12,1
2.02,1.07,1
1.48,1.17,1
1.77,0.88,1
1.78,1.05,1
1.76,1.05,1
1.97,1.07,1
3.98,0.82,1
1.83,1.23,1
3.99,0.89,1
1.71,1.04,1
1.87,1.2,1
1.7,0.94,1
1.81,1.12,1
1.35,1.01,1
1.86,1.11,1
1.87,1.02,1
1.59,1.23,1
2.16,1.25,1
1.92,1.07,1
3.8,1.03,1
1.81,1.04,1
1.72,1.02,1
2.15,1.06,1
1.66,1.09,1
2.05,1.13,1
1.73,1.15,1
3.1,0.96,1
1.63,1.09,1
1.6,1.09,1
1.5,1.19,1
1.73,1.12,1
1.65,1.24,1
3.84,0.91,1
1.9,1.25,1
1.73,1.25,1
1.13,1.31,2
2.13,0.97,2
1.17,1.12,2
1.61,1.06,2
1.88,1.23,2
2.06,1,2
1.66,0.98,2
1.99,1.16,2
3.74,0.75,2
1.67,1.31,2
1.51,1.71,2
2.4,0.8,2
2.55,0.86,2
1.35,0.96,2
1.61,1.33,2
1.73,1,2
1.1,1.25,2
3.86,0.84,2
0.9,1.19,2
2.83,1.15,2
1.34,1.04,2
1.53,0.96,2
1.41,1.23,2
4.31,0.75,2
0.99,1.06,2
0.94,1.02,2
0.89,0.79,2
1.19,1.28,2
2.68,1.23,2
5.8,0.73,2
2.89,0.96,2
2.45,0.8,2
3.43,0.7,2
1.72,0.94,2
2.43,0.9,2
0.74,1.1,2
1.13,1.22,2
1.53,0.69,2
1.25,1.23,2
1.63,0.89,2
1.45,1.45,2
0.92,1.38,2
1.61,0.906,2
1.21,1.19,2
1.67,1.36,2
1.47,0.95,2
1.51,1.36,2
1.83,1.08,2
1.52,1.16,2
1.75,0.88,2
1.29,0.86,2
1.09,0.99,2
1.33,1.07,2
4.3,0.79,2
1.73,1.04,2
1.36,0.98,2
0.98,1.23,2
0.94,1.05,2
2.16,0.86,2
1.01,1.12,2
1.07,1.04,2
1.39,0.93,2
2.12,0.95,2
2.08,1.27,2
4.1,0.61,3
1.68,0.57,3
2.56,0.7,3
3.55,0.78,3
2.67,0.48,3
3.17,0.89,3
5.04,0.58,3
4.61,0.54,3
2.58,0.74,3
3.57,0.6,3
3.27,0.87,3
2.59,0.6,3
3.37,0.72,3
3.03,0.66,3
1.35,0.76,3
4.36,0.78,3
5.51,0.82,3
3.45,0.68,3
3.26,0.96,3
3.59,0.81,3
3.9,0.57,3
3.12,0.59,3
3.91,0.7,3
2.76,0.7,3
1.67,0.57,3
3.03,0.67,3
4.28,0.59,3
2.96,0.89,3
1.24,0.75,3
2.46,0.73,3
4.6,0.67,3
2.31,0.66,3
3.3,0.56,3
2.81,0.77,3
3.88,0.65,3
2.39,0.57,3
3.83,0.56,3
4.95,0.91,3
3.7,0.85,3
3.24,0.55,3
1.29,0.58,3
4.12,0.57,3
2.99,0.74,3
