@relation wine

@attribute TotalPhenols numeric
@attribute ColorIntensity numeric
@attribute Class {1,2,3}

@data
3.4,6.8,1
2.7,5.1,1
2.6,4.6,1
3,5.04,1
2.45,4.28,1
2.42,3.84,1
2.45,5.6,1
3,5.1,1
2.72,7.2,1
2.35,4.2,1
3.88,7.05,1
3,6.3,1
2.6,5.05,1
3.85,7.8,1
2.86,6.9,1
2.85,4.8,1
2.85,5.24,1
2.75,6.2,1
3.25,4.9,1
2.95,5.75,1
2.64,4.36,1
2.8,5.68,1
2.8,4.32,1
3,6,1
3.25,5.43,1
2.65,4.7,1
2.4,3.7,1
2.65,4.38,1
3.1,5.4,1
2.6,5.85,1
2.61,3.8,1
2.8,5.2,1
3,5.65,1
3.27,6.75,1
2.85,7.3,1
2.98,7.22,1
3.3,7.5,1
2.7,5.1,1
2.95,5.4,1
2.53,3.52,1
2.5,5.25,1
2.95,4.5,1
2.48,3.93,1
2.2,5,1
2.8,6.2,1
2.95,6.6,1
2.41,4.5,1
2.4,3.95,1
3.1,6.1,1
2.88,8.9,1
3.15,6.13,1
2.63,3.58,1
2.6,5.6,1
2.2,3.9,2
2.13,3,2
2.53,3.17,2
2,1.28,2
1.95,4.6,2
1.92,2.6,2
3.3,3.35,2
1.38,3.05,2
2.55,2,2
3.38,3.21,2
2,2.06,2
3.18,6,2
2.2,2.94,2
2.74,2.65,2
2.2,2.62,2
1.68,2.7,2
2.02,5.75,2
2,2.2,2
1.72,2.65,2
1.45,3.6,2
2.85,2.3,2
1.6,2.4,2
1.6,2.5,2
2.62,2.6,2
2.83,2.57,2
1.85,2.85,2
1.65,4.8,2
1.1,3.05,2
2.48,3.08,2
2.2,2.08,2
1.9,3.4,2
1.45,2.45,2
2.9,3.25,2
2.56,2.8,2
1.75,3.8,2
2.46,1.9,2
1.89,2.95,2
2.74,3.94,2
3.5,4.45,2
2.22,2.12,2
2.42,4.6,2
2.42,2.5,2
2.95,3.38,2
2.98,5.3,2
1.78,2.45,2
1.63,3.4,2
1.88,3.74,2
2.2,1.74,2
2.45,2.15,2
1.65,3.4,2
1.38,3.3,2
1.61,3.8,2
1.95,2.8,2
2.1,2.6,2
2.5,2.06,2
2.1,3.8,2
2.2,3.05,2
2.05,3.27,2
2.86,2.8,2
2.11,4.68,2
2.55,2.9,2
1.98,1.95,2
3.02,3.25,2
3.52,4.5,2
2.05,9.2,3
2.8,13,3
1.4,5.6,3
2,5.45,3
2.2,7.1,3
1.55,4.35,3
1.7,7.65,3
1.93,8.42,3
1.98,8.5,3
1.5,4,3
1.39,5.28,3
1.65,9.3,3
1.55,8.66,3
1.68,9.7,3
1.51,4.1,3
1.7,10.68,3
1.79,5,3
1.35,9.58,3
1.65,5.58,3
1.62,5.7,3
1.4,8.6,3
1.48,10.8,3
1.8,7.3,3
1.28,6.62,3
2.6,11.75,3
1.9,7.5,3
1.59,10.2,3
2.32,4.92,3
1.62,7.1,3
1.38,3.85,3
1.39,9.899999,3
1.7,5,3
1.8,10.52,3
1.54,4.6,3
1.38,8.21,3
1.68,7.7,3
2.3,7.65,3
2,4.4,3
1.48,10.26,3
1.41,9.4,3
1.48,7.6,3
1.74,7.9,3
1.3,5.4,3
