@relation wine

@attribute Alcohol numeric
@attribute Hue numeric
@attribute Class {1,2,3}

@data
14.22,0.94,1
13.51,1.1,1
13.48,1.04,1
13.05,0.88,1
14.22,0.89,1
13.58,1.09,1
13.83,1.24,1
13.05,1.12,1
13.05,1.12,1
13.76,1.25,1
13.82,1.01,1
13.77,1.13,1
14.39,1.02,1
13.16,1.03,1
13.73,1.19,1
13.05,1.13,1
14.21,0.87,1
14.1,1.07,1
14.38,1.04,1
13.86,1.01,1
13.41,0.91,1
13.2,1.05,1
14.37,0.86,1
13.56,0.98,1
13.56,0.95,1
14.02,1.04,1
13.28,1.09,1
14.23,1.04,1
13.75,1.15,1
13.74,0.92,1
12.93,1.03,1
14.06,1.06,1
13.64,0.96,1
13.24,1.04,1
13.63,1.28,1
14.83,1.08,1
14.38,1.2,1
14.19,1.23,1
13.68,1.23,1
12.85,1.09,1
14.2,1.05,1
13.3,1.02,1
13.71,1.11,1
14.1,1.25,1
14.3,1.07,1
13.83,1.13,1
14.06,1.09,1
13.39,0.92,1
13.9,0.91,1
13.94,1.12,1
13.07,1.18,1
13.5,1.12,1
14.12,1.17,1
12.08,1.31,2
11.79,0.97,2
13.34,1.02,2
11.45,0.8,2
11.84,0.96,2
11.64,1,2
11.96,0.99,2
12.29,1.15,2
11.46,0.75,2
11.66,1.23,2
12.77,0.7,2
12.42,0.92,2
12.51,1.04,2
11.61,0.96,2
12.16,1.33,2
12.25,1,2
12.33,1.25,2
13.05,0.84,2
12.33,1.06,2
12.69,0.96,2
12.29,1.42,2
12,1.05,2
11.81,0.95,2
11.87,0.75,2
12,1.38,2
12.21,1.28,2
11.84,0.79,2
12.29,0.906,2
12.08,0.93,2
13.05,0.73,2
12.7,1.19,2
12.08,1.27,2
11.56,0.93,2
12.6,1.04,2
12.52,0.9,2
11.82,0.95,2
12.17,1.45,2
12.43,0.69,2
13.67,1.23,2
12.37,0.89,2
12.37,1.19,2
12.72,1.16,2
13.49,0.98,2
13.11,1.12,2
11.65,1.36,2
12,0.93,2
12.99,1.31,2
12.08,1.08,2
11.62,1.16,2
12.72,0.88,2
12.22,0.86,2
13.03,1.19,2
12.08,1.07,2
12.04,0.79,2
11.82,0.94,2
12.64,0.98,2
12.67,1.23,2
12.37,1.05,2
12.07,0.86,2
12.37,1.12,2
12.29,1.23,2
12.42,1.06,2
12.47,1.16,2
12.37,1.04,2
14.13,0.61,3
12.45,0.67,3
12.93,0.77,3
12.7,0.78,3
12.79,0.48,3
13.36,0.7,3
13.16,0.6,3
13.88,0.58,3
13.58,0.74,3
12.25,0.65,3
13.69,0.96,3
13.17,0.6,3
12.82,0.72,3
14.16,0.62,3
12.86,0.76,3
13.78,0.7,3
12.25,0.75,3
12.85,0.87,3
12.36,0.56,3
12.53,0.82,3
13.32,0.55,3
13.5,0.59,3
13.4,0.7,3
12.96,0.68,3
14.34,0.57,3
13.84,0.57,3
13.27,0.59,3
13.49,0.81,3
12.51,0.75,3
12.6,0.73,3
12.2,0.66,3
12.81,0.66,3
13.11,0.61,3
12.84,0.89,3
13.62,0.91,3
13.71,0.64,3
13.48,0.57,3
13.52,0.89,3
13.73,0.78,3
12.87,0.54,3
13.23,0.56,3
13.17,0.6,3
12.88,0.74,3
