@relation australian

@attribute A6 numeric
@attribute A8 {0,1}
@attribute A9 {0,1}
@attribute A13 numeric
@attribute Class {0,1}

@data
4,0,0,168,0
4,1,1,200,1
8,0,0,340,0
4,0,0,280,0
1,0,0,280,0
4,0,0,120,0
5,1,0,184,0
4,1,0,120,0
1,0,0,62,0
4,1,0,160,1
4,0,0,184,0
4,0,0,431,1
8,1,0,100,1
1,0,1,200,0
4,1,1,184,1
1,0,1,200,0
4,1,1,320,1
5,0,0,73,0
4,1,1,0,1
8,1,0,240,1
4,1,1,290,1
4,0,1,160,0
8,1,1,399,1
4,0,0,0,0
4,1,0,100,1
4,1,1,396,1
4,1,1,108,1
4,0,0,140,0
4,1,1,383,1
4,0,0,280,0
4,1,0,260,1
4,1,0,440,1
4,0,0,224,0
4,1,0,240,0
2,0,1,320,0
4,1,1,56,1
4,1,1,208,0
4,1,0,0,0
4,0,0,184,0
1,0,1,200,0
4,1,0,288,0
5,1,0,349,1
4,1,1,300,1
4,1,1,200,1
4,0,0,200,0
7,0,0,132,0
4,0,0,300,0
4,0,0,240,0
4,0,0,0,0
8,0,0,240,0
4,1,1,200,0
5,0,0,300,0
8,1,0,24,1
4,1,0,360,1
4,1,0,0,1
4,1,0,40,1
8,1,1,220,1
4,1,1,120,1
4,1,0,70,1
4,1,0,440,0
1,1,1,180,0
4,0,0,110,0
4,1,0,230,1
4,0,0,100,0
4,0,1,280,0
4,1,0,160,1
4,0,0,411,0
4,1,1,380,1
4,0,0,0,0
