@relation australian

@attribute A5 numeric
@attribute A8 {0,1}
@attribute A12 {1,2,3}
@attribute Class {0,1}

@data
4,0,2,0
8,0,2,0
8,1,2,1
4,0,2,0
11,1,2,1
13,1,2,1
8,1,2,1
11,0,2,0
9,0,2,0
8,0,3,1
8,1,2,1
9,0,2,1
13,1,2,1
1,0,2,0
8,0,2,0
9,0,2,0
8,1,2,0
9,1,2,1
14,0,2,0
1,0,2,0
8,1,2,1
9,0,2,0
12,1,2,1
5,0,2,0
4,1,2,1
8,0,3,0
3,1,2,0
3,1,2,1
1,1,2,1
3,0,2,1
9,0,2,0
7,0,1,0
3,0,2,0
3,1,2,0
8,0,2,0
2,0,2,0
8,0,2,0
11,1,2,1
10,1,2,1
8,0,2,0
1,1,2,1
8,0,2,0
10,1,2,0
14,1,2,1
10,0,2,0
14,1,2,1
11,1,2,1
11,1,2,1
8,1,2,1
11,1,2,1
8,1,2,0
1,1,2,1
11,1,2,0
8,0,2,1
3,0,2,0
6,1,2,0
13,0,2,0
9,1,2,1
8,1,2,1
2,0,2,0
13,0,2,0
6,1,2,0
9,0,2,0
3,0,2,0
14,1,2,1
8,0,1,0
11,1,2,1
1,0,2,0
7,1,1,0
