@relation australian

@attribute A5 numeric
@attribute A7 numeric
@attribute A8 {0,1}
@attribute Class {0,1}

@data
8,425,1,1
9,2125,1,1
1,0,1,0
10,20,1,1
3,21,0,0
14,1,1,1
1,0,0,0
8,85,0,0
8,0,0,1
8,165,0,0
3,1585,0,0
11,1275,1,1
8,85,1,0
9,125,1,1
7,5,0,0
8,5,0,0
11,165,1,1
9,85,1,1
8,3335,0,0
10,0,0,0
1,15,0,0
14,125,1,1
5,0,1,0
4,0,0,0
8,1,0,0
4,85,0,0
2,165,0,0
13,2,1,0
11,15,1,1
11,8,1,1
14,875,1,1
10,13,1,1
1,0,0,0
8,5335,1,1
1,0,0,0
6,2,0,0
4,0,0,0
4,55,0,0
13,85,0,0
8,1,1,1
3,0,1,1
6,2,1,1
13,375,0,1
11,1,1,1
11,5,1,1
11,75,0,0
7,1165,0,0
9,75,1,1
3,1,0,0
3,225,1,1
14,1335,1,1
14,4,0,0
1,0,0,0
14,4,1,1
8,65,1,1
8,0,0,0
3,5,0,0
4,25,1,0
8,15,1,0
5,0,0,0
8,165,0,1
3,335,0,0
6,5,1,1
11,1585,1,1
6,165,0,0
8,5,0,0
13,4,1,1
3,335,0,0
10,4,0,1
