@relation australian

@attribute A8 {0,1}
@attribute A12 {1,2,3}
@attribute Class {0,1}

@data
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,1,0
0,2,0
0,2,0
1,2,0
0,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
1,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,1,0
0,1,0
0,2,0
0,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,1,0
1,2,0
1,1,0
0,2,0
0,2,0
1,2,0
1,2,0
0,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,1,0
1,2,0
1,1,0
0,2,0
0,2,0
0,1,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,3,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,1,0
0,2,0
0,2,0
1,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,1,0
1,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,3,0
0,2,0
0,2,0
0,2,0
0,1,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
1,2,0
0,2,0
1,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
1,2,0
0,2,0
0,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,1,0
1,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
1,2,0
1,1,0
0,2,0
0,2,0
1,1,0
0,2,0
0,1,0
1,1,0
0,1,0
0,2,0
1,2,0
0,1,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,1,0
1,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,1,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,2,0
0,1,0
0,2,0
0,2,0
0,2,0
0,2,0
1,2,0
1,2,0
0,2,0
0,3,0
0,2,0
1,2,0
0,2,0
0,1,0
0,2,0
0,2,0
1,2,0
0,2,0
0,1,0
0,2,0
1,2,0
1,1,0
0,2,0
0,2,0
0,2,0
0,2,0
0,1,0
0,1,0
1,2,0
0,2,0
1,2,0
0,2,0
0,2,0
0,2,0
0,2,0
1,1,0
0,2,0
0,2,0
1,2,0
0,2,0
1,1,0
0,2,0
0,2,0
0,2,0
0,1,0
1,1,0
0,2,0
1,2,0
0,2,0
1,2,0
1,2,0
1,2,0
1,2,0
0,2,0
0,2,0
1,2,0
0,2,0
0,2,0
1,1,0
0,2,0
0,2,0
1,2,1
0,1,1
1,1,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
0,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,1,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
0,3,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
0,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
0,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,1,1
1,2,1
1,2,1
0,1,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
0,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
0,1,1
1,2,1
1,2,1
1,2,1
0,2,1
1,2,1
1,2,1
1,2,1
0,2,1
1,1,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
