@relation australian

@attribute A8 {0,1}
@attribute A12 {1,2,3}
@attribute A13 numeric
@attribute Class {0,1}

@data
1,2,176,0
0,2,360,0
0,1,420,0
0,2,160,0
0,3,120,0
0,2,220,0
0,2,100,0
0,2,0,0
0,2,180,0
0,2,110,0
0,2,80,0
1,2,80,0
0,2,260,0
0,2,145,0
0,2,256,0
1,2,400,0
0,2,225,0
0,2,0,0
0,2,200,0
0,2,0,0
0,2,176,0
0,2,112,0
0,2,108,0
1,2,140,0
0,2,100,0
0,2,352,0
1,2,120,0
1,1,368,0
0,2,45,0
0,2,0,0
0,2,100,0
0,2,0,0
0,2,140,0
0,1,0,0
0,2,100,0
0,1,200,0
0,2,356,0
1,2,300,0
0,2,132,0
0,2,120,0
1,2,268,0
0,2,120,0
0,2,80,0
0,2,96,0
0,2,200,0
0,2,550,0
0,2,416,0
1,2,132,0
0,2,120,0
0,1,280,0
0,2,200,0
0,2,240,0
0,2,180,0
0,1,200,0
0,2,0,0
0,2,320,0
0,2,0,0
0,2,220,0
0,2,0,0
0,2,200,0
1,2,0,0
0,1,400,0
0,2,200,0
0,1,140,0
1,2,200,0
1,2,200,0
0,2,231,0
0,1,0,0
0,2,480,0
0,2,280,0
1,2,120,0
1,2,320,0
1,2,112,0
1,2,0,0
1,2,200,0
0,2,200,0
0,2,60,0
0,2,0,0
0,2,150,0
0,2,200,0
0,2,120,0
0,2,168,0
1,2,212,0
0,2,160,0
1,2,252,0
0,2,465,0
0,2,136,0
0,1,240,0
1,2,440,0
0,2,300,0
0,2,184,0
0,2,80,0
1,2,152,0
0,2,320,0
0,2,348,0
0,2,340,0
0,2,0,0
0,2,280,0
0,1,252,0
0,2,240,0
0,2,120,0
0,2,454,0
0,1,320,0
0,2,176,0
0,2,280,0
0,2,144,0
0,2,280,0
0,2,20,0
0,2,0,0
1,2,523,0
0,2,100,0
0,2,340,0
0,1,160,0
0,2,240,0
0,2,80,0
0,2,0,0
0,1,240,0
0,2,360,0
1,2,100,0
0,2,40,0
1,2,130,0
1,2,180,0
0,2,178,0
0,2,0,0
1,2,240,0
0,2,160,0
1,2,120,0
0,1,100,0
0,1,340,0
1,2,560,0
0,2,260,0
0,2,0,0
0,2,200,0
0,2,200,0
0,2,300,0
1,2,163,0
0,2,160,0
0,2,460,0
0,2,320,0
0,2,210,0
0,2,224,0
0,2,60,0
0,2,720,0
0,2,180,0
0,2,280,0
0,2,320,0
0,2,0,0
0,2,260,0
0,2,0,0
0,2,154,0
0,2,0,0
0,2,280,0
0,2,0,0
0,2,60,0
1,2,180,0
0,2,0,0
0,2,160,0
0,2,720,0
