@relation australian

@attribute A6 numeric
@attribute A8 {0,1}
@attribute A9 {0,1}
@attribute A13 numeric
@attribute Class {0,1}

@data
1,1,0,130,0
4,0,0,200,0
4,1,0,260,0
4,0,1,320,0
4,0,0,231,0
4,0,0,372,0
4,1,0,523,0
4,0,0,80,0
4,0,0,130,0
4,0,0,0,0
4,0,0,160,0
8,0,0,240,0
8,0,0,128,0
4,0,0,120,0
1,0,0,0,0
4,0,1,180,0
4,0,0,200,0
4,0,0,0,0
5,0,0,300,0
4,1,1,200,0
4,0,0,120,0
1,0,0,180,0
8,0,0,320,0
1,0,1,176,0
4,0,0,160,0
4,0,0,221,0
4,1,1,0,0
4,1,1,120,0
4,0,1,0,0
5,0,0,640,0
5,0,0,73,0
4,0,0,144,0
1,0,1,92,0
5,0,0,200,0
4,1,1,80,0
5,0,0,1160,0
5,0,0,420,0
5,0,0,232,0
4,0,0,0,0
4,0,0,80,0
4,0,0,80,0
4,0,1,0,0
4,0,0,144,0
5,0,0,100,0
1,0,0,340,0
4,0,0,160,0
1,0,0,0,0
4,0,1,225,0
1,0,0,120,0
4,0,0,280,0
5,0,0,348,0
2,0,0,260,0
4,0,0,160,0
4,0,0,160,0
5,0,0,0,0
5,0,0,210,0
4,0,0,200,0
3,1,0,100,0
4,1,0,100,0
4,0,0,80,0
4,0,1,40,0
8,0,0,0,0
8,1,1,100,0
8,0,0,0,0
4,0,0,360,0
4,0,0,300,0
4,0,0,0,0
1,0,0,100,0
4,0,0,160,0
4,0,0,200,0
8,0,0,260,0
8,1,0,112,0
4,1,1,160,0
1,0,1,200,0
4,0,0,280,0
8,0,0,240,0
4,1,0,440,0
4,0,0,0,0
4,1,0,160,0
4,0,1,200,0
4,1,1,180,0
5,0,0,720,0
4,0,0,132,0
4,0,0,60,0
4,0,0,360,0
1,0,0,160,0
8,0,0,20,0
4,0,0,0,0
4,0,0,220,0
4,0,1,2000,0
8,0,0,320,0
4,0,0,0,0
4,0,0,216,0
1,0,0,62,0
4,0,0,320,0
4,0,0,120,0
4,0,1,184,0
4,0,0,0,0
4,0,0,240,0
4,1,0,368,0
4,1,0,320,0
8,0,1,120,0
4,0,0,0,0
4,0,1,272,0
4,1,0,400,0
4,0,0,160,0
4,0,0,0,0
4,0,0,320,0
1,0,0,180,0
4,0,1,240,0
5,1,0,560,0
4,0,1,100,0
4,0,0,280,0
5,0,0,184,0
8,0,0,228,0
4,1,0,160,0
4,0,0,240,0
4,1,0,0,0
1,0,1,45,0
4,0,0,140,0
5,0,0,480,0
8,0,0,252,0
4,0,0,465,0
1,0,0,160,0
5,0,0,550,0
4,0,0,180,0
1,0,1,200,0
4,0,0,411,0
8,0,0,340,0
4,1,0,0,0
1,0,0,0,0
4,0,0,180,0
1,0,0,145,0
4,1,0,120,0
4,0,0,108,0
4,0,0,140,0
1,0,0,280,0
4,0,0,240,0
4,1,0,120,0
8,0,0,260,0
4,0,0,300,0
4,1,1,167,0
4,0,0,0,0
2,0,0,100,0
4,1,0,100,0
4,0,0,0,0
4,0,1,108,0
5,1,1,132,0
8,0,1,416,0
5,1,0,320,0
4,0,0,480,0
1,0,1,160,0
3,0,0,276,0
9,1,1,152,0
1,0,1,200,0
9,0,0,0,0
4,0,1,100,0
8,1,0,176,0
4,0,0,120,0
4,0,0,320,0
5,1,1,212,0
4,0,0,272,0
1,0,1,0,0
5,1,0,164,0
4,0,0,380,0
4,0,0,170,0
4,0,0,0,0
5,1,0,163,0
1,0,1,0,0
8,1,0,200,0
4,0,0,320,0
4,0,0,120,0
3,0,0,160,0
8,0,0,120,0
5,0,0,520,0
4,0,0,28,0
4,0,0,136,0
4,1,0,140,0
1,0,0,184,0
4,1,0,200,0
5,0,1,200,0
1,0,0,120,0
4,1,0,120,0
4,1,0,140,0
4,0,1,0,0
4,1,0,443,0
4,0,0,0,0
4,1,0,180,0
5,1,0,171,0
4,0,0,150,0
8,0,1,0,0
4,0,0,280,0
4,0,0,160,0
3,0,0,160,0
4,0,0,140,0
4,0,1,128,0
4,0,0,300,0
8,1,0,180,0
4,0,0,120,0
4,0,0,220,0
4,0,0,184,0
4,0,0,168,0
4,0,0,0,0
4,0,0,380,0
4,0,0,263,0
8,0,1,272,0
4,0,0,110,0
4,0,0,454,0
4,0,0,0,0
4,0,0,100,0
1,0,1,70,0
4,0,0,280,0
8,1,0,140,0
8,1,1,75,0
4,0,0,132,0
4,0,0,309,0
4,0,0,0,0
4,0,0,600,0
4,1,1,140,0
8,0,0,160,0
8,0,1,369,0
4,0,0,0,0
4,0,0,0,0
4,0,0,0,0
8,0,0,280,0
4,0,0,220,0
4,0,1,400,0
4,0,0,120,0
4,0,0,280,0
8,0,0,0,0
4,0,0,140,0
4,0,0,200,0
4,0,1,0,0
1,0,0,0,0
8,0,0,256,0
4,0,0,184,0
5,1,0,252,0
4,0,0,224,0
4,0,1,160,0
5,1,0,0,0
4,0,0,108,0
1,1,0,0,0
1,0,0,86,0
1,0,1,17,0
4,1,0,300,0
4,0,0,0,0
4,1,0,0,0
4,1,0,280,0
4,0,1,460,0
4,0,0,356,0
1,0,1,96,0
2,0,1,320,0
5,0,0,141,0
8,0,1,400,0
1,0,1,0,0
4,0,1,420,0
8,1,1,140,0
4,0,1,80,0
1,1,1,94,0
4,0,0,136,0
4,0,0,140,0
4,0,0,120,0
8,0,0,280,0
4,0,0,460,0
4,0,0,260,0
8,0,0,220,0
4,0,0,200,0
4,0,0,180,0
8,0,0,154,0
4,0,0,232,0
3,0,1,200,0
4,1,0,288,0
4,0,0,280,0
4,1,1,208,0
4,1,0,188,0
4,0,0,80,0
1,0,0,0,0
4,0,0,120,0
1,0,0,180,0
1,1,0,320,0
4,0,0,100,0
4,0,0,200,0
4,0,1,720,0
4,0,0,180,0
8,0,0,200,0
4,0,0,200,0
4,0,0,300,0
8,1,1,760,0
8,0,1,129,0
8,1,1,300,0
4,1,0,268,0
4,0,0,60,0
4,0,0,400,0
4,0,0,360,0
4,0,0,80,0
5,0,0,178,0
4,0,1,240,0
1,0,0,200,0
4,1,0,980,0
1,0,1,200,0
4,1,0,0,0
8,0,0,80,0
4,0,1,0,0
4,0,0,112,0
4,0,1,280,0
4,0,0,160,0
4,0,1,220,0
4,0,0,240,0
4,0,1,254,0
4,0,0,400,0
5,1,0,280,0
7,0,0,132,0
4,1,0,240,0
1,0,0,76,0
5,0,0,180,0
4,1,0,928,0
1,0,0,100,0
4,0,1,280,0
4,0,0,460,0
4,0,0,120,0
4,0,0,200,0
4,0,0,210,0
4,1,1,180,0
5,0,0,200,0
8,0,0,340,0
1,0,0,0,0
8,0,0,280,0
1,1,1,180,0
4,1,0,200,0
5,0,0,440,0
4,0,0,160,0
5,1,0,184,0
4,0,1,120,0
4,0,0,180,0
4,0,0,120,0
4,0,0,240,0
4,0,1,200,0
4,0,0,280,0
8,0,0,140,0
4,0,0,160,0
4,0,1,200,0
8,0,0,292,0
4,0,0,100,0
7,0,0,0,0
4,0,1,340,0
8,1,1,100,1
9,1,1,0,1
8,1,0,393,1
8,1,0,360,1
8,1,1,408,1
9,1,1,22,1
4,1,1,108,1
4,0,0,0,1
8,1,1,0,1
4,1,1,320,1
8,1,0,0,1
4,1,1,80,1
8,1,1,0,1
8,1,1,253,1
4,1,0,0,1
4,0,0,232,1
8,1,0,160,1
4,1,1,840,1
4,1,1,60,1
5,1,1,280,1
4,1,1,80,1
8,1,0,422,1
4,1,1,0,1
8,1,1,0,1
