@relation automobile

@attribute Normalized-losses numeric
@attribute Horsepower numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,114,15985,-2
103,162,18420,-2
65,92,10898,-1
65,92,11248,-1
93,123,25552,-1
110,88,8921,-1
95,134,21485,-1
74,114,13415,-1
74,114,16515,-1
95,114,16845,-1
137,116,9279,-1
65,92,9988,-1
65,92,8948,-1
65,73,10698,-1
93,123,28248,-1
95,160,19045,-1
90,156,15690,-1
95,114,22625,-1
93,123,31600,-1
74,162,18950,-1
115,84,8495,0
102,111,11259,0
161,95,16900,0
128,152,13499,0
161,95,17950,0
118,120,18280,0
188,121,20970,0
115,84,11245,0
102,82,7775,0
161,97,16630,0
85,111,11694,0
91,56,7788,0
192,101,16925,0
161,95,13200,0
89,94,10198,0
145,176,32250,0
91,62,8778,0
85,82,8013,0
106,97,9549,0
85,86,10295,0
85,101,12945,0
188,121,21105,0
115,84,10245,0
91,70,7738,0
102,82,7126,0
161,97,11900,0
93,123,28176,0
108,152,14399,0
106,97,8949,0
77,62,6918,0
91,70,6938,0
161,142,18150,0
161,95,15580,0
110,76,7295,0
91,70,7198,0
102,94,9960,0
91,56,7898,0
106,86,9095,0
89,82,7463,0
91,70,8358,0
106,86,7895,0
81,70,6575,0
122,69,7499,1
118,68,5572,1
119,68,5572,1
103,69,7999,1
125,88,8189,1
168,112,9538,1
154,68,6229,1
87,62,5348,1
128,55,7099,1
154,68,6692,1
129,84,8845,1
158,110,17710,1
231,160,18399,1
158,140,23875,1
168,70,8238,1
161,102,7689,1
168,112,9298,1
128,69,6649,1
107,100,10345,1
101,76,6529,1
154,68,7609,1
101,76,7129,1
148,68,7609,1
129,84,10595,1
101,60,5399,1
104,68,6095,1
98,70,6295,1
103,69,7349,1
168,70,8058,1
125,88,6989,1
128,69,7299,1
148,68,6692,1
113,68,7395,1
104,68,5195,1
125,116,9279,1
118,68,6377,1
128,69,5499,1
148,68,6229,1
118,102,7957,1
122,69,6849,1
113,68,6695,1
94,52,7995,2
134,116,17669,2
94,100,9995,2
94,85,8495,2
134,116,11549,2
134,116,9989,2
121,48,5151,2
164,102,13950,2
134,116,9639,2
83,69,5118,2
104,160,18620,2
122,52,7775,2
134,116,8449,2
83,73,7603,2
164,115,17450,2
137,58,6479,2
134,116,11199,2
161,68,6189,2
161,68,5389,2
168,69,8249,2
104,110,15510,2
104,110,12170,2
192,101,16430,2
94,68,9495,2
161,68,6669,2
94,85,8195,2
194,160,17199,3
197,161,15998,3
142,155,35056,3
150,160,18150,3
145,145,12964,3
194,200,19699,3
153,88,8499,3
186,143,22018,3
150,110,11850,3
256,90,9980,3
150,110,15040,3
197,161,16558,3
