@relation automobile

@attribute Height numeric
@attribute Curb-weight numeric
@attribute Engine-size numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
56.2,3045,130,18420,-2
56.2,2912,141,12940,-2
56.5,3515,183,25552,-1
55.5,3217,145,22470,-1
53.9,2458,122,11248,-1
55.5,2952,141,16845,-1
55.5,3062,141,22625,-1
54.9,2414,122,10898,-1
54.9,2480,110,10698,-1
56.3,3770,183,31600,-1
59.8,2535,122,8921,-1
55.5,3012,173,21485,-1
51.6,2403,110,9279,-1
57.5,3034,141,13415,-1
59.8,2535,122,8921,-1
53.9,2414,122,9988,-1
54.1,3131,171,15690,-1
58.7,3750,183,28248,-1
57.5,3042,141,16515,-1
57.5,3157,130,18950,-1
55.5,3049,141,19045,-1
59.1,2280,92,6918,0
54.3,2395,108,16925,0
52.8,2109,98,7198,0
52.8,2140,98,9258,0
56.1,3296,181,14399,0
56.7,3252,152,17950,0
52,1909,90,6575,0
53,2455,108,10198,0
54.3,2710,164,20970,0
52.5,2190,108,7775,0
53,2290,108,7463,0
52.8,2275,110,7788,0
54.3,2510,108,11259,0
53,2081,98,6938,0
55.5,2410,122,10245,0
54.7,2302,120,9549,0
56.7,3197,152,13200,0
54.4,2670,140,18280,0
54.1,2465,110,12945,0
54.9,2650,108,11694,0
54.3,2385,108,9233,0
55.5,2410,122,8495,0
53,2275,110,7898,0
54.3,2765,164,21105,0
56.7,3075,120,16630,0
53.3,2236,110,7895,0
56,3130,134,18150,0
56.7,3252,152,16900,0
53.3,2289,110,9095,0
54.9,2420,108,8013,0
55.1,3060,181,13499,0
56.7,3075,120,15580,0
56.7,3020,120,11900,0
54.5,2010,92,7295,0
54.1,2304,110,8845,0
58.3,2024,92,7295,0
55.5,2425,122,11245,0
52.5,2340,108,9960,0
52.8,4066,258,32250,0
52.5,2145,108,7126,0
59.1,3110,92,8778,0
54.1,2372,110,10295,0
59.1,2290,92,7898,0
55.1,3095,181,13499,0
53,2094,98,7738,0
54.5,1889,97,5499,1
53.3,2028,97,7799,1
54.5,1951,97,7299,1
54.5,1918,97,6649,1
54.5,2015,92,6488,1
54.5,1985,92,5348,1
52.6,2169,98,8058,1
52.6,2300,98,9538,1
50.8,2128,98,7957,1
54.1,1890,91,5195,1
54.1,1900,91,6095,1
52.6,1837,79,5399,1
50.8,1876,90,5572,1
50.8,2128,98,7957,1
50.8,1876,90,6377,1
54.1,1950,91,7395,1
51.6,2365,122,6989,1
50.8,1989,90,6692,1
55.9,3086,131,23875,1
54.5,2040,92,6338,1
53.5,2024,97,7349,1
50.6,1967,90,6229,1
52.6,1956,92,7129,1
52.6,2265,98,9298,1
52.6,1940,92,6529,1
53.7,2385,122,10595,1
50.8,1918,90,5572,1
50.6,1989,90,7609,1
51.6,2405,122,8189,1
50.8,2191,98,7609,1
52,1874,90,6295,1
54.1,1945,91,6695,1
52.6,2204,98,8238,1
54.5,1971,97,7499,1
50.8,2145,98,7689,1
54.5,1938,97,6849,1
55.7,2844,136,17710,1
54.1,1905,91,6795,1
51,2293,110,10345,1
51.6,2403,110,9279,1
53.5,2037,97,7999,1
54.5,2017,103,7099,1
50.8,1713,92,6479,2
54.3,2395,108,16430,2
53.3,2008,97,8249,2
54.3,2337,109,13950,2
53,2975,146,17669,2
52,2536,146,9639,2
52,2714,146,11549,2
52,2540,146,8449,2
55.7,2240,108,7603,2
50.8,2004,92,6669,2
53.7,2120,108,7053,2
55.7,2212,109,8195,2
56.1,2758,121,15510,2
50.8,1819,92,6855,2
55.7,2300,109,9995,2
55.7,2209,109,7975,2
54.3,2824,136,17450,2
52,2679,146,11199,2
55.7,2264,97,7995,2
50.8,1918,92,5389,2
55.7,2275,109,8495,2
53.7,2050,97,5118,2
50.8,1944,92,6189,2
55.7,2319,97,9495,2
56.1,2695,121,12170,2
55.7,2261,97,7775,2
49.4,2328,122,8499,3
50.2,2778,151,22018,3
49.7,3139,181,19699,3
56.1,2808,121,18150,3
52,3016,171,15998,3
56.1,2658,121,11850,3
52,2976,171,16558,3
56.1,2707,121,15040,3
50.2,2811,156,12964,3
49.7,3071,181,17199,3
49.4,2370,110,9959,3
