@relation automobile

@attribute Normalized-losses numeric
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Width numeric
@attribute Height numeric
@attribute Compression-ratio numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,rwd,67.2,56.2,9.5,28,-2
103,rwd,67.2,56.2,9.5,28,-2
65,fwd,66.5,53.9,8.7,32,-1
93,rwd,70.3,56.5,21.5,25,-1
74,rwd,67.2,57.5,9.5,28,-1
93,rwd,70.3,58.7,21.5,25,-1
74,rwd,67.2,57.5,9.5,28,-1
74,fwd,64.6,59.8,8.5,30,-1
95,rwd,68.9,55.5,23,27,-1
90,rwd,66.5,54.1,9.2,24,-1
110,fwd,64.6,59.8,8.5,30,-1
95,rwd,68.9,55.5,9.5,28,-1
65,fwd,66.5,54.9,8.7,34,-1
95,rwd,68.9,55.5,9.5,25,-1
95,rwd,68.8,55.5,8.7,25,-1
137,fwd,65.4,51.6,7.5,30,-1
93,rwd,71.7,56.3,21.5,25,-1
74,rwd,67.2,57.5,7.5,22,-1
65,fwd,66.5,53.9,8.7,32,-1
65,fwd,66.5,54.9,8.7,32,-1
106,fwd,65.2,53.3,9,33,0
91,fwd,64.4,52.8,9,34,0
93,rwd,70.3,54.9,21.5,25,0
85,4wd,65.4,54.9,7.7,23,0
188,rwd,64.8,54.3,9,28,0
85,fwd,62.5,54.1,9,33,0
102,fwd,65.4,52.5,9,32,0
188,rwd,64.8,54.3,9,28,0
161,rwd,68.4,56.7,8.4,24,0
81,4wd,63.6,59.1,9,32,0
192,rwd,64.8,54.3,8.8,29,0
161,rwd,68.4,56.7,21,33,0
91,fwd,64.4,53,22.5,36,0
91,fwd,64.4,52.8,9,34,0
118,rwd,66.1,54.4,8,27,0
85,fwd,65.2,54.1,9,28,0
85,4wd,65.4,54.9,9,29,0
77,fwd,63.6,59.1,9,37,0
91,fwd,64.4,52.8,9,37,0
102,4wd,65.4,54.3,9,25,0
161,rwd,68.4,56.7,8.4,24,0
91,fwd,64.4,52.8,22.5,47,0
89,fwd,65.4,53,9,31,0
145,rwd,69.6,52.8,8.1,19,0
115,fwd,66.5,55.5,8.6,32,0
128,fwd,66.5,55.1,9,22,0
91,4wd,63.6,59.1,9,32,0
106,fwd,65.2,53.3,9,33,0
161,rwd,68.3,56,7,24,0
110,fwd,64,54.5,9.2,34,0
106,fwd,65.2,54.7,8.5,34,0
89,fwd,65.4,53,9,32,0
85,fwd,65.2,54.1,9,33,0
115,fwd,66.5,55.5,8.6,32,0
161,rwd,68.4,56.7,21,33,0
161,rwd,68.4,56.7,8.4,24,0
78,fwd,63.9,58.3,9.2,34,0
161,rwd,68.4,56.7,21,33,0
102,4wd,65.4,54.3,7.7,29,0
106,fwd,65.2,54.7,8.5,34,0
81,fwd,63.6,52,9.6,43,0
108,fwd,66.5,56.1,9,22,0
108,fwd,66.5,55.1,9,25,0
113,fwd,64.2,54.1,9,38,1
128,fwd,63.8,54.5,9.4,37,1
148,fwd,63.8,50.6,9.4,38,1
154,fwd,63.8,50.8,9.4,38,1
103,fwd,63.8,53.5,9.4,37,1
119,fwd,63.8,50.8,9.4,41,1
118,fwd,63.8,50.8,9.41,41,1
104,fwd,64.2,54.1,9,38,1
122,fwd,63.8,54.5,9.4,37,1
87,fwd,63.6,54.5,9,39,1
104,fwd,64.2,54.1,9,38,1
125,fwd,65.4,51.6,7.5,30,1
118,fwd,63.8,50.8,7.6,30,1
122,fwd,63.8,54.5,9.4,37,1
98,fwd,63.6,52,9.6,43,1
161,fwd,63.8,50.8,7.6,30,1
128,fwd,63.8,54.5,21.9,50,1
103,fwd,63.8,53.5,9.4,37,1
128,fwd,63.8,54.5,9.4,37,1
148,fwd,63.8,50.6,9.4,38,1
168,rwd,64,52.6,9.4,29,1
168,rwd,64,52.6,9.4,29,1
128,fwd,63.8,53.3,9.4,37,1
168,rwd,64,52.6,9,34,1
118,fwd,63.8,50.8,9.4,38,1
231,rwd,67.9,49.7,9,25,1
154,fwd,63.8,50.6,9.4,38,1
