@relation contraceptive

@attribute Children numeric
@attribute Wife_religion numeric
@attribute Media_exposure numeric
@attribute Contraceptive_method {1,2,3}

@data
5,1,0,1
4,1,0,1
3,1,0,1
2,1,0,1
4,1,0,1
5,1,0,1
8,1,1,1
9,1,1,1
0,0,0,1
1,1,1,1
1,1,0,1
2,1,0,1
2,1,0,1
10,1,0,1
2,1,0,1
1,1,0,1
0,1,0,1
8,1,0,1
3,1,0,1
1,1,0,1
1,1,0,1
3,1,0,1
1,1,0,1
6,1,0,1
11,1,0,1
0,1,0,1
1,1,0,1
0,1,0,1
0,0,0,1
2,1,0,1
4,1,1,1
3,1,0,1
2,1,1,1
4,1,0,1
2,1,0,1
3,1,0,1
2,1,1,1
2,0,0,1
10,1,0,1
2,1,0,1
5,1,1,1
0,1,0,1
6,1,0,1
2,0,0,1
3,1,0,1
4,1,0,1
7,1,0,1
4,0,0,1
0,0,0,1
0,1,0,1
6,1,1,1
6,1,0,1
0,1,0,1
1,1,0,1
2,1,0,1
0,1,0,1
4,1,1,1
2,1,0,1
1,1,0,1
0,1,0,1
6,1,0,1
3,1,0,1
2,0,0,1
2,1,0,1
2,1,0,1
2,1,0,1
0,1,0,1
1,1,0,1
2,1,0,1
1,1,0,1
10,1,0,1
1,1,0,1
1,1,0,1
3,1,0,1
4,1,1,1
1,1,0,1
0,0,0,1
2,0,0,1
2,1,1,1
2,1,0,1
3,0,0,1
4,1,0,1
5,1,0,1
0,0,0,1
3,1,0,1
2,0,0,1
2,1,0,1
2,1,0,1
1,1,0,1
1,1,0,1
0,0,0,1
4,1,0,1
1,1,0,1
5,1,0,1
7,0,0,1
0,1,0,1
1,1,0,1
6,1,0,1
1,0,0,1
9,1,0,1
0,1,0,1
5,1,1,1
0,1,0,1
5,0,0,1
2,1,1,1
0,1,0,1
1,0,0,1
6,1,0,1
1,1,0,1
1,1,0,1
6,1,0,1
4,1,0,1
7,1,0,1
3,1,0,1
2,1,0,1
1,1,0,1
2,0,0,1
2,1,0,1
3,1,1,1
3,1,0,1
6,1,0,1
0,1,0,1
2,1,0,1
2,1,0,1
3,1,1,1
4,1,1,1
1,1,0,1
1,1,0,1
2,1,1,1
8,1,1,1
11,1,0,1
1,1,0,1
8,1,0,1
6,1,0,1
8,1,1,1
1,1,0,1
3,1,0,1
1,1,0,1
1,0,0,1
2,1,0,1
8,1,1,1
4,1,0,1
6,0,0,1
0,1,0,1
2,1,0,1
1,1,0,1
5,1,0,1
2,1,0,1
5,1,0,1
8,1,1,1
9,1,0,1
5,0,0,1
5,1,0,1
6,1,0,1
0,1,0,1
1,1,0,1
0,1,0,1
0,1,0,1
6,1,0,1
2,1,0,1
10,1,0,1
3,0,0,1
4,1,0,1
1,1,0,1
6,1,1,1
3,0,0,1
1,0,0,1
3,1,0,1
1,1,0,1
0,0,0,1
1,1,0,1
0,1,0,1
0,1,0,1
5,1,0,1
1,1,0,1
2,1,0,1
8,1,0,1
11,1,0,1
0,1,0,1
2,1,0,1
1,1,0,1
1,1,0,1
1,0,0,1
3,1,0,1
3,1,1,1
5,0,0,1
1,1,0,1
1,1,0,1
6,1,0,1
1,1,0,1
1,1,0,1
5,1,0,1
3,1,0,1
8,1,0,1
2,1,0,1
0,1,0,1
3,1,0,1
3,1,0,1
0,1,0,1
8,1,0,1
3,1,0,1
0,1,0,1
1,1,0,1
4,1,0,1
0,0,0,1
10,1,0,1
2,1,0,1
1,1,0,1
2,1,0,1
5,1,0,1
11,1,1,1
