@relation contraceptive

@attribute Wife_age numeric
@attribute Wife_education numeric
@attribute Children numeric
@attribute Contraceptive_method {1,2,3}

@data
36,1,1,1
44,1,0,1
25,3,1,1
29,3,1,1
40,3,8,1
49,2,4,1
27,2,5,1
30,1,7,1
34,4,2,1
33,4,0,1
26,2,1,1
36,4,3,1
45,2,2,1
33,4,5,1
49,4,6,1
47,4,1,1
42,3,3,1
47,2,2,1
34,3,8,1
34,4,1,1
26,4,1,1
25,2,1,1
21,3,2,1
38,2,6,1
29,3,4,1
30,3,5,1
32,3,1,1
28,4,1,1
42,1,12,1
37,1,2,1
49,2,10,1
47,4,1,1
30,2,4,1
36,2,6,1
21,4,1,1
48,1,7,1
30,4,1,1
43,2,6,1
42,3,8,1
35,4,1,1
20,3,0,1
33,4,3,1
42,3,10,1
31,3,1,1
27,3,3,1
43,4,6,1
21,1,0,1
21,2,3,1
25,3,1,1
28,3,0,1
40,4,3,1
39,3,1,1
36,1,2,1
36,2,6,1
25,3,1,1
32,3,4,1
47,2,7,1
26,2,0,1
21,2,0,1
31,4,0,1
41,2,5,1
29,4,0,1
28,4,3,1
35,3,2,1
19,3,2,1
45,2,6,1
28,2,1,1
36,4,4,1
43,1,8,1
26,4,4,1
16,3,1,1
30,4,4,1
24,4,1,1
42,1,11,1
30,4,0,1
31,4,3,1
41,3,3,1
22,2,0,1
42,2,1,1
43,2,3,1
35,4,3,1
49,4,6,1
28,2,1,1
21,3,1,1
27,4,3,1
22,2,1,1
26,2,3,1
25,2,0,1
49,1,8,1
25,2,2,1
47,2,12,1
27,1,4,1
29,3,3,1
22,1,0,1
19,2,0,1
39,2,6,1
29,2,2,1
42,4,0,1
34,1,4,1
30,4,3,1
43,1,1,1
36,3,3,1
22,2,1,1
25,3,1,1
26,2,3,1
22,4,0,1
35,4,2,1
47,1,4,1
28,4,3,1
43,1,8,1
39,3,3,1
22,2,1,1
46,1,7,1
27,2,1,1
25,4,1,1
19,4,0,1
47,4,4,1
23,3,2,1
42,4,1,1
49,4,6,1
30,3,5,1
42,3,5,1
44,1,2,1
20,3,2,1
26,3,3,1
33,4,2,1
29,3,4,1
21,2,1,1
39,1,2,1
20,2,3,1
34,2,9,1
23,4,1,1
25,3,1,1
21,3,0,1
43,1,8,1
18,3,0,1
48,3,3,1
44,4,5,1
27,2,3,1
34,4,0,1
20,2,1,1
45,3,2,1
49,3,5,1
29,3,2,1
22,2,0,1
24,2,2,1
47,2,5,1
23,4,1,1
24,2,2,1
19,3,1,1
49,1,5,1
41,3,11,1
19,3,1,1
30,1,5,1
25,2,0,1
24,2,3,1
33,2,2,1
20,2,1,1
49,4,5,1
37,2,8,1
40,2,8,1
21,3,0,1
35,3,5,1
35,2,8,1
27,4,2,1
31,4,2,1
47,1,7,1
48,2,3,1
39,3,6,1
44,3,2,1
30,2,2,1
39,2,5,1
26,2,2,1
43,3,4,1
46,3,5,1
34,4,3,1
29,4,0,1
21,2,2,1
25,2,1,1
45,1,5,1
26,2,0,1
28,3,1,1
38,2,5,1
46,1,3,1
20,4,0,1
39,3,1,1
35,3,1,1
20,2,0,1
37,3,2,1
