@relation contraceptive

@attribute Wife_age numeric
@attribute Husband_education numeric
@attribute Standard-of-living numeric
@attribute Contraceptive_method {1,2,3}

@data
31,4,2,1
31,4,4,1
40,4,3,1
34,4,3,1
36,4,3,1
37,4,1,1
30,3,1,1
28,4,4,1
19,3,2,1
45,4,3,1
44,4,3,1
43,3,2,1
28,4,1,1
47,4,3,1
41,4,4,1
35,4,4,1
45,4,2,1
45,4,4,1
49,1,4,1
44,1,1,1
36,4,4,1
36,4,4,1
21,4,1,1
46,2,2,1
33,4,3,1
35,3,2,1
24,4,2,1
47,4,4,1
29,2,4,1
24,4,4,1
30,3,4,1
44,3,3,1
28,4,1,1
22,4,4,1
38,3,4,1
39,4,4,1
38,4,2,1
33,4,4,1
25,4,4,2
30,4,4,2
26,4,3,2
37,4,4,2
37,3,4,2
39,4,4,2
31,4,4,2
26,4,4,2
35,4,4,2
30,1,3,2
33,4,4,2
35,3,3,2
36,2,2,2
27,3,4,2
44,4,4,2
42,3,4,2
44,4,4,2
40,4,3,2
45,4,4,2
40,4,4,2
30,4,4,2
30,3,3,2
32,4,4,2
17,2,2,3
30,2,4,3
26,4,4,3
42,4,4,3
21,3,2,3
32,4,3,3
25,2,1,3
32,4,4,3
23,4,3,3
26,4,3,3
33,4,3,3
25,4,4,3
37,4,4,3
33,4,3,3
44,4,4,3
19,4,4,3
30,3,1,3
29,3,4,3
21,3,3,3
25,3,1,3
32,3,2,3
38,3,4,3
22,4,4,3
29,4,2,3
38,4,2,3
32,4,2,3
29,4,4,3
27,4,4,3
28,3,3,3
33,4,2,3
35,3,4,3
28,4,4,3
32,4,2,3
20,4,4,3
22,2,4,3
41,2,3,1
23,2,3,1
26,4,4,1
35,4,3,1
32,3,3,1
27,2,4,1
42,4,4,1
43,4,3,1
22,4,4,1
46,4,4,1
30,3,4,1
47,4,3,1
48,4,3,1
45,4,3,1
38,2,1,1
45,4,3,1
35,4,4,1
18,4,3,1
21,4,4,1
43,4,3,1
22,4,4,1
48,4,3,1
29,4,3,1
42,4,4,1
47,2,4,1
32,4,2,2
25,4,4,2
35,4,2,2
23,4,3,2
22,3,3,2
26,4,4,2
32,4,4,2
33,4,4,2
38,4,4,2
34,2,4,2
24,4,4,3
28,3,4,3
33,3,3,3
37,4,4,3
31,2,3,3
36,2,1,3
30,2,3,3
25,4,3,3
34,4,4,3
42,4,4,3
21,2,4,3
22,4,4,3
45,3,4,3
19,4,3,3
26,2,4,3
33,3,2,3
