@relation contraceptive

@attribute Wife_age numeric
@attribute Children numeric
@attribute Contraceptive_method {1,2,3}

@data
25,2,1
47,7,1
48,11,1
25,1,1
32,4,1
24,4,1
42,10,1
36,4,1
22,2,1
27,2,1
45,0,1
47,2,1
36,5,1
43,6,1
49,8,1
43,8,1
45,4,1
30,3,1
42,10,1
19,2,1
45,0,1
21,0,1
37,2,1
41,1,1
34,2,1
36,2,1
40,2,1
45,6,1
40,4,1
26,4,1
38,6,1
29,4,1
26,1,1
28,1,1
45,3,1
25,1,1
35,1,1
40,2,1
42,5,1
38,2,1
21,1,1
24,2,1
28,0,1
34,4,1
27,0,1
29,1,1
32,2,1
47,5,1
30,2,1
26,0,1
18,0,1
23,6,1
25,2,1
45,5,1
25,1,1
32,1,1
47,1,1
24,2,1
33,5,1
40,3,1
45,1,1
48,8,1
42,1,1
26,3,1
45,2,1
27,0,1
26,0,1
26,3,1
47,7,1
43,6,1
22,0,1
24,1,1
29,0,1
28,1,1
49,1,1
26,2,1
43,5,1
40,8,1
22,0,1
40,6,1
26,1,1
42,11,1
37,5,1
30,0,1
31,2,1
20,2,1
44,6,1
43,2,1
42,9,1
39,3,1
47,1,1
24,0,1
39,5,1
23,2,1
24,0,1
39,6,1
40,3,1
31,6,1
25,2,1
40,8,1
26,2,1
22,0,1
24,2,1
25,0,1
37,0,1
35,8,1
43,4,1
30,0,1
47,3,1
37,5,1
20,0,1
47,12,1
38,4,1
28,1,1
19,0,1
25,1,1
27,1,1
31,1,1
28,5,1
48,5,1
44,3,1
34,3,1
21,0,1
22,2,1
49,5,1
31,2,1
20,0,1
35,6,1
45,0,1
34,6,1
48,8,1
22,2,1
32,5,1
25,1,1
49,6,1
38,3,1
25,3,1
23,2,1
26,3,1
31,4,1
27,3,1
36,2,1
19,0,1
49,6,1
37,4,1
31,0,1
45,1,1
25,4,1
33,0,1
28,2,1
48,4,1
29,7,1
34,1,1
24,1,1
21,0,1
47,1,1
22,0,1
41,3,1
43,7,1
24,1,1
22,0,1
24,2,1
45,11,1
39,6,1
42,2,1
21,2,1
29,1,1
26,1,1
21,0,1
46,8,1
31,2,1
35,2,1
29,0,1
36,2,1
41,1,1
38,2,1
32,4,1
44,8,1
26,1,1
48,4,1
48,7,1
32,0,1
27,1,1
37,1,1
27,1,1
32,4,1
43,5,1
28,3,1
28,1,1
21,1,1
24,3,1
47,8,1
34,6,1
47,1,1
39,6,1
44,4,1
49,4,1
23,2,1
31,1,1
32,4,1
38,5,1
28,0,1
23,2,1
36,8,1
32,4,1
38,5,1
25,1,1
44,7,1
47,4,1
22,2,1
22,1,1
49,5,1
26,1,1
36,5,1
33,1,1
23,2,1
34,9,1
25,0,1
38,1,1
25,0,1
33,3,1
21,1,1
22,0,1
17,3,1
22,2,1
34,7,1
39,2,1
36,4,1
34,3,1
47,4,1
27,1,1
28,0,1
26,0,1
24,2,1
25,3,1
46,11,1
45,0,1
24,1,1
47,3,1
46,8,1
47,7,1
37,2,1
21,1,1
34,4,1
44,1,1
37,2,1
38,12,1
30,4,1
19,0,1
48,3,1
32,3,1
26,1,1
46,3,1
46,1,1
39,2,1
29,2,1
39,5,1
29,0,1
49,7,1
48,5,1
30,1,1
18,1,1
20,2,1
29,0,1
36,3,1
36,1,1
48,6,1
26,3,1
46,6,1
47,2,1
24,0,1
42,8,1
38,10,1
42,3,1
22,0,1
31,5,1
28,1,1
29,2,1
