@relation crx

@attribute A3 numeric
@attribute A9 {t,f}
@attribute A11 numeric
@attribute Class {positive,negative}

@data
55,t,1,positive
925,t,4,positive
979,t,8,positive
446,t,3,positive
846,f,0,positive
5,t,11,positive
165,t,0,positive
529,t,5,positive
3335,t,14,positive
1835,t,0,positive
7625,t,12,positive
15,t,14,positive
95,t,0,positive
115,t,9,positive
5,t,6,positive
65,t,15,positive
15,f,0,positive
504,t,8,positive
1025,t,2,positive
65,t,12,positive
1,t,11,positive
835,t,1,positive
254,t,0,positive
25,t,11,positive
4,t,0,positive
9,t,2,positive
425,t,1,positive
25,t,0,positive
1125,f,0,positive
5875,t,10,positive
996,t,0,positive
15,t,3,positive
12335,t,0,positive
621,t,1,positive
425,t,16,positive
3,t,19,positive
11,t,7,positive
1835,t,5,positive
4,f,0,positive
13585,t,0,positive
125,t,0,positive
5,t,0,positive
11,t,11,positive
2125,t,1,positive
375,f,0,positive
65,t,7,positive
11,t,6,positive
275,t,5,positive
11835,t,0,positive
55,t,0,positive
75,t,1,positive
13,t,9,positive
4625,t,2,positive
10,t,0,positive
85,t,1,positive
9,t,5,positive
304,t,1,positive
185,t,17,positive
254,t,0,positive
75,t,0,positive
154,t,1,positive
6,t,5,positive
10,t,14,positive
146,t,16,positive
5125,t,0,positive
15,t,11,positive
171,t,5,positive
1375,t,0,positive
604,f,0,positive
7,t,3,positive
14,t,11,positive
875,t,0,positive
229,t,7,positive
5,t,1,positive
65,t,1,positive
95,t,6,positive
1233,t,6,positive
3,t,0,positive
4415,t,10,positive
2875,t,0,positive
4415,t,0,positive
25085,t,3,positive
11,t,0,positive
15,t,3,positive
425,t,0,positive
6,t,3,positive
104,t,0,positive
0,f,0,positive
83,f,0,positive
75,t,1,positive
105,t,0,positive
21,t,0,positive
105,t,7,positive
1125,t,17,positive
125,t,0,positive
95,t,0,positive
46,t,4,positive
875,t,3,positive
22,f,0,positive
1254,t,3,positive
10,t,11,positive
54,t,3,positive
1,t,0,positive
0,t,0,positive
175,t,0,positive
25,t,12,positive
0,t,1,positive
5625,t,0,positive
55,t,12,positive
6665,t,3,positive
375,t,9,positive
16,t,15,positive
704,t,6,positive
585,t,2,positive
