@relation crx

@attribute A9 {t,f}
@attribute A11 numeric
@attribute Class {positive,negative}

@data
t,1,positive
t,14,positive
t,11,positive
t,5,positive
t,0,positive
t,1,positive
t,0,positive
t,2,positive
t,0,positive
t,14,positive
t,40,positive
t,3,positive
t,5,positive
t,0,positive
t,1,positive
t,0,positive
t,7,positive
t,1,positive
t,12,positive
t,7,positive
t,15,positive
t,0,positive
t,14,positive
t,2,positive
t,7,positive
t,11,positive
t,6,positive
t,2,positive
t,10,positive
t,5,positive
t,12,positive
t,1,positive
f,0,positive
t,0,positive
t,12,positive
t,3,positive
t,5,positive
t,3,positive
t,4,positive
t,4,positive
t,8,positive
t,5,positive
t,1,positive
t,0,positive
t,67,positive
t,8,positive
f,0,positive
t,2,positive
t,0,positive
t,6,positive
t,0,positive
t,9,positive
t,0,positive
t,6,positive
f,0,positive
t,1,positive
t,4,positive
t,5,positive
t,1,positive
t,6,positive
t,0,positive
f,0,positive
t,7,positive
t,2,positive
t,7,positive
t,2,positive
t,5,positive
t,6,positive
t,0,positive
t,2,positive
t,0,positive
t,0,positive
t,13,positive
t,1,positive
t,15,positive
t,0,positive
t,6,positive
t,9,positive
f,0,positive
t,0,positive
t,4,positive
t,5,positive
t,0,positive
f,0,positive
t,0,positive
t,1,positive
t,17,positive
t,0,positive
t,2,positive
t,1,positive
t,1,positive
t,0,positive
t,3,positive
t,4,positive
t,16,positive
t,0,positive
t,20,positive
t,5,positive
t,0,positive
t,4,positive
t,0,positive
t,9,positive
t,0,positive
t,3,positive
t,2,positive
t,0,positive
t,11,positive
t,3,positive
t,16,positive
f,0,positive
t,0,positive
t,4,positive
t,11,positive
t,1,positive
t,7,positive
t,12,positive
t,5,positive
t,0,positive
t,11,positive
t,0,positive
t,11,positive
t,0,positive
t,8,positive
t,3,positive
t,1,positive
t,0,positive
t,23,positive
t,2,positive
t,0,positive
t,6,positive
t,6,positive
t,8,positive
t,1,positive
t,3,positive
t,0,positive
t,0,positive
t,4,positive
t,7,positive
f,0,positive
t,14,positive
t,0,positive
f,0,positive
t,8,positive
t,3,positive
t,6,positive
t,0,positive
t,11,positive
t,2,positive
t,0,positive
t,0,positive
t,7,positive
t,19,positive
t,0,positive
t,3,positive
t,14,positive
t,5,positive
t,8,positive
t,9,positive
t,0,positive
t,11,positive
t,0,positive
f,0,positive
t,1,positive
t,1,positive
t,1,positive
t,0,positive
t,6,positive
t,9,positive
t,3,positive
t,11,positive
t,15,positive
t,6,positive
t,1,positive
t,0,positive
t,6,positive
t,0,positive
t,9,positive
t,7,positive
t,11,positive
t,11,positive
t,0,positive
t,6,positive
t,0,positive
t,7,positive
t,2,positive
t,0,positive
t,0,positive
t,11,positive
t,10,positive
t,5,positive
t,7,positive
t,4,positive
t,11,positive
t,0,positive
t,3,positive
t,3,positive
t,5,positive
t,0,positive
t,6,positive
t,0,positive
t,0,positive
t,2,positive
t,6,positive
t,7,positive
t,8,positive
t,14,positive
t,0,positive
t,3,positive
t,3,positive
t,7,positive
f,0,positive
t,10,positive
f,0,positive
t,4,positive
f,1,positive
t,11,positive
t,14,positive
t,3,positive
t,3,positive
t,12,positive
t,0,positive
t,0,positive
t,0,positive
t,8,positive
t,17,positive
t,0,positive
t,0,positive
f,0,positive
t,2,positive
t,0,positive
t,12,positive
t,0,positive
t,2,positive
t,9,positive
t,9,positive
t,8,positive
t,3,positive
t,8,positive
t,0,positive
t,11,positive
t,1,positive
t,0,positive
t,16,positive
t,1,positive
t,1,positive
t,6,positive
t,0,positive
t,7,positive
f,0,positive
t,2,positive
t,0,positive
t,0,positive
t,14,positive
f,0,positive
t,1,positive
t,4,positive
t,1,positive
t,12,positive
t,1,positive
t,11,positive
t,1,positive
t,5,positive
t,1,positive
t,7,positive
t,6,positive
f,0,negative
t,5,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
t,3,negative
f,0,negative
f,0,negative
t,0,negative
f,0,negative
t,0,negative
f,2,negative
f,0,negative
f,1,negative
f,0,negative
t,0,negative
f,1,negative
f,0,negative
f,0,negative
f,1,negative
t,20,negative
t,0,negative
t,0,negative
f,0,negative
t,0,negative
f,0,negative
t,3,negative
f,0,negative
f,0,negative
f,1,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
f,0,negative
f,1,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,1,negative
f,0,negative
t,7,negative
f,0,negative
f,0,negative
t,0,negative
t,0,negative
f,6,negative
f,6,negative
t,3,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
f,2,negative
f,1,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,1,negative
f,0,negative
f,0,negative
f,0,negative
f,1,negative
t,0,negative
f,0,negative
f,0,negative
t,0,negative
f,0,negative
f,1,negative
f,0,negative
f,4,negative
f,0,negative
f,0,negative
f,2,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,1,negative
f,1,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,1,negative
f,0,negative
f,0,negative
f,3,negative
f,1,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
t,2,negative
f,5,negative
f,0,negative
f,0,negative
t,1,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
t,6,negative
t,0,negative
t,0,negative
f,3,negative
f,2,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,2,negative
f,0,negative
t,0,negative
f,0,negative
t,0,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
t,3,negative
t,2,negative
t,2,negative
t,1,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
f,1,negative
f,1,negative
f,1,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,1,negative
f,0,negative
f,0,negative
f,0,negative
f,1,negative
f,2,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,12,negative
f,0,negative
t,10,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
t,3,negative
f,0,negative
f,0,negative
t,2,negative
f,0,negative
f,2,negative
f,0,negative
f,10,negative
f,1,negative
f,0,negative
t,0,negative
t,1,negative
f,0,negative
f,10,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
t,3,negative
f,0,negative
f,0,negative
f,0,negative
f,2,negative
t,0,negative
f,0,negative
f,0,negative
t,2,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
f,2,negative
t,0,negative
f,0,negative
t,0,negative
f,0,negative
t,0,negative
t,10,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,1,negative
f,0,negative
t,0,negative
f,2,negative
f,0,negative
f,0,negative
f,1,negative
f,1,negative
f,1,negative
f,0,negative
f,1,negative
f,0,negative
f,1,negative
f,0,negative
f,1,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
t,0,negative
f,0,negative
f,4,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,1,negative
f,0,negative
f,0,negative
f,2,negative
f,0,negative
t,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,2,negative
t,0,negative
t,0,negative
t,0,negative
f,0,negative
f,0,negative
f,2,negative
f,0,negative
f,0,negative
f,2,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,1,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,11,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,0,negative
f,2,negative
f,1,negative
f,4,negative
f,0,negative
t,0,negative
f,0,negative
