@relation crx

@attribute A9 {t,f}
@attribute A13 {g,s,p}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
t,g,280,positive
t,g,0,positive
t,g,400,positive
t,g,0,positive
t,g,0,positive
t,g,434,positive
f,g,150,positive
t,g,180,positive
t,g,120,positive
t,g,381,positive
t,g,250,positive
t,g,80,positive
t,g,120,positive
t,g,0,positive
t,g,0,positive
t,g,80,positive
t,g,80,positive
t,g,0,positive
t,g,274,positive
t,g,0,positive
t,g,99,positive
t,g,260,positive
t,g,0,positive
t,g,260,positive
t,g,515,positive
t,g,0,positive
t,g,320,positive
t,g,400,positive
t,g,80,positive
t,g,144,positive
t,g,200,positive
t,g,440,positive
t,g,0,positive
t,g,0,positive
f,g,200,positive
t,g,380,positive
t,g,60,positive
f,s,711,positive
t,g,100,positive
t,g,253,positive
t,s,100,positive
t,g,220,positive
t,g,0,positive
t,s,80,positive
t,g,352,positive
t,g,0,positive
t,s,110,positive
t,g,120,positive
t,g,0,positive
t,g,380,positive
t,g,0,positive
t,s,120,positive
t,g,239,positive
t,g,120,positive
t,g,303,positive
t,g,583,positive
t,g,260,positive
t,g,0,positive
t,g,240,positive
t,g,487,positive
t,g,140,positive
t,g,0,positive
t,g,56,positive
t,g,520,positive
t,g,480,positive
t,g,100,positive
t,g,0,positive
t,g,340,positive
t,g,0,positive
t,g,92,positive
t,s,20,positive
t,g,0,positive
t,g,360,positive
t,g,154,positive
t,g,500,positive
t,g,0,positive
t,g,160,positive
t,g,0,positive
t,g,120,positive
t,g,0,positive
t,g,0,positive
t,g,145,positive
f,g,128,positive
t,g,49,positive
t,g,349,positive
t,g,455,positive
t,g,510,positive
t,g,0,positive
t,g,232,positive
t,g,228,positive
t,g,0,positive
t,g,30,positive
t,s,280,positive
t,g,24,positive
t,g,32,positive
t,g,160,positive
t,g,100,positive
t,g,129,positive
t,g,0,positive
t,g,311,positive
t,g,0,positive
t,g,100,positive
t,g,0,positive
f,p,450,positive
t,g,96,positive
t,g,0,positive
t,g,400,positive
t,g,0,positive
t,g,100,positive
t,g,80,positive
t,g,0,positive
t,s,0,positive
t,g,0,positive
t,g,0,positive
t,g,408,positive
t,g,0,positive
t,g,0,positive
t,g,156,positive
t,g,100,positive
t,g,80,positive
t,g,0,positive
t,g,280,positive
t,g,380,positive
t,g,520,positive
t,g,21,positive
t,g,160,positive
t,g,0,positive
t,g,360,positive
t,g,420,positive
t,g,395,positive
t,g,0,positive
t,g,0,positive
t,g,0,positive
t,g,168,positive
t,g,108,positive
t,g,80,positive
t,g,80,positive
t,g,181,positive
t,g,80,positive
f,g,0,positive
t,g,180,positive
t,g,375,positive
t,g,100,positive
t,g,0,positive
t,s,230,positive
t,g,0,positive
t,g,60,positive
t,g,520,positive
t,g,0,positive
t,g,0,positive
t,g,371,positive
f,g,300,positive
t,g,200,positive
t,s,40,positive
t,g,160,positive
t,g,0,positive
t,g,120,positive
t,g,195,positive
t,g,202,positive
t,g,100,positive
t,g,360,positive
t,g,280,positive
t,g,260,positive
t,g,396,positive
t,g,150,positive
t,g,440,positive
t,g,0,positive
f,g,232,positive
f,g,216,positive
t,g,0,positive
t,g,200,positive
