@relation crx

@attribute A5 {g,p,gg}
@attribute A9 {t,f}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
g,t,80,positive
g,t,0,positive
g,f,128,positive
g,t,80,positive
g,t,0,positive
g,t,280,positive
g,t,383,positive
g,t,96,positive
g,t,232,positive
g,t,360,positive
g,f,150,positive
g,t,352,positive
p,t,370,positive
g,t,0,positive
g,t,0,positive
g,t,120,positive
g,t,60,positive
g,t,228,positive
g,t,100,positive
p,f,431,positive
g,t,0,positive
g,f,100,positive
p,f,232,positive
g,t,150,positive
p,t,200,positive
g,t,220,positive
g,t,70,positive
g,t,0,positive
g,t,0,positive
g,t,0,positive
g,t,129,positive
g,t,0,positive
g,t,32,positive
g,t,120,positive
p,t,320,positive
p,t,80,positive
p,t,380,positive
g,t,396,positive
g,t,515,positive
g,t,0,positive
g,t,80,positive
p,t,455,positive
p,t,260,positive
g,t,0,positive
g,t,0,positive
g,t,260,positive
g,t,96,positive
g,t,333,positive
g,t,0,positive
g,t,0,positive
g,t,100,positive
g,t,0,positive
g,t,200,positive
g,t,186,positive
g,t,92,positive
g,t,0,positive
g,t,487,positive
g,t,400,positive
g,t,120,positive
g,t,80,positive
g,t,380,positive
g,t,100,positive
g,t,375,positive
g,t,0,positive
g,t,280,positive
g,t,0,positive
g,t,0,positive
p,t,280,positive
g,t,0,positive
g,t,29,positive
g,t,420,positive
g,t,225,positive
g,t,0,positive
g,t,160,positive
g,t,0,positive
g,t,160,positive
g,t,300,positive
g,t,49,positive
p,t,40,positive
p,f,164,positive
g,t,60,positive
g,t,583,positive
g,t,274,positive
p,t,0,positive
gg,f,300,positive
g,t,0,positive
g,t,100,positive
g,t,510,positive
g,t,80,positive
g,t,0,positive
g,t,100,positive
g,t,40,positive
g,t,100,positive
g,f,0,positive
g,t,0,positive
g,t,399,positive
g,t,80,positive
g,t,0,positive
g,t,0,positive
p,t,180,positive
g,f,0,positive
g,t,80,positive
g,t,100,positive
g,t,0,positive
gg,f,450,positive
g,t,250,positive
p,t,160,positive
g,t,0,positive
p,t,160,positive
g,t,200,positive
g,t,395,positive
g,t,500,positive
g,t,156,positive
g,t,60,positive
g,t,0,positive
p,t,100,positive
p,t,240,positive
g,t,396,positive
g,t,240,positive
g,t,230,positive
g,t,88,positive
g,t,120,positive
g,t,290,positive
g,t,181,positive
g,t,56,positive
g,t,164,positive
g,t,400,positive
g,t,100,positive
g,t,100,positive
g,t,121,positive
g,t,80,positive
g,t,410,positive
g,t,181,positive
g,t,0,positive
g,t,0,positive
g,t,0,positive
p,f,500,positive
g,t,260,positive
g,t,80,positive
g,t,400,positive
g,t,0,positive
p,t,120,positive
g,t,520,positive
g,t,320,positive
g,t,311,positive
g,t,120,positive
g,t,303,positive
g,t,253,positive
p,t,432,positive
g,t,0,positive
g,t,160,positive
p,t,52,positive
g,t,280,positive
p,t,0,positive
g,t,50,positive
g,f,711,positive
g,t,0,positive
p,t,840,positive
g,t,220,positive
g,t,21,positive
g,t,0,positive
g,t,220,positive
g,t,0,positive
g,t,350,positive
g,t,312,positive
g,t,60,positive
p,t,393,positive
g,t,181,positive
g,t,202,positive
p,t,0,positive
p,t,260,positive
p,t,70,positive
g,t,70,positive
p,t,211,positive
g,t,60,positive
g,t,399,positive
g,t,120,positive
g,t,80,positive
p,t,0,positive
g,f,216,positive
g,t,168,positive
p,t,144,positive
g,f,290,positive
g,t,330,positive
g,t,24,positive
p,t,100,positive
g,f,300,positive
g,t,0,positive
g,t,440,positive
g,t,381,positive
g,t,80,positive
g,t,0,positive
g,t,0,positive
g,t,0,positive
g,t,108,positive
g,t,239,positive
g,t,110,positive
g,t,0,positive
g,t,312,positive
g,t,519,positive
g,t,100,positive
g,t,140,positive
g,t,0,positive
g,t,0,positive
g,t,0,positive
g,t,491,positive
g,t,0,positive
g,t,440,positive
g,t,300,positive
p,t,180,positive
p,t,370,positive
g,t,0,positive
g,t,0,positive
g,t,120,positive
g,t,99,positive
g,t,520,positive
g,t,0,positive
g,t,120,positive
g,t,204,positive
g,t,0,positive
p,t,154,positive
g,t,434,positive
g,t,40,positive
