@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Alm1 numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
4,31,29,39,cp
61,45,35,41,cp
4,46,35,44,cp
29,41,38,46,cp
47,47,16,26,cp
23,32,25,35,cp
36,56,45,53,cp
44,42,25,2,cp
37,44,39,47,cp
29,3,3,17,cp
41,51,2,31,cp
24,57,34,43,cp
59,49,45,36,cp
23,34,26,37,cp
34,35,49,56,cp
38,26,16,28,cp
29,37,44,52,cp
51,49,14,26,cp
4,5,39,47,cp
31,47,28,39,cp
52,57,47,54,cp
34,45,24,35,cp
24,34,3,4,cp
65,47,3,4,cp
44,49,38,4,cp
34,51,37,46,cp
28,33,22,33,cp
44,56,46,54,cp
22,36,39,47,cp
44,51,26,36,cp
23,4,28,38,cp
52,36,28,38,cp
5,49,46,53,cp
41,57,21,32,cp
26,5,32,41,cp
38,4,25,35,cp
67,39,38,46,cp
26,4,26,37,cp
38,44,2,31,cp
2,44,51,57,cp
44,35,55,61,cp
43,37,35,44,cp
4,42,27,27,cp
43,32,45,52,cp
16,43,27,37,cp
36,54,38,46,cp
39,32,24,35,cp
3,37,41,49,cp
33,47,18,29,cp
0,38,48,55,cp
25,37,33,42,cp
56,51,37,46,cp
25,4,44,52,cp
29,52,29,39,cp
37,5,36,45,cp
53,38,26,36,cp
56,4,37,46,cp
29,28,42,5,cp
42,24,27,37,cp
53,42,29,39,cp
3,16,11,23,cp
34,46,35,44,cp
34,42,34,43,cp
4,35,33,42,cp
41,43,24,25,cp
41,48,44,51,cp
28,38,33,42,cp
35,48,4,48,cp
49,43,3,4,cp
54,47,33,42,cp
33,45,32,41,cp
21,51,32,41,cp
22,43,16,28,cp
51,37,36,45,cp
38,46,22,29,cp
42,3,26,36,cp
22,34,29,39,cp
44,35,52,59,cp
39,31,34,43,cp
24,35,19,31,cp
34,28,35,44,cp
24,43,52,59,cp
24,41,23,34,cp
42,35,15,27,cp
34,33,35,44,cp
4,29,35,44,cp
64,76,35,38,cp
29,47,23,34,cp
3,37,18,3,cp
25,51,42,5,cp
3,45,21,32,cp
25,26,32,42,cp
4,41,22,33,cp
29,28,23,34,cp
37,52,42,36,cp
32,42,28,38,cp
47,28,2,25,cp
26,26,25,35,cp
17,38,42,5,cp
38,3,29,39,cp
51,5,32,35,cp
27,3,28,39,cp
44,28,27,37,cp
49,29,24,35,cp
7,4,35,44,cp
51,46,31,41,cp
44,34,33,43,cp
25,37,26,36,cp
35,37,34,43,cp
4,45,22,0,cp
61,36,35,44,cp
32,33,6,2,cp
5,51,23,34,cp
36,41,47,54,cp
4,46,49,56,cp
44,27,52,58,cp
35,34,3,27,cp
52,44,36,42,cp
47,29,33,43,cp
24,43,28,38,cp
42,4,18,3,cp
17,39,3,39,cp
42,38,34,43,cp
21,34,28,39,cp
34,55,31,41,cp
31,23,5,14,cp
65,55,37,28,cp
18,3,24,35,cp
23,58,53,59,cp
5,37,64,69,im
3,51,61,34,im
51,4,62,67,im
73,36,91,92,im
12,43,7,74,im
83,37,71,74,im
31,36,94,94,im
31,44,79,82,im
71,4,7,74,im
44,52,47,54,im
5,66,92,92,im
52,39,71,73,im
33,37,65,69,im
36,45,79,17,im
47,59,76,79,im
64,58,78,73,im
59,56,8,82,im
1,49,67,21,im
74,44,88,89,im
4,5,82,84,im
16,51,39,48,im
27,35,77,79,im
34,49,85,8,im
49,42,79,81,im
12,67,58,63,im
11,5,72,68,im
63,54,79,81,im
48,41,9,88,im
72,46,66,7,im
66,53,66,66,im
7,4,86,83,im
6,46,81,83,im
69,39,76,79,im
33,56,78,8,im
5,57,61,66,im
54,49,87,88,im
61,52,67,52,im
6,5,77,8,im
74,7,65,69,im
48,45,78,8,im
63,47,82,84,im
63,75,73,66,im
54,57,81,83,im
68,51,75,78,im
23,48,88,89,im
41,51,75,78,im
35,51,71,74,im
0,51,67,44,im
6,61,92,37,im
34,51,9,9,im
39,41,72,75,im
34,67,76,79,im
84,44,71,74,im
7,46,78,73,im
71,52,1,99,im
6,61,67,71,im
43,4,75,78,im
48,49,77,71,im
33,45,88,89,im
45,4,74,77,im
36,47,69,72,im
46,61,86,87,im
29,47,65,69,im
63,65,67,71,im
31,5,84,85,im
37,47,76,79,im
58,34,87,81,im
46,59,76,23,im
61,47,8,32,im
63,49,76,79,imS
85,53,52,35,imS
75,55,47,3,imL
7,39,82,84,imL
7,53,86,87,imU
57,38,49,33,imU
47,46,74,77,imU
64,45,61,66,imU
87,49,76,79,imU
64,46,73,76,imU
73,26,75,78,imU
81,44,67,68,imU
84,49,78,74,imU
79,41,81,83,imU
63,51,72,76,imU
75,37,7,74,imU
84,54,92,7,imU
78,33,77,79,imU
86,55,81,83,imU
69,43,74,77,imU
79,54,66,68,imU
58,6,73,76,imU
67,37,64,68,imU
49,61,71,74,imU
81,53,87,88,imU
62,42,79,81,imU
79,36,82,7,imU
76,71,71,75,imU
59,29,75,77,imU
76,41,59,62,imU
66,48,7,74,imU
86,39,89,9,imU
77,55,78,74,imU
81,52,78,8,imU
78,44,73,68,imU
88,42,73,75,imU
64,57,33,26,om
69,59,39,21,om
78,68,4,29,om
71,71,43,36,om
56,68,36,45,om
6,76,59,52,om
67,88,5,25,om
68,63,4,3,om
52,81,38,38,om
65,51,54,33,om
77,57,53,2,om
63,49,45,28,om
74,78,54,15,om
73,84,58,29,om
67,84,54,37,om
63,69,41,28,om
61,75,33,33,om
68,76,45,27,om
67,55,58,16,omL
68,49,55,28,omL
66,49,56,36,omL
77,57,54,1,omL
62,78,49,54,pp
68,67,4,34,pp
71,57,35,32,pp
74,82,49,41,pp
74,56,68,3,pp
63,1,51,49,pp
57,59,47,33,pp
66,74,38,43,pp
67,81,42,25,pp
64,72,42,19,pp
74,74,53,52,pp
61,6,39,38,pp
66,71,5,35,pp
69,8,57,26,pp
67,61,37,38,pp
63,71,4,39,pp
65,57,47,51,pp
74,49,54,36,pp
64,66,39,2,pp
72,86,55,21,pp
69,66,5,25,pp
63,57,7,2,pp
76,73,39,39,pp
64,78,36,38,pp
7,61,52,43,pp
68,78,44,42,pp
64,81,39,44,pp
63,8,31,29,pp
74,47,57,42,pp
69,65,48,41,pp
29,39,4,48,pp
63,86,47,34,pp
71,86,54,32,pp
63,83,39,19,pp
66,86,41,36,pp
7,64,51,47,pp
69,67,39,24,pp
68,82,65,56,pp
75,84,52,33,pp
63,65,44,35,pp
32,39,28,38,pp
43,59,49,56,pp
69,59,44,52,pp
59,61,42,37,pp
73,78,51,31,pp
7,71,84,85,pp
64,84,45,4,pp
