@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Aac numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
25,37,41,33,cp
29,28,5,42,cp
27,3,71,28,cp
59,49,52,45,cp
5,49,49,46,cp
4,5,45,39,cp
47,28,56,2,cp
43,39,47,31,cp
43,32,33,45,cp
24,35,31,19,cp
34,51,44,37,cp
39,31,38,34,cp
38,4,63,25,cp
7,4,54,35,cp
38,44,43,2,cp
47,29,51,33,cp
47,47,22,16,cp
44,28,43,27,cp
17,39,53,3,cp
57,54,37,28,cp
36,54,41,38,cp
26,4,36,26,cp
22,36,35,39,cp
51,46,58,31,cp
23,33,43,33,cp
29,37,48,44,cp
65,55,34,37,cp
51,37,35,36,cp
43,4,39,28,cp
38,3,43,29,cp
16,43,54,27,cp
65,47,59,3,cp
42,38,54,34,cp
4,35,45,33,cp
4,46,52,49,cp
41,43,45,31,cp
41,57,39,21,cp
41,43,5,24,cp
34,55,58,31,cp
28,38,5,33,cp
22,43,48,16,cp
52,44,37,36,cp
29,47,41,23,cp
32,33,6,6,cp
44,27,55,52,cp
36,56,43,45,cp
43,37,53,35,cp
33,47,53,18,cp
34,33,38,35,cp
29,28,44,23,cp
61,45,48,35,cp
35,34,46,3,cp
54,47,28,33,cp
3,44,49,22,cp
42,4,56,18,cp
4,45,38,22,cp
25,4,47,33,cp
34,46,52,35,cp
36,41,48,47,cp
25,51,37,42,cp
4,42,37,27,cp
0,38,42,48,cp
17,52,49,37,cp
23,34,43,26,cp
25,4,46,44,cp
37,44,42,39,cp
42,35,58,15,cp
25,37,43,26,cp
4,31,41,29,cp
24,57,63,34,cp
34,45,38,24,cp
3,45,36,21,cp
49,29,56,24,cp
42,24,57,27,cp
28,33,45,22,cp
41,51,58,2,cp
24,41,49,23,cp
32,42,35,28,cp
22,34,42,29,cp
25,48,44,17,cp
4,41,55,22,cp
53,38,44,26,cp
24,43,37,28,cp
3,37,59,41,cp
5,51,27,23,cp
23,58,37,53,cp
23,4,39,28,cp
21,34,51,28,cp
33,45,52,32,cp
51,54,41,34,cp
36,39,48,22,cp
26,5,44,32,cp
25,26,39,32,cp
44,35,44,52,cp
51,49,53,14,cp
31,23,73,5,cp
2,44,46,51,cp
21,51,5,32,cp
44,42,42,25,cp
52,57,42,47,cp
34,28,41,35,cp
42,3,48,26,cp
17,38,45,42,cp
26,26,34,25,cp
37,5,42,36,cp
53,42,16,29,cp
34,42,41,34,cp
67,39,36,38,cp
35,48,56,4,cp
31,47,29,28,cp
39,32,46,24,cp
56,51,34,37,cp
44,51,47,26,cp
4,29,42,35,cp
23,32,55,25,cp
44,56,5,46,cp
48,42,45,25,cp
64,76,45,35,cp
18,3,46,24,cp
36,42,53,32,cp
29,52,42,29,cp
4,46,42,35,cp
44,34,3,33,cp
35,37,3,34,cp
27,42,37,38,cp
37,52,42,42,cp
34,35,51,49,cp
61,36,49,35,cp
44,52,43,47,im
31,44,5,79,im
48,45,6,78,im
61,52,54,67,im
59,56,55,8,im
74,44,55,88,im
5,57,71,61,im
63,65,66,67,im
58,34,56,87,im
39,41,52,72,im
61,66,46,87,im
54,57,56,81,im
61,47,0,8,im
43,4,58,75,im
5,37,66,64,im
72,46,51,66,im
68,51,71,75,im
36,45,38,79,im
34,51,67,9,im
48,49,52,77,im
23,48,59,88,im
7,46,56,78,im
46,61,48,86,im
89,55,51,72,im
33,45,45,88,im
6,61,49,92,im
47,59,52,76,im
51,4,57,62,im
12,43,63,7,im
12,67,74,58,im
7,4,56,86,im
31,5,57,84,im
58,55,57,7,im
6,61,54,67,im
16,51,33,39,im
35,51,61,71,im
34,67,52,76,im
71,52,64,1,im
36,47,51,69,im
69,39,57,76,im
63,5,59,85,im
47,55,58,71,im
2,46,57,78,im
34,49,58,85,im
52,54,62,76,im
45,4,61,74,im
73,36,53,91,im
27,35,51,77,im
49,42,53,79,im
55,47,57,78,im
63,75,64,73,im
63,47,51,82,im
71,4,71,7,im
6,46,45,81,im
74,7,66,65,im
52,39,65,71,im
48,41,51,9,im
3,51,42,61,im
4,5,65,82,im
46,59,36,76,im
54,49,4,87,im
1,49,41,67,im
41,51,53,75,im
37,47,39,76,im
29,47,71,65,im
0,51,35,67,im
5,66,31,92,im
33,37,46,65,im
83,37,61,71,im
31,36,58,94,im
85,53,53,52,imS
63,49,54,76,imS
75,55,4,47,imL
78,44,45,73,imU
84,49,55,78,imU
73,26,57,75,imU
84,54,75,92,imU
81,53,57,87,imU
63,42,48,77,imU
79,36,46,82,imU
64,45,67,61,imU
63,51,64,72,imU
69,43,59,74,imU
77,55,51,78,imU
79,54,5,66,imU
64,46,48,73,imU
81,44,42,67,imU
7,53,7,86,imU
49,61,56,71,imU
87,49,61,76,imU
62,42,58,79,imU
75,37,64,7,imU
79,41,66,81,imU
47,46,62,74,imU
72,42,65,77,imU
58,6,59,73,imU
76,41,5,59,imU
86,55,63,81,imU
81,52,57,78,imU
86,39,59,89,imU
76,71,5,71,imU
66,48,54,7,imU
88,42,52,73,imU
57,38,6,49,imU
83,48,65,76,imU
68,63,73,4,om
56,68,77,36,om
71,71,68,43,om
74,78,75,54,om
61,75,51,33,om
68,76,84,45,om
63,49,79,45,om
52,81,72,38,om
74,9,57,53,om
69,59,77,39,om
73,84,86,58,om
75,76,83,57,om
64,57,7,33,om
63,69,65,41,om
78,68,83,4,om
67,84,74,54,om
77,57,88,53,om
67,88,73,5,om
77,57,37,54,omL
68,49,62,55,omL
67,55,66,58,omL
71,46,52,59,omL
62,83,46,36,pp
56,54,43,37,pp
64,72,49,42,pp
64,78,5,36,pp
63,57,49,7,pp
69,59,46,44,pp
74,82,49,49,pp
7,71,42,84,pp
57,59,39,47,pp
75,84,35,52,pp
63,65,39,44,pp
63,86,39,47,pp
32,39,53,28,pp
66,74,31,38,pp
67,61,51,37,pp
59,61,42,42,pp
64,66,41,39,pp
64,81,37,39,pp
74,56,47,68,pp
63,1,35,51,pp
74,74,31,53,pp
63,8,46,31,pp
74,49,42,54,pp
61,6,44,39,pp
63,71,6,4,pp
65,57,47,47,pp
7,61,56,52,pp
68,67,49,4,pp
66,86,34,41,pp
71,71,4,54,pp
72,86,17,55,pp
69,67,3,39,pp
64,84,37,45,pp
76,73,44,39,pp
66,71,41,5,pp
69,66,41,5,pp
68,82,38,65,pp
7,64,47,51,pp
62,78,47,49,pp
68,78,43,44,pp
67,7,46,45,pp
74,47,5,57,pp
71,57,48,35,pp
69,65,63,48,pp
73,78,58,51,pp
63,83,4,39,pp
67,81,54,49,pp
