@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Aac numeric
@attribute Alm1 numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
22,34,42,29,39,cp
17,39,53,3,39,cp
43,37,53,35,44,cp
44,35,55,55,61,cp
16,43,54,27,37,cp
36,56,43,45,53,cp
38,46,48,22,29,cp
43,32,33,45,52,cp
32,42,35,28,38,cp
34,28,41,35,44,cp
38,44,43,2,31,cp
25,26,39,32,42,cp
22,43,48,16,28,cp
53,42,16,29,39,cp
25,37,41,33,42,cp
24,34,38,3,4,cp
4,41,55,22,33,cp
4,46,42,35,44,cp
18,3,46,24,35,cp
42,38,54,34,43,cp
3,37,43,18,3,cp
47,47,22,16,26,cp
25,48,44,17,29,cp
61,45,48,35,41,cp
29,37,48,44,52,cp
28,38,5,33,42,cp
47,29,51,33,43,cp
4,29,42,35,44,cp
36,41,48,47,54,cp
24,41,49,23,34,cp
44,49,39,38,4,cp
25,51,37,42,5,cp
44,34,3,33,43,cp
4,46,52,49,56,cp
42,24,57,27,37,cp
37,5,42,36,45,cp
65,47,59,3,4,cp
23,33,43,33,43,cp
25,4,47,33,42,cp
59,49,52,45,36,cp
34,42,41,34,43,cp
42,3,48,26,36,cp
4,5,45,39,47,cp
27,3,71,28,39,cp
35,37,3,34,43,cp
51,49,53,14,26,cp
26,5,44,32,41,cp
41,43,45,31,41,cp
61,36,49,35,44,cp
32,33,6,6,2,cp
48,42,45,25,35,cp
24,43,54,52,59,cp
51,37,35,36,45,cp
41,51,58,2,31,cp
43,4,39,28,39,cp
23,4,39,28,38,cp
49,43,49,3,4,cp
5,51,27,23,34,cp
7,4,54,35,44,cp
3,45,36,21,32,cp
0,38,42,48,55,cp
23,58,37,53,59,cp
39,31,38,34,43,cp
4,31,41,29,39,cp
37,52,42,42,36,cp
35,34,46,3,27,cp
36,42,53,32,41,cp
4,35,45,33,42,cp
4,42,37,27,27,cp
26,26,34,25,35,cp
43,39,47,31,41,cp
53,38,44,26,36,cp
4,45,38,22,0,cp
3,44,49,22,33,cp
51,54,41,34,43,cp
22,36,35,39,47,cp
33,47,53,18,29,cp
52,44,37,36,42,cp
29,47,41,23,34,cp
5,49,49,46,53,cp
37,44,42,39,47,cp
65,55,34,37,28,cp
44,51,47,26,36,cp
38,3,43,29,39,cp
54,47,28,33,42,cp
25,37,43,26,36,cp
34,51,44,37,46,cp
29,28,44,23,34,cp
56,4,49,37,46,cp
23,32,55,25,35,cp
42,4,56,18,3,cp
24,57,63,34,43,cp
29,41,48,38,46,cp
36,39,48,22,23,cp
44,27,55,52,58,cp
41,48,51,44,51,cp
57,54,37,28,33,cp
24,43,37,28,38,cp
29,52,42,29,39,cp
29,3,45,3,17,cp
29,28,5,42,5,cp
64,76,45,35,38,cp
34,55,58,31,41,cp
35,48,56,4,48,cp
44,42,42,25,2,cp
27,42,37,38,43,cp
67,39,36,38,46,cp
17,38,45,42,5,cp
52,36,41,28,38,cp
44,56,5,46,54,cp
39,32,46,24,35,cp
44,35,44,52,59,cp
24,35,31,19,31,cp
17,52,49,37,46,cp
42,35,58,15,27,cp
21,51,5,32,41,cp
26,4,36,26,37,cp
3,16,56,11,23,cp
47,28,56,2,25,cp
33,45,52,32,41,cp
2,44,46,51,57,cp
38,4,63,25,35,cp
34,33,38,35,44,cp
51,46,58,31,41,cp
51,5,46,32,35,cp
21,34,51,28,39,cp
38,26,54,16,28,cp
23,34,43,26,37,cp
34,35,51,49,56,cp
6,61,49,92,37,im
39,41,52,72,75,im
84,44,48,71,74,im
89,55,51,72,76,im
34,67,52,76,79,im
3,51,42,61,34,im
34,49,58,85,8,im
12,43,63,7,74,im
41,51,53,75,78,im
58,55,57,7,74,im
35,51,61,71,74,im
33,56,33,78,8,im
61,66,46,87,88,im
63,47,51,82,84,im
71,4,71,7,74,im
5,66,31,92,92,im
11,5,58,72,68,im
52,54,62,76,79,im
6,61,54,67,71,im
64,58,48,78,73,im
58,34,56,87,81,im
16,51,33,39,48,im
43,4,58,75,78,im
6,5,54,77,8,im
74,44,55,88,89,im
6,46,45,81,83,im
5,37,66,64,69,im
34,51,67,9,9,im
2,46,57,78,81,im
12,67,74,58,63,im
83,37,61,71,74,im
49,42,53,79,81,im
31,36,58,94,94,im
47,59,52,76,79,im
47,55,58,71,75,im
36,47,51,69,72,im
63,65,66,67,71,im
71,52,64,1,99,im
37,47,39,76,79,im
73,36,53,91,92,im
46,61,48,86,87,im
63,5,59,85,86,im
