@relation ecoli

@attribute Mcg numeric
@attribute Alm1 numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
35,4,48,cp
5,46,53,cp
43,31,41,cp
44,33,43,cp
25,42,5,cp
24,3,4,cp
25,33,42,cp
21,32,41,cp
5,23,34,cp
22,16,28,cp
41,21,32,cp
42,15,27,cp
51,31,41,cp
3,21,32,cp
44,46,54,cp
38,29,39,cp
37,36,45,cp
65,3,4,cp
25,33,42,cp
41,2,31,cp
29,3,17,cp
23,28,38,cp
17,3,39,cp
29,23,34,cp
34,34,43,cp
23,25,35,cp
39,34,43,cp
59,45,36,cp
35,3,27,cp
28,33,42,cp
44,52,58,cp
52,47,54,cp
41,24,25,cp
26,25,35,cp
47,33,43,cp
0,48,55,cp
39,24,35,cp
34,35,44,cp
29,38,46,cp
52,28,38,cp
22,39,47,cp
27,28,39,cp
23,53,59,cp
52,36,42,cp
4,33,42,cp
47,2,25,cp
51,32,35,cp
34,35,44,cp
53,26,36,cp
3,22,33,cp
61,35,41,cp
36,22,23,cp
44,55,61,cp
49,3,4,cp
29,23,34,cp
34,37,46,cp
34,24,35,cp
35,34,43,cp
51,36,45,cp
31,28,39,cp
44,52,59,cp
21,28,39,cp
65,37,28,cp
61,35,44,cp
43,45,52,cp
36,45,53,cp
44,27,37,cp
42,26,36,cp
31,5,14,cp
33,32,41,cp
34,35,44,cp
43,35,44,cp
33,18,29,cp
4,35,44,cp
48,25,35,cp
34,49,56,cp
51,14,26,cp
25,44,52,cp
42,18,3,cp
57,28,33,cp
27,38,43,cp
67,38,46,cp
2,51,57,cp
42,34,43,cp
36,38,46,cp
17,37,46,cp
37,42,36,cp
43,28,39,cp
38,22,29,cp
51,34,43,cp
32,28,38,cp
24,52,59,cp
4,22,0,cp
26,32,41,cp
29,29,39,cp
16,27,37,cp
24,28,38,cp
54,33,42,cp
41,31,41,cp
25,17,29,cp
25,26,36,cp
56,37,46,cp
17,42,5,cp
3,11,23,cp
36,32,41,cp
29,42,5,cp
29,44,52,cp
3,41,49,cp
4,29,39,cp
4,27,27,cp
38,2,31,cp
24,34,43,cp
41,44,51,cp
24,23,34,cp
44,38,4,cp
44,25,2,cp
56,37,46,cp
26,26,37,cp
36,47,54,cp
38,25,35,cp
3,18,3,cp
38,16,28,cp
4,49,56,cp
49,24,35,cp
47,16,26,cp
28,22,33,cp
23,33,43,cp
37,39,47,cp
25,32,42,cp
44,47,54,im
31,79,82,im
48,78,8,im
12,7,74,im
58,87,81,im
61,8,32,im
46,86,87,im
33,65,69,im
34,76,79,im
39,72,75,im
61,87,88,im
33,78,8,im
48,77,71,im
34,85,8,im
66,66,66,im
72,66,7,im
31,94,94,im
46,76,23,im
63,79,81,im
64,78,73,im
59,8,82,im
89,72,76,im
27,77,79,im
2,78,81,im
45,74,77,im
58,7,74,im
6,67,71,im
6,77,8,im
7,78,73,im
4,82,84,im
7,86,83,im
49,79,81,im
68,75,78,im
54,81,83,im
47,71,75,im
35,71,74,im
41,75,78,im
71,1,99,im
36,69,72,im
84,71,74,im
52,71,73,im
63,85,86,im
74,65,69,im
43,75,78,im
69,76,79,im
71,7,74,im
5,61,66,im
16,39,48,im
29,65,69,im
12,58,63,im
63,73,66,im
23,88,89,im
5,64,69,im
54,87,88,im
0,67,44,im
63,67,71,im
48,9,88,im
3,61,34,im
73,91,92,im
52,76,79,im
83,71,74,im
11,72,68,im
6,81,83,im
55,78,8,im
36,79,17,im
5,92,92,im
61,67,52,im
33,88,89,im
51,62,67,im
85,52,35,imS
63,76,79,imS
7,82,84,imL
75,47,3,imL
84,78,74,imU
47,74,77,imU
78,73,68,imU
49,71,74,imU
64,61,66,imU
69,74,77,imU
86,81,83,imU
58,73,76,imU
59,75,77,imU
81,87,88,imU
81,78,8,imU
67,64,68,imU
76,71,75,imU
77,78,74,imU
57,49,33,imU
63,72,76,imU
73,75,78,imU
66,7,74,imU
72,77,79,imU
7,86,87,imU
64,73,76,imU
63,77,8,imU
79,66,68,imU
75,7,74,imU
78,77,79,imU
88,73,75,imU
76,59,62,imU
83,76,79,imU
62,79,81,imU
84,92,7,imU
79,82,7,imU
68,4,3,om
73,58,29,om
56,36,45,om
6,59,52,om
74,53,29,om
71,43,36,om
61,33,33,om
67,54,37,om
67,5,25,om
69,39,21,om
63,45,28,om
77,53,2,om
64,33,26,om
75,57,3,om
52,38,38,om
68,45,27,om
65,54,33,om
63,41,28,om
77,54,1,omL
66,56,36,omL
71,59,3,omL
68,55,28,omL
67,58,16,omL
71,54,32,pp
76,39,39,pp
75,52,33,pp
65,47,51,pp
63,47,34,pp
64,36,38,pp
74,57,42,pp
69,57,26,pp
74,54,36,pp
63,7,2,pp
67,45,33,pp
62,36,4,pp
74,49,41,pp
29,4,48,pp
66,38,43,pp
66,5,35,pp
73,51,31,pp
63,44,35,pp
63,39,19,pp
67,49,23,pp
72,55,21,pp
67,37,38,pp
68,44,42,pp
63,51,49,pp
7,84,85,pp
7,51,47,pp
59,42,37,pp
71,54,39,pp
7,52,43,pp
74,53,52,pp
69,44,52,pp
69,5,25,pp
43,49,56,pp
63,4,39,pp
74,68,3,pp
64,39,44,pp
64,39,2,pp
67,42,25,pp
56,37,3,pp
64,42,19,pp
68,4,34,pp
66,41,36,pp
71,35,32,pp
69,48,41,pp
57,47,33,pp
69,39,24,pp
