@relation ecoli

@attribute Aac numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
34,25,cp
27,23,cp
5,32,cp
5,46,cp
39,32,cp
39,38,cp
48,22,cp
48,44,cp
52,35,cp
46,24,cp
55,52,cp
45,42,cp
63,34,cp
29,28,cp
48,47,cp
43,2,cp
42,36,cp
31,19,cp
42,47,cp
41,34,cp
43,33,cp
38,24,cp
44,37,cp
36,38,cp
53,14,cp
52,45,cp
49,22,cp
49,37,cp
43,29,cp
48,22,cp
46,44,cp
43,26,cp
36,21,cp
47,26,cp
54,52,cp
38,34,cp
57,27,cp
37,27,cp
45,31,cp
46,24,cp
42,42,cp
53,32,cp
45,3,cp
16,29,cp
3,33,cp
51,49,cp
44,17,cp
47,31,cp
53,35,cp
49,37,cp
52,32,cp
41,34,cp
45,39,cp
6,6,cp
52,49,cp
43,26,cp
48,16,cp
37,28,cp
45,33,cp
45,35,cp
44,52,cp
44,23,cp
63,25,cp
42,35,cp
56,2,cp
49,46,cp
41,35,cp
51,44,cp
39,21,cp
59,3,cp
41,23,cp
47,33,cp
44,32,cp
38,35,cp
43,27,cp
46,3,cp
5,42,cp
46,32,cp
46,51,cp
34,37,cp
37,38,cp
55,25,cp
51,28,cp
41,28,cp
34,37,cp
43,18,cp
39,28,cp
5,33,cp
42,29,cp
38,22,cp
41,38,cp
41,33,cp
39,28,cp
33,45,cp
42,35,cp
54,27,cp
45,25,cp
28,33,cp
58,31,cp
56,18,cp
56,4,cp
44,26,cp
59,41,cp
73,5,cp
36,26,cp
49,23,cp
56,11,cp
35,28,cp
45,22,cp
5,24,cp
58,2,cp
53,18,cp
48,38,cp
49,35,cp
49,3,cp
48,26,cp
54,35,cp
42,29,cp
51,33,cp
54,16,cp
55,22,cp
38,3,cp
37,36,cp
56,24,cp
37,53,cp
42,39,cp
55,55,cp
42,48,cp
41,29,cp
49,92,im
5,79,im
6,78,im
57,78,im
53,75,im
0,8,im
58,75,im
56,78,im
66,67,im
52,72,im
46,87,im
48,78,im
52,77,im
51,82,im
71,7,im
58,71,im
58,94,im
36,76,im
54,67,im
56,81,im
52,76,im
33,39,im
48,86,im
54,77,im
55,88,im
39,76,im
66,64,im
67,9,im
66,65,im
65,82,im
61,71,im
53,79,im
71,75,im
52,76,im
33,78,im
61,71,im
46,65,im
64,1,im
57,7,im
48,71,im
65,71,im
59,85,im
56,86,im
59,88,im
57,76,im
45,88,im
71,61,im
65,79,im
71,65,im
74,58,im
64,73,im
43,47,im
61,74,im
51,9,im
41,67,im
54,67,im
31,92,im
42,61,im
53,91,im
62,76,im
59,66,im
58,72,im
45,81,im
57,78,im
35,67,im
51,66,im
51,72,im
57,84,im
56,87,im
53,52,imS
54,76,imS
51,82,imL
4,47,imL
55,78,imU
59,89,imU
45,73,imU
57,75,imU
62,74,imU
65,76,imU
63,81,imU
42,67,imU
64,7,imU
58,79,imU
5,59,imU
64,75,imU
5,71,imU
51,78,imU
6,49,imU
64,72,imU
67,61,imU
54,64,imU
65,77,imU
61,76,imU
54,7,imU
59,73,imU
5,66,imU
57,77,imU
46,82,imU
56,71,imU
57,87,imU
66,81,imU
48,77,imU
52,73,imU
59,74,imU
73,4,om
86,58,om
84,45,om
7,33,om
57,53,om
68,43,om
51,33,om
74,54,om
73,5,om
77,59,om
79,45,om
88,53,om
72,38,om
83,57,om
66,54,om
75,54,om
77,36,om
83,4,om
37,54,omL
54,56,omL
52,59,omL
62,55,omL
66,58,omL
6,4,pp
46,44,pp
37,45,pp
47,47,pp
49,49,pp
41,5,pp
43,44,pp
3,39,pp
42,54,pp
53,28,pp
46,45,pp
47,49,pp
49,7,pp
5,36,pp
31,38,pp
46,57,pp
58,51,pp
5,57,pp
39,47,pp
54,49,pp
17,55,pp
51,37,pp
4,54,pp
35,51,pp
39,44,pp
38,65,pp
44,39,pp
4,54,pp
56,52,pp
31,53,pp
41,39,pp
52,4,pp
43,37,pp
4,39,pp
41,5,pp
49,4,pp
42,84,pp
25,42,pp
37,39,pp
49,42,pp
46,31,pp
34,41,pp
52,49,pp
46,36,pp
39,47,pp
35,52,pp
