@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Aac numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
59,49,52,36,cp
42,4,56,3,cp
23,4,39,38,cp
33,45,52,41,cp
17,38,45,5,cp
35,48,56,48,cp
37,5,42,45,cp
42,3,48,36,cp
4,42,37,27,cp
26,5,44,41,cp
34,35,51,56,cp
29,28,5,5,cp
4,31,41,39,cp
34,51,44,46,cp
5,66,31,92,im
45,4,61,77,im
5,37,66,69,im
83,37,61,74,im
5,57,71,66,im
35,51,61,74,im
0,51,35,44,im
3,51,42,34,im
75,37,64,74,imU
84,49,55,74,imU
49,61,56,74,imU
57,38,6,33,imU
67,88,73,25,om
67,84,74,37,om
72,86,17,21,pp
74,47,5,42,pp
75,84,35,33,pp
7,71,42,85,pp
69,59,46,52,pp
