@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Property {A121,A122,A124,A123}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A11,A124,2,2
A14,A124,2,1
A12,A123,1,2
A12,A123,1,1
A11,A123,1,1
A13,A122,1,1
A14,A124,1,1
A13,A121,1,2
A12,A124,1,2
A14,A123,1,1
A12,A122,2,1
A14,A121,1,1
A11,A124,1,1
A14,A122,1,1
A14,A122,1,1
A12,A121,1,1
A11,A123,1,1
A12,A121,1,2
A11,A122,2,2
A12,A124,2,2
A12,A123,2,2
A11,A123,1,1
A13,A121,1,2
A11,A121,1,1
A11,A124,1,2
A13,A123,1,2
A11,A122,2,1
A11,A124,2,2
A14,A121,1,1
A11,A122,1,2
A12,A121,1,2
A12,A123,1,2
A12,A122,1,1
A14,A122,1,1
A13,A123,1,1
A12,A124,1,1
A14,A123,1,1
A14,A121,1,1
A14,A121,1,1
A12,A121,1,1
A11,A121,1,1
A14,A123,1,1
A14,A123,1,1
A14,A121,1,1
A14,A122,1,1
A11,A123,1,2
A14,A124,1,1
A14,A121,2,1
A13,A121,2,2
A12,A123,1,2
A14,A122,1,2
A13,A122,1,1
A11,A123,1,2
A14,A123,1,1
A12,A121,1,2
A11,A121,2,1
A14,A121,1,1
A14,A121,1,1
A13,A124,2,2
A11,A121,2,1
A14,A123,1,2
A14,A123,1,2
A11,A124,1,1
A12,A123,2,2
A12,A122,1,1
A14,A123,1,1
A12,A123,1,1
A14,A122,1,1
A13,A124,1,1
A12,A122,1,2
A13,A123,1,1
A12,A122,2,2
A14,A121,1,1
A12,A123,1,1
A12,A121,1,1
A13,A121,2,1
A13,A124,1,2
A11,A121,1,2
A14,A122,1,1
A12,A123,1,1
A12,A121,1,2
A12,A121,1,1
A14,A123,2,1
A14,A122,1,1
A14,A121,1,1
A12,A123,1,1
A11,A121,1,1
A14,A123,1,1
A11,A122,2,1
A14,A124,1,1
A12,A124,2,1
A12,A123,1,1
A14,A121,1,1
A12,A123,1,1
A12,A123,2,1
A12,A121,1,1
A12,A122,1,1
A13,A123,1,1
A11,A122,1,1
A11,A123,1,1
