@relation german

@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
55,A152,A173,1
38,A152,A173,1
46,A151,A173,1
26,A151,A173,1
24,A152,A173,1
25,A152,A173,1
36,A153,A174,1
27,A152,A173,1
38,A152,A173,1
23,A151,A172,1
37,A152,A173,1
54,A152,A171,1
23,A151,A173,1
50,A151,A173,1
44,A152,A173,1
24,A152,A173,1
34,A152,A173,1
60,A153,A173,1
34,A153,A174,1
24,A152,A172,1
25,A152,A173,1
39,A152,A172,1
65,A152,A173,1
39,A152,A173,1
26,A152,A173,1
44,A151,A172,1
30,A152,A173,1
28,A152,A173,1
40,A152,A174,1
35,A152,A172,1
43,A152,A173,1
38,A152,A174,1
65,A152,A171,1
57,A153,A172,1
23,A151,A172,1
50,A152,A173,1
24,A152,A173,1
44,A152,A173,1
46,A152,A173,1
41,A152,A172,1
27,A152,A172,1
49,A152,A172,1
49,A152,A173,1
52,A152,A172,1
23,A152,A173,1
29,A153,A174,1
35,A152,A173,1
62,A152,A173,1
22,A152,A173,1
33,A152,A173,1
25,A152,A173,1
44,A153,A173,1
36,A152,A173,1
34,A151,A174,1
20,A151,A173,1
23,A152,A173,1
42,A152,A174,1
28,A152,A173,1
46,A152,A174,1
47,A153,A173,1
28,A152,A173,1
35,A152,A173,1
34,A152,A173,1
50,A153,A174,1
36,A152,A173,1
36,A153,A173,1
36,A152,A173,1
30,A151,A173,1
36,A152,A174,1
20,A152,A173,1
46,A152,A174,1
34,A152,A173,1
35,A152,A173,1
40,A152,A174,1
36,A152,A173,1
33,A152,A173,1
41,A151,A174,1
43,A152,A172,1
61,A152,A172,1
44,A153,A174,1
28,A152,A173,1
29,A152,A172,1
47,A153,A173,1
27,A153,A174,1
40,A152,A173,1
28,A152,A172,1
40,A152,A172,1
22,A152,A173,1
48,A152,A174,1
36,A151,A174,1
44,A152,A173,1
30,A152,A173,1
54,A151,A174,1
48,A151,A172,1
27,A152,A173,1
35,A152,A173,1
23,A151,A172,1
49,A153,A173,1
61,A153,A173,1
57,A151,A173,1
22,A151,A173,1
34,A152,A174,1
22,A151,A172,1
29,A151,A173,1
36,A152,A173,1
51,A153,A173,1
27,A152,A173,1
40,A151,A173,1
43,A152,A174,1
60,A152,A173,1
30,A152,A174,1
62,A153,A173,1
30,A152,A173,1
65,A152,A171,1
35,A152,A172,1
37,A152,A173,1
56,A153,A173,1
26,A151,A173,1
46,A153,A173,1
24,A151,A172,1
36,A152,A173,1
26,A151,A174,1
48,A152,A172,1
26,A152,A173,1
36,A152,A173,1
30,A152,A173,1
31,A152,A172,1
30,A152,A174,1
33,A152,A174,1
42,A151,A173,1
21,A152,A173,1
25,A152,A172,1
46,A152,A173,1
24,A152,A173,1
44,A151,A173,1
26,A152,A173,1
33,A152,A173,1
35,A152,A173,1
25,A152,A173,1
34,A152,A173,1
35,A152,A174,1
30,A152,A172,1
26,A152,A173,1
64,A152,A173,1
37,A152,A172,1
32,A152,A172,1
26,A152,A173,1
35,A152,A174,1
26,A152,A174,1
23,A152,A174,1
39,A152,A172,1
35,A153,A173,1
29,A152,A173,1
27,A152,A172,1
35,A152,A172,1
32,A152,A173,1
47,A152,A173,1
32,A153,A174,1
36,A152,A172,1
38,A152,A174,1
42,A152,A173,1
29,A151,A173,1
45,A152,A172,1
25,A152,A173,1
32,A151,A173,1
60,A152,A174,1
34,A152,A173,1
26,A152,A173,1
25,A151,A173,1
25,A152,A172,1
46,A152,A173,1
37,A152,A173,1
63,A152,A173,1
39,A152,A173,1
38,A152,A174,1
22,A151,A173,1
29,A152,A173,1
42,A151,A173,1
56,A152,A173,1
24,A151,A173,1
20,A151,A173,1
47,A152,A173,1
35,A152,A172,1
30,A152,A174,1
27,A152,A172,1
36,A151,A173,1
25,A152,A173,1
22,A152,A173,1
24,A151,A173,1
31,A152,A173,1
22,A152,A173,1
75,A153,A174,1
36,A152,A174,1
41,A152,A172,1
41,A151,A172,1
51,A152,A173,1
49,A152,A173,1
27,A152,A171,1
34,A152,A173,1
34,A152,A173,1
29,A152,A173,1
47,A153,A173,1
35,A152,A172,1
41,A152,A172,1
40,A152,A172,1
43,A152,A173,1
23,A151,A171,1
47,A152,A173,1
44,A152,A172,1
47,A152,A173,1
48,A151,A172,1
23,A151,A173,1
41,A151,A173,1
26,A152,A172,1
27,A152,A173,1
46,A152,A174,1
28,A151,A174,1
27,A152,A172,1
28,A152,A173,1
38,A153,A173,1
36,A152,A174,1
51,A152,A173,1
23,A152,A173,1
39,A151,A172,1
40,A152,A172,1
25,A152,A173,1
26,A152,A173,1
22,A151,A173,1
29,A152,A173,1
28,A152,A173,1
27,A152,A173,1
29,A152,A173,1
27,A152,A173,1
37,A152,A173,1
27,A152,A173,1
41,A152,A174,1
21,A151,A173,1
27,A152,A173,1
27,A152,A173,1
37,A152,A173,1
35,A152,A173,1
43,A152,A172,1
57,A152,A172,1
36,A151,A173,1
27,A152,A173,1
40,A152,A173,1
44,A152,A172,1
38,A152,A173,1
49,A152,A172,1
23,A152,A173,1
43,A152,A174,1
29,A152,A173,1
27,A151,A173,1
41,A152,A173,1
57,A151,A174,1
54,A152,A173,1
26,A152,A173,1
37,A152,A172,1
35,A152,A171,1
32,A151,A173,1
31,A152,A173,1
27,A152,A173,1
25,A152,A173,1
35,A151,A173,1
21,A152,A173,1
49,A152,A173,1
33,A152,A173,1
26,A152,A173,1
26,A151,A174,1
22,A153,A173,1
46,A152,A173,1
40,A151,A173,1
28,A152,A173,1
38,A152,A172,1
24,A152,A172,1
67,A152,A173,1
24,A151,A171,1
35,A152,A174,1
39,A152,A172,1
23,A151,A171,1
36,A152,A173,1
45,A152,A174,1
45,A153,A173,1
35,A152,A173,1
26,A151,A173,1
30,A152,A173,1
37,A152,A173,1
31,A152,A172,1
24,A152,A172,1
35,A152,A173,1
31,A152,A173,1
35,A152,A173,1
27,A152,A173,1
28,A152,A173,1
45,A152,A173,1
31,A152,A173,1
42,A152,A173,1
30,A152,A173,1
27,A152,A172,1
30,A152,A173,1
45,A152,A174,1
33,A152,A173,1
31,A152,A173,1
30,A152,A173,1
36,A152,A173,1
38,A152,A173,1
51,A153,A174,1
20,A151,A174,1
37,A153,A173,1
49,A152,A173,1
25,A152,A173,1
50,A152,A173,1
32,A152,A173,1
27,A152,A172,1
30,A153,A173,1
31,A152,A173,1
28,A151,A172,1
23,A152,A173,1
74,A152,A171,1
33,A152,A173,1
39,A152,A173,1
22,A153,A173,1
34,A152,A174,1
46,A151,A172,1
75,A152,A174,1
33,A152,A173,1
52,A152,A173,1
26,A152,A173,1
70,A153,A174,1
43,A152,A172,1
32,A152,A172,1
58,A152,A173,1
28,A152,A173,1
30,A152,A173,1
34,A152,A173,1
48,A152,A173,1
74,A152,A174,1
24,A151,A172,1
20,A151,A173,1
35,A152,A173,1
27,A152,A173,1
40,A152,A172,1
46,A152,A173,1
34,A152,A173,1
50,A152,A173,1
33,A152,A173,1
74,A152,A172,1
30,A152,A173,1
20,A151,A173,1
21,A152,A172,1
61,A152,A173,1
25,A151,A173,1
31,A152,A174,1
22,A152,A172,1
28,A152,A173,1
31,A152,A173,1
33,A152,A172,1
30,A152,A173,1
31,A152,A172,1
21,A151,A173,1
27,A152,A174,1
30,A152,A174,1
31,A152,A174,1
33,A152,A173,1
36,A151,A174,1
23,A151,A173,1
24,A152,A173,1
27,A152,A173,1
21,A151,A173,1
32,A152,A174,1
25,A152,A172,1
35,A153,A172,1
39,A152,A172,1
28,A152,A172,1
25,A152,A173,1
37,A152,A172,1
26,A152,A172,1
40,A152,A173,1
23,A151,A172,1
57,A152,A172,1
26,A152,A173,1
35,A152,A174,1
63,A153,A173,1
40,A151,A173,1
26,A152,A173,1
36,A153,A174,1
64,A152,A173,1
28,A152,A173,1
52,A152,A172,1
37,A152,A173,1
29,A152,A174,1
50,A152,A173,1
49,A152,A173,1
48,A152,A173,1
24,A151,A173,1
38,A152,A173,1
42,A152,A173,1
56,A152,A173,1
22,A151,A172,1
31,A152,A173,1
41,A152,A173,1
54,A151,A173,1
32,A152,A173,1
48,A153,A173,1
54,A153,A173,1
34,A152,A172,1
31,A152,A173,1
37,A152,A174,1
41,A151,A172,1
21,A151,A173,1
31,A153,A174,1
24,A151,A173,1
39,A152,A174,1
42,A153,A173,1
26,A152,A173,1
43,A152,A173,1
25,A152,A173,1
40,A152,A173,1
32,A152,A173,1
37,A151,A173,1
27,A152,A173,1
29,A151,A173,1
31,A152,A172,1
47,A152,A172,1
34,A152,A172,1
29,A152,A172,1
32,A152,A173,1
35,A152,A173,1
46,A152,A172,1
32,A152,A173,1
27,A152,A172,1
32,A152,A173,1
44,A152,A173,1
52,A152,A173,1
26,A152,A173,1
26,A152,A172,1
42,A152,A172,1
31,A153,A173,1
28,A152,A173,1
39,A152,A172,1
51,A152,A173,1
28,A152,A172,1
33,A152,A173,1
27,A152,A173,1
67,A152,A173,1
31,A152,A173,1
29,A152,A173,1
40,A152,A173,1
46,A152,A173,1
31,A152,A173,1
45,A152,A173,1
23,A151,A173,1
27,A152,A173,1
24,A151,A172,1
26,A152,A173,1
63,A152,A173,1
41,A152,A173,1
54,A152,A173,1
