@relation german

@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
35,A151,A174,1
25,A151,A173,2
24,A151,A173,2
60,A152,A172,2
31,A152,A173,1
57,A151,A172,1
61,A153,A174,2
29,A152,A173,1
58,A152,A172,1
29,A152,A174,1
28,A152,A173,2
39,A152,A174,2
23,A151,A173,1
66,A152,A172,2
45,A152,A172,1
36,A152,A173,1
32,A152,A173,1
25,A151,A173,1
52,A152,A173,1
28,A152,A173,2
68,A153,A171,1
20,A152,A173,2
33,A152,A173,1
28,A152,A173,1
52,A152,A173,1
21,A151,A173,2
55,A152,A173,1
30,A152,A173,1
22,A152,A173,2
51,A153,A172,1
29,A152,A173,2
27,A152,A173,1
24,A152,A173,1
32,A152,A172,1
36,A153,A174,1
49,A152,A172,1
29,A151,A174,1
32,A152,A173,1
24,A152,A173,2
25,A152,A173,1
36,A152,A173,1
23,A152,A173,1
28,A151,A173,2
36,A152,A173,1
36,A152,A173,1
63,A153,A174,1
60,A153,A174,2
26,A152,A173,1
27,A152,A173,1
27,A152,A173,1
47,A152,A172,1
33,A152,A173,1
30,A152,A174,2
35,A152,A174,1
34,A152,A173,1
35,A152,A172,1
23,A152,A173,2
23,A152,A172,1
52,A152,A173,1
26,A151,A173,1
42,A153,A173,1
37,A152,A173,1
36,A153,A173,1
26,A152,A172,1
32,A152,A173,1
43,A153,A173,2
22,A152,A173,2
24,A152,A173,1
27,A152,A172,1
52,A153,A174,1
36,A152,A172,2
32,A153,A173,1
23,A152,A173,1
22,A152,A173,1
64,A152,A172,1
28,A152,A173,1
34,A152,A173,1
35,A152,A173,1
50,A152,A172,1
43,A151,A173,2
40,A151,A174,1
46,A153,A173,2
27,A152,A174,2
32,A153,A174,1
31,A152,A173,1
47,A152,A172,1
36,A152,A173,1
29,A152,A171,1
41,A152,A173,1
31,A151,A173,1
28,A151,A173,1
66,A153,A171,1
25,A151,A173,2
40,A152,A173,1
32,A152,A174,2
39,A151,A174,2
30,A152,A174,2
42,A153,A173,2
31,A152,A173,2
49,A152,A173,2
