@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A14,12,2096,1,1
A11,42,7882,1,1
A14,24,2424,2,1
A14,9,2134,3,1
A12,18,1913,1,1
A12,12,1158,1,1
A12,18,6204,1,1
A14,11,1393,2,1
A11,6,1352,1,1
A14,11,7228,2,1
A14,18,3378,1,1
A12,36,2225,2,2
A11,36,6229,2,2
A11,10,2315,1,1
A12,36,2323,1,1
A12,14,1410,1,1
A12,6,1449,2,1
A14,48,3578,1,1
A12,12,2366,1,1
A14,24,3868,2,1
A14,12,1768,1,1
A13,10,781,2,1
A12,12,1860,2,1
A11,12,3499,2,2
A14,18,1984,2,1
A12,24,7758,1,1
A11,12,1282,1,2
A14,18,1055,2,1
A14,12,763,1,1
A12,18,4297,1,2
A14,27,5117,2,1
A14,24,2978,2,1
A14,12,2141,1,1
A11,24,1823,1,2
A14,18,433,1,2
A14,18,2662,1,1
A11,48,4788,1,1
A14,18,2515,1,1
A13,4,1494,1,1
A11,24,1938,1,2
A11,6,3384,1,2
A14,12,776,1,1
A11,18,2473,1,2
A12,18,3001,1,1
A11,6,1957,1,1
A14,9,2406,1,1
A14,14,802,2,1
A14,33,7253,2,1
A14,12,2292,2,2
A11,24,1381,1,2
A11,12,2579,1,2
A14,15,3186,1,1
A11,9,2136,1,1
A12,12,3017,1,1
A14,39,2569,1,1
A14,12,1163,1,1
A12,6,1209,1,2
A14,10,1309,1,2
A11,48,7119,2,2
A14,6,1750,1,1
A12,12,1995,1,1
A14,24,5433,1,1
A12,36,2820,2,2
A11,12,1289,1,1
A12,24,1837,1,2
A12,60,9157,1,1
A14,15,1979,1,1
A14,42,4042,2,1
A12,15,1444,1,1
A14,12,1393,3,1
A12,12,1922,1,2
A12,36,8086,4,2
A14,48,10222,1,1
A14,18,1453,1,1
A12,36,2862,1,1
A12,15,2631,1,1
A11,9,1138,2,1
A11,12,1228,1,2
A11,24,2325,1,1
A14,21,5248,1,1
A12,12,841,1,1
A14,24,1393,1,1
A11,18,7511,1,2
A14,24,1597,2,1
A14,12,1101,2,1
A14,12,886,1,1
A11,36,5179,1,2
A14,24,1559,1,1
A11,18,1442,2,2
A14,36,10875,2,1
A11,27,2442,4,1
A14,36,8947,1,1
A11,18,4153,1,2
A12,24,4736,1,2
A11,24,3161,1,2
A14,12,522,2,1
A14,18,1533,1,2
A13,30,3656,2,1
A12,15,1264,1,2
A14,48,4844,1,2
