@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,6,1595,A93,51,A191,1
A14,15,2221,A92,20,A191,1
A14,24,5507,A93,44,A191,1
A14,24,2032,A93,60,A192,1
A14,7,846,A93,36,A191,1
A14,24,5511,A93,25,A191,1
A14,15,1829,A93,46,A192,1
A13,10,781,A93,63,A192,1
A14,6,250,A92,41,A191,1
A12,12,1410,A93,31,A192,1
A14,21,3160,A93,41,A192,1
A12,15,2631,A92,25,A191,1
A14,5,3448,A93,74,A191,1
A12,13,2101,A92,23,A191,1
A14,9,1236,A92,23,A192,1
A12,9,1391,A94,27,A192,1
A11,30,3857,A91,40,A192,1
A14,24,3757,A92,62,A192,1
A14,36,5842,A93,35,A192,1
A14,12,2331,A93,49,A192,1
A14,12,1884,A93,39,A192,1
A14,24,4679,A93,35,A192,1
A14,21,2476,A93,46,A192,1
A11,24,2910,A93,34,A192,1
A11,24,3149,A93,22,A191,1
A11,12,1498,A92,23,A191,1
A14,10,2848,A93,32,A191,1
A14,21,2288,A92,23,A192,1
A14,12,2279,A93,37,A192,1
A11,15,3643,A92,27,A191,1
A11,30,8072,A93,25,A191,1
A14,12,1592,A92,35,A191,1
A13,24,3749,A92,26,A191,1
A14,10,1231,A93,32,A191,1
A11,12,2578,A92,55,A191,1
A14,42,4042,A93,36,A192,1
A12,12,2930,A92,27,A191,1
A12,18,3001,A92,40,A191,1
A12,24,2760,A93,36,A192,1
A13,6,1323,A91,28,A192,1
A14,24,1474,A94,33,A192,1
A11,15,1721,A93,36,A191,1
A14,10,727,A93,46,A192,1
A11,24,6568,A94,21,A191,1
A14,24,3488,A92,23,A191,1
A12,10,1048,A93,23,A191,1
A14,33,7253,A93,35,A192,1
A14,9,1449,A92,27,A191,1
A13,12,409,A92,42,A191,1
A12,24,1967,A92,20,A192,1
A12,30,4221,A92,28,A191,1
A11,12,2122,A93,39,A191,1
A12,18,1295,A92,27,A191,1
A14,24,1287,A92,37,A192,1
A12,15,1514,A93,22,A191,1
A14,6,1740,A94,30,A191,1
A14,10,1364,A92,64,A192,1
A12,12,1318,A93,54,A192,1
A14,18,2515,A93,43,A192,1
A11,12,1620,A92,30,A191,1
A14,12,930,A93,65,A191,1
A11,24,6419,A92,44,A192,1
A14,12,1655,A93,63,A192,1
A12,60,9157,A93,27,A191,1
A12,9,1199,A92,67,A192,1
A12,6,2063,A94,30,A192,1
A14,12,2096,A93,49,A191,1
A14,6,1221,A94,27,A191,1
A14,24,1585,A93,40,A191,1
A11,6,1203,A93,43,A192,1
A14,36,3595,A93,28,A191,1
A13,4,1494,A93,29,A191,1
A14,30,4811,A92,24,A191,1
A13,18,1445,A93,49,A191,1
A12,20,7057,A93,36,A192,1
A11,10,2132,A92,27,A191,1
A11,12,339,A94,45,A191,1
A14,18,1505,A93,32,A192,1
A14,21,5248,A93,26,A191,1
A11,24,1231,A92,57,A192,1
A12,48,6681,A93,38,A192,1
A14,24,6842,A93,46,A192,1
A12,11,1322,A92,40,A191,1
A14,15,1471,A93,35,A192,1
A12,9,458,A93,24,A191,1
A14,30,4272,A93,26,A191,1
A12,36,4795,A92,30,A192,1
A12,9,2118,A93,37,A191,1
A14,18,1984,A93,47,A191,1
A14,12,2141,A93,35,A191,1
A14,28,7824,A93,40,A192,1
A14,12,2390,A93,50,A192,1
A13,24,1377,A92,47,A192,1
A12,6,1449,A91,31,A191,1
A11,24,4020,A93,27,A191,1
A12,36,3990,A92,29,A191,1
A11,24,1755,A92,58,A192,1
A12,18,2622,A93,34,A191,1
A11,9,2136,A93,25,A191,1
A12,36,2337,A93,36,A191,1
A14,9,2697,A93,32,A191,1
A14,6,1382,A92,28,A192,1
A13,21,2923,A92,28,A192,1
A13,6,683,A92,29,A191,1
A13,12,1881,A92,44,A192,1
A14,24,1901,A93,29,A192,1
A13,12,1330,A93,26,A191,1
A13,24,3148,A93,31,A192,1
A11,24,2957,A93,63,A192,1
A11,15,2511,A92,23,A191,1
A13,30,3017,A93,47,A191,1
A14,9,2406,A93,31,A191,1
A12,24,1201,A93,26,A191,1
A14,36,909,A93,36,A191,1
A11,18,5302,A93,36,A192,1
A14,30,5771,A92,25,A191,1
A14,18,2662,A93,32,A191,1
A14,24,2835,A93,53,A191,1
A14,27,4526,A93,32,A192,1
A14,11,1154,A92,57,A191,1
A14,6,1238,A93,36,A192,1
A11,6,666,A92,39,A192,1
A11,15,975,A91,25,A191,1
A14,39,8588,A93,45,A192,1
A14,12,1736,A92,31,A191,1
A14,24,1516,A92,43,A191,1
A14,12,701,A93,32,A191,1
A13,12,1474,A92,33,A192,1
A14,15,1360,A93,31,A191,1
A11,12,701,A94,40,A191,1
A11,6,1169,A93,67,A192,1
A14,9,3832,A93,64,A191,1
A14,6,1236,A93,50,A191,1
A14,24,4526,A93,74,A192,1
A11,24,2964,A93,49,A192,1
A13,15,2360,A93,36,A192,1
A12,12,1103,A93,29,A191,1
A14,12,1076,A94,26,A192,1
A13,42,4796,A93,56,A191,1
A14,24,3863,A93,32,A191,1
A12,6,484,A94,28,A191,1
A11,14,3973,A93,22,A191,1
A14,36,4686,A93,32,A192,1
A11,21,1602,A94,30,A192,1
A12,18,1113,A92,26,A191,1
A12,12,1804,A93,44,A191,1
A11,36,15857,A91,43,A191,1
A12,12,3617,A93,28,A192,1
A13,30,3656,A93,49,A191,1
A14,24,3868,A92,41,A192,1
A11,10,1038,A93,49,A192,1
A11,20,4272,A92,24,A191,1
A11,18,1049,A92,21,A191,1
A14,33,2764,A92,26,A192,1
A13,24,2892,A91,51,A191,1
A12,18,866,A94,25,A191,1
A14,12,1258,A92,22,A191,1
A14,12,1163,A93,44,A192,1
A11,6,1872,A93,36,A192,1
A14,12,804,A93,38,A191,1
A14,18,3229,A93,38,A192,1
A14,6,783,A93,26,A191,1
A12,12,2002,A93,30,A192,1
A11,18,2659,A93,28,A191,1
A11,6,1352,A92,23,A192,1
A14,36,2299,A93,39,A191,1
A14,24,1376,A92,28,A191,1
A11,9,2799,A93,36,A191,1
A14,24,2223,A93,52,A191,1
A11,18,3104,A93,31,A192,1
A14,6,1766,A94,21,A191,1
A14,18,1568,A92,24,A191,1
A12,36,9857,A93,31,A192,1
A14,6,2978,A93,32,A192,1
A11,18,3650,A92,22,A191,1
A11,36,2348,A94,46,A192,1
A14,12,3331,A93,42,A191,1
A12,14,1410,A94,35,A192,1
A13,15,1905,A93,40,A192,1
A14,6,1204,A93,35,A191,1
A14,12,3077,A93,52,A192,1
A14,30,1867,A93,58,A192,1
A12,18,3213,A94,25,A191,1
A14,28,2743,A93,29,A191,1
A12,24,1743,A93,48,A191,1
A11,18,4380,A93,35,A192,1
A14,48,7629,A91,46,A191,1
A14,18,3850,A93,27,A191,1
A14,18,1149,A93,46,A191,1
A12,18,6260,A93,28,A191,1
A12,30,1715,A92,26,A191,1
A11,8,3398,A93,39,A191,1
A12,30,2181,A93,36,A191,1
A14,18,1800,A93,24,A191,1
A12,18,1887,A94,28,A191,1
A14,18,1126,A92,21,A192,1
A14,24,2028,A93,30,A191,1
A14,24,2284,A93,28,A192,1
A13,12,3016,A94,24,A191,1
A11,9,1138,A93,25,A191,1
A12,18,1301,A94,32,A191,1
A14,24,2611,A94,46,A191,1
A11,24,3660,A92,28,A191,1
A11,24,6579,A93,29,A192,1
A14,9,1313,A93,20,A191,1
A11,12,1107,A93,20,A192,1
A11,12,1893,A92,29,A192,1
A14,4,1503,A93,42,A191,1
A13,10,1275,A92,23,A191,1
A12,6,1050,A93,35,A192,1
A14,12,886,A92,21,A191,1
A14,12,1963,A93,31,A192,1
A14,12,1262,A93,25,A191,1
A12,7,2329,A92,45,A191,1
A14,9,1388,A92,26,A191,1
A14,24,6314,A93,27,A192,1
A11,24,6615,A93,75,A192,1
A14,24,1552,A93,32,A191,1
A11,18,1936,A94,23,A191,1
A11,42,7882,A93,45,A191,1
A11,12,2171,A93,38,A191,1
A14,15,1316,A94,47,A191,1
A14,24,1927,A92,33,A192,1
A12,24,3758,A92,23,A191,1
A11,21,3599,A92,26,A191,1
A12,18,1239,A93,61,A191,1
A12,12,3124,A93,49,A191,1
A12,24,1965,A92,42,A192,1
A12,24,2896,A93,29,A191,1
A14,18,1582,A93,46,A191,1
A12,12,1037,A93,39,A191,1
A14,18,1028,A92,36,A191,1
A11,12,2577,A91,42,A191,1
A14,48,2751,A93,38,A192,1
A14,18,1820,A94,30,A192,1
A14,6,700,A93,36,A191,1
A14,15,3568,A92,54,A192,1
A14,9,2507,A93,51,A191,1
A14,18,3378,A93,31,A192,1
A14,12,2859,A93,38,A192,1
A14,15,1386,A94,40,A192,1
A11,10,2315,A93,52,A191,1
A11,9,1364,A93,59,A191,1
A14,4,601,A92,23,A191,1
A14,18,1055,A92,30,A191,1
A14,12,1493,A92,34,A191,1
A11,12,708,A93,38,A191,1
A12,15,1308,A93,38,A191,1
A12,12,1860,A93,34,A192,1
A12,18,2899,A93,43,A191,1
A14,15,3368,A93,23,A192,1
A14,15,874,A92,24,A191,1
A11,6,3676,A93,37,A191,1
A14,24,2578,A93,34,A191,1
A12,48,5381,A93,40,A192,1
A12,12,1995,A93,27,A191,1
A13,15,2687,A93,26,A192,1
A14,24,5103,A94,47,A192,1
A14,24,2978,A93,32,A192,1
A11,42,3394,A93,65,A191,1
A14,9,1244,A92,41,A191,1
A12,48,3979,A93,41,A192,1
A14,6,2108,A94,29,A191,1
A14,12,1935,A93,43,A192,1
A14,6,2080,A94,24,A191,1
A14,12,2748,A92,57,A191,1
A14,24,2346,A93,35,A192,1
A14,24,999,A93,25,A191,1
A14,30,2831,A92,33,A192,1
A12,18,3590,A94,40,A192,1
A14,36,8947,A93,31,A192,1
A12,48,12169,A93,36,A192,1
A13,36,5848,A93,24,A191,1
A12,18,3244,A92,33,A192,1
A13,24,1275,A91,36,A192,1
A13,9,1126,A91,49,A191,1
A11,30,10623,A93,38,A192,1
A14,24,5150,A93,33,A192,1
A14,15,1478,A94,33,A191,1
A12,12,1158,A91,26,A192,1
A14,15,1459,A92,43,A191,1
A14,48,7238,A93,32,A191,1
A14,12,2012,A92,61,A191,1
A12,12,754,A93,38,A191,1
A12,12,983,A92,19,A191,1
A11,15,1403,A92,28,A191,1
A12,8,1414,A93,33,A191,1
A11,24,3021,A91,24,A191,1
A14,30,7596,A93,63,A191,1
A14,14,802,A93,27,A191,1
A12,12,2366,A91,36,A192,1
A11,48,4788,A93,26,A191,1
A13,15,392,A92,23,A192,1
A12,60,7418,A93,27,A191,1
A14,24,9277,A91,48,A192,1
A11,36,3959,A93,30,A192,1
A12,12,3573,A92,23,A191,1
A14,9,2301,A92,22,A191,1
A12,16,1175,A93,68,A192,1
