@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,36,9566,A92,31,A191,1
A13,18,1961,A92,23,A191,1
A14,24,3181,A92,26,A192,1
A12,12,1007,A94,22,A191,1
A14,36,1819,A93,37,A192,2
A12,36,12612,A93,47,A192,2
A13,24,3617,A93,20,A191,1
A11,24,7721,A92,30,A192,1
A14,27,8613,A93,27,A191,1
A11,27,3416,A93,27,A191,1
A12,11,1577,A92,20,A191,1
A12,12,951,A92,27,A191,2
A11,27,5293,A93,50,A192,2
A13,12,2251,A92,46,A191,1
A14,12,1574,A93,50,A191,1
A14,15,1520,A93,63,A191,1
A12,48,7582,A93,31,A192,1
A14,12,4675,A92,20,A191,1
A14,6,672,A92,54,A192,1
A14,48,10127,A93,44,A191,2
A12,9,276,A94,22,A191,1
A12,12,685,A94,25,A191,2
A12,30,4249,A94,28,A191,2
A11,24,4169,A93,28,A191,1
A12,9,959,A92,29,A191,2
A12,36,14318,A93,57,A192,2
A14,24,8648,A93,27,A192,2
A14,24,2197,A93,43,A192,1
A12,12,2028,A93,30,A191,1
A13,12,1424,A92,55,A192,1
A14,18,4594,A93,32,A192,1
A11,36,3620,A93,37,A191,1
A11,9,654,A93,28,A191,2
A11,30,3622,A92,57,A192,1
A14,10,1418,A93,35,A191,1
A14,24,2255,A93,54,A191,1
A11,6,1361,A93,40,A191,1
A11,48,7763,A93,42,A191,2
A13,18,3049,A92,45,A191,1
A11,30,6350,A93,31,A191,2
A11,48,6758,A92,31,A192,2
A12,24,2718,A92,20,A192,2
A14,15,1300,A93,45,A191,1
A14,48,3914,A91,38,A191,2
A11,12,1858,A92,22,A191,1
A11,18,2600,A93,65,A191,2
A11,18,1880,A94,32,A192,1
A11,12,684,A93,40,A191,2
A13,12,1297,A94,23,A191,1
A12,30,3496,A93,34,A192,1
A14,48,3609,A92,27,A191,1
A12,72,5595,A94,24,A191,2
A12,30,2503,A93,41,A191,1
A12,27,2528,A92,32,A192,1
A12,12,2969,A92,25,A191,2
A11,6,1198,A92,35,A191,2
A14,24,2603,A92,28,A192,1
A14,6,6761,A93,45,A192,1
A11,12,691,A93,35,A191,2
A14,15,5045,A92,59,A192,1
A11,30,3108,A91,31,A191,2
A11,24,2812,A92,26,A191,1
A12,9,1549,A93,35,A191,1
A12,18,1795,A92,48,A192,1
A14,12,976,A93,35,A191,1
A12,6,590,A94,26,A191,1
A12,8,907,A94,26,A192,1
A14,6,1554,A92,24,A192,1
A11,8,731,A93,47,A191,1
A14,18,3780,A91,35,A192,1
A12,24,5084,A92,42,A192,1
A11,12,1082,A93,48,A191,2
A14,18,3422,A93,47,A192,1
A14,24,4042,A93,43,A192,1
A14,10,894,A92,40,A192,1
A14,15,3343,A93,28,A192,1
A14,24,5804,A93,27,A191,1
A11,18,2389,A92,27,A191,1
A14,36,7409,A93,37,A191,1
A11,12,652,A92,24,A191,1
A14,30,6742,A93,36,A191,1
A14,18,1098,A92,65,A191,1
A14,18,1169,A93,29,A192,1
A11,21,2606,A92,28,A192,1
A14,15,2186,A92,33,A191,1
A14,36,10477,A93,42,A191,1
A11,21,3763,A93,24,A191,1
A14,15,3594,A92,46,A191,1
A14,11,2142,A91,28,A192,1
A11,24,6872,A91,55,A192,2
A14,9,1224,A93,30,A191,1
A11,24,3349,A93,30,A192,2
A11,28,4006,A93,45,A191,2
A14,15,3556,A93,29,A191,1
A14,42,7166,A94,29,A192,1
A11,24,1193,A92,29,A191,2
A11,60,7297,A93,36,A191,2
A14,13,1409,A92,64,A191,1
A11,45,1845,A93,23,A192,2
A12,45,4576,A93,27,A191,1
