@relation german

@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Age numeric
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A40,30,A173,1,A201,1
A43,33,A173,1,A201,1
A49,34,A173,1,A201,1
A42,27,A173,1,A201,1
A43,23,A172,1,A201,1
A43,30,A174,1,A201,1
A43,33,A173,1,A201,1
A43,42,A172,2,A201,1
A40,32,A173,1,A202,1
A41,38,A173,2,A201,1
A43,23,A173,1,A201,1
A40,36,A173,1,A201,1
A42,19,A172,1,A201,1
A40,36,A173,1,A201,1
A42,25,A173,1,A201,1
A43,34,A173,2,A201,1
A40,28,A173,1,A201,1
A43,29,A173,1,A201,1
A40,30,A173,1,A201,1
A46,49,A172,2,A201,1
A40,30,A173,1,A201,1
A42,35,A173,1,A201,1
A49,42,A173,1,A201,1
A43,38,A173,1,A202,1
A42,44,A173,2,A201,1
A41,20,A173,1,A201,1
A48,31,A172,1,A201,1
A41,38,A174,2,A201,1
A43,46,A173,1,A201,1
A40,40,A172,2,A201,1
A45,48,A173,2,A202,1
A40,44,A173,1,A201,1
A49,28,A173,1,A201,1
A41,44,A173,1,A201,1
A42,28,A173,1,A201,1
A42,50,A173,1,A201,1
A49,27,A173,1,A201,1
A41,41,A173,1,A201,1
A43,39,A173,1,A201,1
A40,26,A173,1,A201,1
A43,41,A173,1,A201,1
A43,25,A173,1,A201,1
A49,36,A173,1,A201,1
A43,26,A173,1,A201,1
A42,40,A174,1,A201,1
A43,46,A173,1,A201,1
A42,30,A172,1,A201,1
A41,28,A172,1,A201,1
A43,27,A173,1,A201,1
A40,59,A173,1,A201,1
A43,61,A172,1,A201,1
A40,65,A173,1,A201,1
A40,33,A172,1,A201,1
A40,60,A173,1,A201,1
A43,36,A173,1,A201,1
A40,37,A173,1,A201,1
A41,29,A173,1,A201,1
A43,28,A173,1,A201,1
A49,24,A172,1,A201,1
A43,44,A173,2,A201,1
A49,26,A172,1,A201,1
A41,23,A171,1,A201,1
A41,30,A174,1,A201,1
A42,32,A172,2,A201,1
A49,26,A173,1,A202,1
A40,40,A173,1,A201,1
A43,36,A173,1,A201,1
A43,49,A173,1,A201,1
A48,40,A173,1,A201,1
A40,51,A173,1,A201,1
A43,27,A174,1,A201,1
A43,33,A173,1,A201,1
A42,25,A173,1,A201,1
A41,36,A174,2,A201,1
A43,64,A173,1,A201,1
A40,37,A172,2,A201,1
A41,40,A173,2,A201,1
A40,35,A172,2,A201,1
