@relation german

@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute Age numeric
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A43,67,A173,1,A201,1
A42,53,A173,1,A201,1
A43,39,A172,1,A201,1
A44,37,A173,1,A201,1
A43,24,A173,1,A201,1
A43,50,A173,1,A201,1
A41,30,A173,1,A201,1
A41,66,A174,1,A201,1
A43,47,A173,1,A201,1
A43,56,A173,1,A201,1
A43,33,A172,2,A201,2
A40,25,A173,1,A201,2
A45,30,A173,1,A201,2
A42,27,A172,1,A201,1
A43,38,A173,1,A201,1
A43,24,A173,1,A201,1
A49,36,A174,1,A201,1
A40,38,A173,1,A201,1
A42,34,A174,1,A201,2
A40,38,A172,2,A201,1
A44,26,A173,1,A201,1
A43,26,A172,1,A201,1
A42,22,A173,1,A201,1
A43,35,A173,1,A201,1
A48,35,A172,2,A201,1
A43,52,A173,1,A201,1
A42,26,A173,1,A201,1
A42,35,A173,1,A201,1
A43,29,A173,1,A201,2
A43,57,A172,1,A201,1
A41,23,A173,1,A201,1
A43,49,A172,1,A201,1
A410,40,A171,1,A201,1
A42,31,A173,1,A201,2
A41,34,A174,1,A201,1
A46,24,A173,1,A201,1
A43,25,A173,1,A201,1
A49,33,A174,1,A201,1
A46,32,A173,2,A201,2
A43,26,A174,1,A201,2
A42,23,A173,1,A201,2
A41,27,A173,1,A201,1
A43,33,A173,1,A201,1
A43,21,A173,1,A201,1
A43,20,A173,1,A201,1
A40,33,A173,1,A201,2
A42,25,A173,1,A201,2
A410,29,A174,1,A201,2
A43,25,A173,1,A201,2
A45,23,A172,1,A201,1
A40,39,A174,1,A201,1
A46,41,A172,2,A201,2
A43,29,A173,1,A201,1
A43,33,A173,1,A201,2
A49,39,A172,1,A201,1
A43,27,A173,1,A201,1
A43,38,A173,1,A201,1
A40,39,A172,2,A202,1
A42,29,A174,1,A201,2
A40,27,A173,1,A201,2
A43,38,A173,2,A201,2
A43,28,A173,1,A201,1
A42,23,A173,1,A201,2
A40,43,A173,1,A201,1
A43,24,A173,1,A201,2
A43,31,A173,1,A201,2
A40,41,A172,2,A201,1
A43,23,A173,1,A201,2
A40,61,A172,1,A201,1
A43,34,A173,1,A201,2
A42,31,A172,1,A201,2
A43,34,A173,1,A201,1
A42,23,A172,1,A201,2
A43,27,A172,1,A201,1
A44,47,A172,1,A201,2
A410,40,A174,1,A201,2
A44,22,A173,1,A201,2
A43,29,A173,1,A201,1
A49,48,A174,1,A201,1
A46,27,A171,1,A201,2
A40,26,A173,1,A201,2
A40,22,A173,1,A201,1
A43,47,A173,1,A201,1
A49,31,A172,2,A201,1
A40,44,A172,2,A201,1
A43,66,A172,1,A201,1
A40,37,A173,2,A201,1
A40,23,A173,1,A201,1
A41,36,A174,1,A201,1
A42,51,A173,1,A201,1
A43,28,A172,1,A201,1
A49,38,A173,2,A201,1
A42,23,A172,2,A201,1
A40,28,A173,1,A201,1
A42,40,A173,1,A201,1
A40,46,A173,2,A202,1
A49,26,A173,1,A201,1
A43,40,A173,1,A201,1
A43,48,A172,1,A201,1
A42,31,A172,1,A201,1
