@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Customer {1,2}

@data
A14,12,A32,1
A11,24,A32,2
A14,10,A34,1
A13,12,A31,1
A11,30,A34,1
A14,12,A32,1
A12,48,A30,2
A14,27,A32,1
A12,42,A34,1
A14,24,A32,2
A11,18,A32,1
A12,18,A32,1
A14,24,A32,1
A13,6,A32,1
A11,36,A34,1
A11,21,A34,1
A14,24,A34,1
A12,18,A34,2
A12,9,A31,2
A12,9,A34,2
A11,18,A30,1
A13,36,A32,1
A12,18,A32,1
A14,24,A32,1
A14,24,A32,1
A14,9,A32,1
A11,24,A34,1
A13,42,A34,1
A14,12,A34,1
A12,60,A32,2
A14,48,A34,2
A14,15,A34,1
A14,12,A34,1
A11,48,A31,2
A14,18,A32,1
A12,12,A32,1
A12,39,A33,1
A12,12,A32,2
A14,18,A32,1
A14,24,A32,1
A14,36,A34,1
A14,28,A34,1
A11,42,A34,1
A12,20,A33,1
A14,12,A30,1
A11,11,A34,1
A11,6,A32,1
A11,15,A32,1
A14,33,A33,1
A12,24,A32,2
A11,18,A30,2
A14,15,A33,1
A11,24,A32,2
A12,26,A32,1
A13,21,A34,2
A11,12,A31,2
A12,9,A32,1
A14,24,A34,1
A14,9,A32,1
A12,24,A33,1
A14,18,A34,2
A14,18,A32,1
A13,24,A32,2
A12,18,A34,1
A14,24,A34,1
A13,30,A34,1
A14,24,A34,1
A14,60,A32,1
A14,15,A33,1
A14,60,A32,1
A11,12,A32,1
A14,18,A34,1
A14,30,A34,1
A13,9,A30,2
A11,18,A32,2
A11,13,A34,1
A14,30,A34,1
A14,36,A34,1
A12,12,A30,1
A14,48,A34,1
A14,9,A32,1
A14,24,A33,1
A11,48,A32,2
A12,36,A33,1
A14,24,A34,1
A11,20,A34,2
A11,15,A32,2
A14,27,A34,1
A14,36,A32,1
A11,12,A32,2
A12,48,A32,2
A14,28,A31,1
A12,36,A34,1
A11,24,A32,2
A14,30,A32,1
A12,9,A32,2
A13,9,A32,2
A11,36,A33,2
A14,24,A32,2
A14,24,A33,2
