@relation german

@attribute InstallmentRate numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Guarantors {A101,A103,A102}
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
4,A92,A101,1,A192,2
3,A93,A101,1,A191,1
2,A93,A101,2,A192,1
4,A93,A101,1,A191,1
4,A92,A101,2,A191,2
4,A93,A101,1,A191,1
4,A93,A101,1,A191,1
1,A93,A101,2,A192,1
3,A93,A101,1,A191,1
1,A93,A103,1,A191,1
2,A93,A101,1,A191,1
2,A94,A101,1,A191,1
4,A93,A101,1,A192,1
4,A92,A101,1,A191,1
4,A93,A103,3,A192,1
2,A93,A101,1,A191,2
4,A92,A101,2,A192,1
1,A93,A101,1,A192,1
1,A93,A101,2,A191,1
2,A93,A101,1,A192,1
4,A92,A101,1,A191,2
2,A93,A101,3,A192,2
4,A93,A103,1,A191,2
4,A92,A101,1,A192,1
4,A93,A101,2,A191,1
1,A93,A102,2,A192,2
1,A93,A101,1,A191,1
4,A93,A101,2,A191,1
4,A93,A101,2,A191,1
1,A91,A101,1,A192,2
2,A92,A101,2,A191,1
4,A91,A101,1,A192,1
4,A91,A101,1,A191,1
1,A92,A101,2,A191,1
1,A93,A101,2,A191,1
2,A93,A101,2,A192,1
4,A92,A101,2,A191,2
3,A93,A101,2,A191,2
1,A92,A101,1,A192,1
2,A93,A101,1,A191,1
4,A92,A101,2,A191,1
4,A93,A101,2,A192,1
3,A94,A101,2,A192,1
4,A93,A101,1,A191,1
1,A92,A101,2,A192,1
4,A93,A101,2,A191,1
1,A94,A101,1,A192,1
4,A93,A101,1,A192,1
3,A93,A101,1,A192,2
4,A93,A101,1,A192,1
4,A92,A102,1,A192,1
4,A93,A101,2,A191,1
4,A94,A103,1,A191,1
4,A94,A102,2,A191,1
2,A92,A101,2,A192,2
4,A92,A101,1,A192,1
4,A92,A101,2,A191,1
3,A92,A101,2,A192,1
4,A92,A101,1,A191,1
4,A92,A101,2,A191,2
4,A92,A102,1,A191,2
2,A92,A102,1,A191,2
2,A93,A101,1,A191,2
2,A93,A101,2,A192,1
4,A93,A101,2,A191,1
4,A94,A103,2,A192,1
4,A93,A101,2,A191,1
1,A94,A101,1,A191,1
1,A92,A101,1,A191,1
4,A93,A101,1,A192,1
4,A93,A101,2,A192,1
4,A93,A101,1,A191,1
3,A92,A101,1,A191,2
2,A93,A101,1,A191,1
4,A93,A101,2,A191,2
4,A93,A101,1,A192,2
2,A93,A101,2,A192,1
3,A92,A101,2,A192,2
4,A93,A101,2,A192,1
4,A93,A101,1,A192,2
1,A94,A101,2,A191,1
1,A92,A101,2,A191,1
4,A93,A101,4,A191,1
4,A93,A101,2,A192,2
2,A92,A101,1,A191,2
3,A93,A101,2,A191,1
2,A93,A101,2,A191,2
4,A94,A101,1,A192,1
4,A92,A101,1,A192,2
4,A92,A101,2,A191,1
3,A93,A102,1,A192,1
3,A91,A101,1,A192,2
1,A92,A101,1,A191,1
2,A92,A101,1,A191,1
1,A93,A101,1,A192,2
4,A92,A101,1,A191,1
4,A93,A102,1,A191,1
3,A92,A101,1,A191,2
4,A93,A101,2,A191,2
2,A93,A101,1,A191,2
