@relation glass

@attribute RI numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517938,0,1
1.516184,0,1
1.51967,0,1
1.51787,0,1
1.51869,0,1
1.52172,0,1
1.519009,0,1
1.515957,0,1
1.51762,0,1
1.519761,0.68985,1
1.517483,0,1
1.517551,0,1
1.515888,0,1
1.517847,0,1
1.517528,0,1
1.517209,0,1
1.518986,0,1
1.523201,0,1
1.517756,0.09135,1
1.52213,0,1
1.517346,0,1
1.517665,0,1
1.526663,0,1
1.5191,0.11025,1
1.51762,0,1
1.521515,0,1
1.518075,0,1
1.51762,0,1
1.52172,0,1
1.51926,0,1
1.517938,0,1
1.51566,0,1
1.520991,0,1
1.517551,0,1
1.517209,0,1
1.522107,0,1
1.519055,0,1
1.5191,0,1
1.522221,0,1
1.519191,0,1
1.515706,0,1
1.517415,0,1
1.521014,0,1
1.521515,0,1
1.518371,0,1
1.517961,0,1
1.517506,0,1
1.517688,0,1
1.518235,0,1
1.517551,0,1
1.522267,0,1
1.522996,0,1
1.517506,0,1
1.517551,0,1
1.517825,0,1
1.521971,0,1
1.517688,0,1
1.517688,0,1
1.517369,0,1
1.517779,0,1
1.51746,0,1
1.517437,0,1
1.517847,0,1
1.516184,0,2
1.52475,0,2
1.517096,0,2
1.518121,0.1386,2
1.515683,0,2
1.518485,0,2
1.516594,0,2
1.515934,0,2
1.51828,0,2
1.516458,0,2
1.521765,0,2
1.518508,0.09135,2
1.518121,0,2
1.516458,0,2
1.516321,0,2
1.515934,0,2
1.517073,0,2
1.518121,0,2
1.518713,0,2
1.524089,0,2
1.515934,0,2
1.516549,0.11025,2
1.514089,0,2
1.516731,0,2
1.518007,0,2
1.520809,0,2
1.521765,0,2
1.531242,3.15,2
1.516276,0,2
1.516458,0,2
1.516253,0,2
1.515911,0,2
1.518462,0,2
1.515911,0,2
1.526139,0,2
1.52664,0,2
1.51664,0,2
1.516891,0,2
1.516891,0,2
1.518918,0,2
1.527255,0,2
1.517073,0,2
1.516139,0,2
1.516731,0,2
1.516526,0,2
1.51844,0,2
1.515957,0,2
1.518189,0,2
1.517301,0,2
1.517437,0,2
1.53393,0,2
1.518189,0,2
1.516731,0,2
1.517118,0,2
1.517893,0,2
1.516868,0,2
1.516617,0.5985,2
1.518599,0,2
1.515911,0,2
1.522221,0,2
1.516048,0,2
1.520194,0,2
1.527779,0,2
1.515888,0,2
1.520672,0.2709,2
1.518417,0,2
1.515729,0,2
1.518417,0,2
1.522107,0,3
1.517779,0,3
1.517688,0,3
1.516549,0,3
1.521219,0,3
1.51664,0,3
1.517756,0,3
1.516708,0,3
1.517961,0,3
1.516435,0,3
1.516936,0,3
1.521264,0,3
1.516093,0,3
1.518326,0,3
1.516458,0,3
1.519693,0,5
1.521515,0,5
1.519943,0,5
1.520581,0.2394,5
1.519146,0,5
1.520421,0,5
1.521196,0,5
1.516663,0,5
1.5132,0,5
1.523679,0,5
1.515137,2.1987,5
1.519693,0,6
1.518872,0,6
1.518531,0,6
1.519169,0,6
1.519055,0,6
1.512995,0,6
1.51828,0,6
1.519374,0,6
1.516025,0.63945,7
1.51623,1.06155,7
1.516458,1.3797,7
1.517278,0.6615,7
1.523155,0,7
1.523656,1.67895,7
1.515455,0.6111,7
1.522472,0,7
1.515569,0.80955,7
1.516572,1.71045,7
1.516389,0.53865,7
1.516526,0,7
1.517118,1.6695,7
1.517323,1.5498,7
1.515319,0.63945,7
1.515091,0.63,7
1.51623,0.40005,7
1.511309,1.1907,7
1.515137,0.5607,7
1.516139,0.75915,7
1.516162,0.67095,7
1.516845,1.59075,7
1.516503,1.5687,7
1.516093,0.5292,7
1.518371,1.62855,7
1.516822,1.5687,7
