@relation glass

@attribute RI numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.52213,3.82099,0.11178,1
1.519761,3.57853,0.11799,1
1.517506,3.56955,0.621,1
1.517551,3.74017,0.58995,1
1.51762,3.53812,0.57753,1
1.526663,3.69976,0.01863,1
1.517415,3.61894,0.55269,1
1.527255,3.15198,0.08073,2
1.526139,0,0.19251,2
1.515934,3.592,0.67068,2
1.518417,3.61894,0.63963,2
1.516868,3.53812,0.5589,2
1.515911,3.57853,0.68931,2
1.515911,3.34056,0.39123,2
1.520672,2.08785,0.52785,2
1.51664,3.44832,0.60237,3
1.517688,3.65935,0.11178,3
1.521196,0.32777,0.13041,5
1.519374,2.41113,0,6
1.511309,3.20137,1.75743,7
1.516162,0,0,7
1.516025,0,0,7
