@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.521515,13.05085,3.65037,1
1.521014,13.6427,4.49,1
1.515957,12.7915,3.60996,1
1.51926,13.19715,3.33158,1
1.522107,13.72915,3.83895,1
1.51762,12.81145,3.53812,1
1.518075,13.4299,2.86911,1
1.517847,12.67845,3.66833,1
1.519191,14.417,3.57853,1
1.517938,13.21045,3.47975,1
1.519009,13.48975,3.47975,1
1.517825,12.69175,3.53812,1
1.517551,13.4831,3.74017,1
1.521971,14.3609,3.84793,1
1.522996,13.3102,3.57853,1
1.517551,13.39,3.65935,1
1.517961,12.7383,3.47975,1
1.517551,12.99765,3.60098,1
1.517209,13.3767,3.5022,1
1.517415,13.2703,3.61894,1
1.517506,12.8181,3.55159,1
1.517938,12.7915,3.5022,1
1.518986,13.58285,3.34954,1
1.51787,12.73165,3.43036,1
1.520991,13.68925,3.592,1
1.5191,13.88875,3.52914,1
1.515706,12.71835,3.46179,1
1.51869,13.1905,3.37199,1
1.52172,13.4831,3.74017,1
1.518235,12.8713,3.47975,1
1.52172,13.5097,3.8614,1
1.519055,13.6028,3.61894,1
1.517779,13.21045,2.81074,1
1.518371,13.1373,2.84217,1
1.522221,13.21045,3.7716,1
1.515888,12.87795,3.43036,1
1.517642,12.9777,3.53812,1
1.517483,12.858,3.56057,1
1.517437,13.2969,3.60098,1
1.517688,12.55875,3.52016,1
1.51566,13.29025,3.44832,1
1.51762,12.79815,3.65935,1
1.519761,13.80895,3.57853,1
1.52213,14.20795,3.82099,1
1.517688,12.45235,2.71196,1
1.526663,13.9885,3.69976,1
1.522267,14.16805,3.81201,1
1.517506,12.81145,3.56955,1
1.517756,12.85135,3.47975,1
1.517346,13.0176,3.53812,1
1.521515,13.11735,3.57853,1
1.517688,12.65185,3.56057,1
1.512152,12.991,3.47077,1
1.517369,12.7782,3.61894,1
1.51967,14.7732,3.74915,1
1.517847,13.7745,3.48873,1
1.5191,13.90205,3.73119,1
