@relation tae

@attribute Instructor numeric
@attribute Semester numeric
@attribute Class {1,2,3}

@data
10,2,1
7,2,1
8,2,1
14,2,1
2,2,1
19,2,1
3,2,1
21,2,1
13,1,1
13,2,1
13,1,1
5,2,1
22,2,1
10,2,1
4,2,1
7,2,1
17,2,1
18,2,1
23,2,1
14,2,1
15,2,1
20,2,1
11,2,1
8,2,1
20,2,1
23,2,1
18,2,1
16,2,1
23,2,1
22,2,1
21,2,1
10,2,1
2,2,1
13,2,1
5,2,1
11,2,1
14,2,1
3,2,1
22,2,1
15,2,1
5,2,1
12,2,1
16,2,1
4,2,1
20,2,2
7,2,2
25,2,2
22,2,2
14,2,2
22,2,2
9,2,2
7,2,2
7,2,2
11,2,2
15,2,2
8,2,2
22,2,2
13,2,2
1,1,2
7,2,2
9,2,2
18,2,2
13,1,2
6,2,2
23,2,2
8,2,2
12,2,2
14,2,2
13,1,2
6,2,2
1,2,2
17,2,2
23,1,2
6,2,2
2,2,2
22,2,2
9,2,2
23,1,2
6,2,2
7,2,2
14,2,2
22,2,2
25,2,2
25,2,2
15,2,2
7,2,2
24,2,2
2,2,2
22,2,2
18,2,3
9,2,3
18,2,3
13,2,3
13,2,3
16,2,3
23,1,3
22,2,3
6,2,3
23,1,3
9,2,3
14,2,3
9,2,3
15,1,3
18,2,3
14,2,3
15,1,3
23,2,3
23,1,3
18,2,3
22,1,3
1,2,3
8,2,3
23,1,3
10,2,3
23,1,3
7,2,3
9,2,3
23,1,3
20,2,3
22,2,3
13,2,3
10,2,3
23,2,3
13,1,3
5,2,3
17,2,3
10,2,3
10,2,3
5,2,3
17,2,3
7,2,3
10,2,3
6,2,3
23,2,3
13,2,3
9,2,3
