@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
38,66,126,140,140,184,van
49,85,141,167,186,182,van
40,62,117,145,156,184,van
39,57,114,139,151,183,van
45,91,161,148,171,197,van
39,64,111,141,139,183,van
39,57,126,135,145,197,van
44,85,139,155,175,184,van
39,58,125,134,148,190,van
39,77,153,139,123,201,van
45,73,167,148,176,190,van
47,85,145,155,184,186,van
48,83,178,159,184,187,van
42,66,142,142,164,191,van
45,71,150,147,179,187,van
41,66,125,143,161,182,van
44,72,157,144,171,196,van
41,64,148,142,153,194,van
39,60,140,134,141,200,van
36,66,123,128,131,186,van
43,88,157,157,140,197,van
43,82,136,149,161,186,van
44,84,158,148,166,199,van
38,74,138,133,128,189,van
47,73,136,153,185,183,van
35,44,110,121,137,180,van
42,64,150,141,159,193,van
47,85,147,151,186,186,van
35,70,138,128,112,199,van
43,85,133,153,165,184,van
46,82,145,160,189,183,van
46,84,163,159,176,186,van
45,87,169,149,174,192,van
42,64,158,142,170,192,van
45,85,160,157,162,189,van
43,70,250,145,172,190,van
37,60,115,132,129,186,van
42,66,133,144,160,193,van
38,70,125,139,132,186,van
37,76,138,135,124,191,van
37,72,146,135,128,192,van
49,87,137,162,186,183,van
48,85,157,167,186,185,van
37,62,113,129,135,181,van
40,82,163,140,137,199,van
46,85,169,147,179,195,van
44,76,125,151,176,184,van
46,88,160,148,182,192,van
36,68,127,132,116,195,van
42,89,147,145,163,187,van
45,81,166,147,179,194,van
37,70,126,137,119,191,van
46,88,174,148,182,194,van
48,75,136,163,185,183,van
35,64,129,125,123,196,van
46,75,133,161,171,182,van
45,88,173,157,157,192,van
46,73,137,158,186,182,van
39,78,164,140,126,201,van
40,79,154,139,149,188,van
37,70,145,134,140,194,van
50,84,138,170,187,182,van
49,87,159,158,203,183,van
34,62,140,127,112,200,van
42,64,151,142,161,203,van
35,66,147,127,115,196,van
40,81,162,139,157,189,van
45,82,133,156,173,183,van
43,70,133,146,156,190,van
36,68,149,134,119,201,van
36,66,151,135,119,201,van
39,77,160,150,124,201,van
46,78,148,152,199,189,van
40,62,144,139,150,204,van
36,53,113,128,136,180,van
47,84,133,160,176,182,van
45,66,139,148,175,188,van
42,64,123,144,155,185,van
48,87,162,161,186,184,van
41,63,134,137,150,186,van
42,85,144,144,161,187,van
49,82,139,162,185,182,van
38,66,130,138,123,191,van
41,79,159,150,134,195,van
43,88,170,147,143,196,van
37,49,112,128,146,180,van
36,53,117,125,138,180,van
46,76,162,155,172,184,van
47,85,163,158,178,183,van
44,78,160,148,171,201,van
45,80,162,148,161,199,van
45,73,161,144,179,191,van
48,77,132,164,187,182,van
42,80,162,145,147,189,van
40,73,139,138,137,187,van
43,78,162,145,159,203,van
37,69,150,134,124,189,van
37,70,150,140,121,196,van
38,76,143,131,138,189,van
44,78,164,147,171,190,van
40,60,131,137,153,193,van
47,75,121,165,176,182,van
37,51,105,128,125,179,van
36,60,126,130,118,192,van
48,78,143,159,186,184,van
44,88,176,149,154,194,van
45,83,142,155,188,184,van
39,58,117,139,150,181,van
43,76,142,149,159,187,van
37,53,121,125,133,179,van
48,86,306,156,200,185,van
43,72,157,145,167,201,van
41,80,147,144,161,188,van
46,90,172,150,184,192,van
41,62,133,143,157,184,van
46,92,159,157,171,189,van
45,80,154,148,174,188,van
46,80,143,156,186,185,van
48,81,144,156,200,185,van
42,63,144,142,162,197,van
43,84,136,150,164,185,van
40,59,116,137,157,177,van
36,51,109,129,125,181,van
41,75,124,141,149,184,van
40,58,137,140,150,199,van
39,76,155,137,124,201,van
37,68,145,130,121,195,van
47,87,164,149,182,192,van
46,77,125,160,177,183,van
46,74,135,158,177,184,van
44,69,152,145,162,187,van
44,85,166,150,159,192,van
46,78,150,160,176,185,van
48,83,162,153,187,185,van
47,81,147,163,188,184,van
41,82,170,145,140,199,van
46,85,164,163,170,189,van
47,80,131,163,174,182,van
45,85,149,158,173,183,van
47,83,322,163,176,184,van
39,68,119,135,142,182,van
40,66,111,140,148,182,van
36,63,139,136,121,193,van
47,85,161,157,178,184,van
45,81,246,160,177,183,van
41,82,159,143,127,199,van
39,68,136,144,134,186,van
35,58,136,132,116,197,van
47,85,161,160,185,185,van
35,60,143,129,109,202,van
40,55,114,139,158,176,van
38,60,130,132,137,190,van
40,70,120,141,139,183,van
42,70,131,145,152,189,van
39,82,164,137,158,191,van
43,66,157,146,164,193,van
34,58,140,130,113,199,van
47,85,333,155,187,188,van
44,70,137,146,166,186,van
37,51,111,127,147,181,van
39,68,121,142,134,186,van
37,52,116,126,144,186,van
41,66,131,144,155,191,van
36,64,165,136,127,193,van
38,58,119,129,152,184,van
48,78,134,167,185,182,van
46,91,175,155,192,190,van
43,85,160,151,174,185,van
44,66,151,146,167,188,van
42,66,125,144,162,188,van
43,81,231,149,164,186,van
44,90,166,156,143,194,van
42,64,150,142,159,193,van
49,82,137,160,186,183,van
38,70,160,139,130,192,van
35,66,151,129,112,195,van
36,51,115,124,127,181,van
47,85,149,155,186,185,van
48,84,150,165,188,185,van
39,62,129,135,145,199,van
35,52,121,125,128,181,saab
50,90,188,158,220,191,saab
48,105,214,152,178,192,saab
38,77,161,129,153,188,saab
42,101,186,138,168,194,saab
53,108,206,168,201,189,saab
54,105,203,164,235,190,saab
53,103,202,168,214,188,saab
38,58,137,131,157,180,saab
40,85,186,139,133,200,saab
37,63,130,130,145,184,saab
47,88,200,151,205,195,saab
46,81,187,154,175,198,saab
37,54,119,127,146,184,saab
36,78,165,128,124,203,saab
53,103,210,172,212,188,saab
36,83,162,128,137,193,saab
54,103,220,167,212,188,saab
51,103,182,162,217,188,saab
51,105,174,163,222,187,saab
46,104,184,147,198,189,saab
55,107,222,173,229,188,saab
41,64,148,138,173,182,saab
40,100,178,134,160,192,saab
52,104,199,162,212,189,saab
48,85,189,153,190,195,saab
51,105,197,162,194,196,saab
49,100,194,160,178,198,saab
38,78,191,136,141,192,saab
36,51,114,126,144,181,saab
52,110,228,163,220,194,saab
50,103,199,156,188,190,saab
54,96,201,170,217,187,saab
53,108,211,168,198,190,saab
53,101,190,166,202,188,saab
39,63,146,134,158,198,saab
37,54,118,127,140,180,saab
44,77,150,143,177,183,saab
50,104,197,159,186,191,saab
55,108,228,168,214,188,saab
51,100,206,159,201,194,saab
43,76,149,143,176,189,saab
39,72,133,132,149,184,saab
37,80,180,129,144,190,saab
48,101,203,152,174,189,saab
52,101,197,162,203,193,saab
34,66,158,124,117,201,saab
37,80,171,132,115,201,saab
53,108,213,163,202,194,saab
38,82,156,129,137,187,saab
53,93,197,165,196,188,saab
39,81,191,138,131,197,saab
42,77,151,142,158,198,saab
49,109,193,156,213,191,saab
43,92,197,143,153,195,saab
37,57,132,125,144,180,saab
45,100,195,149,186,192,saab
33,50,104,118,127,179,saab
54,102,201,171,221,188,saab
36,85,184,125,139,195,saab
39,88,189,132,156,191,saab
51,96,203,157,231,191,saab
39,74,152,136,140,187,saab
39,89,181,132,154,189,saab
49,109,204,159,215,190,saab
40,72,139,135,150,191,saab
48,98,208,151,183,193,saab
44,95,202,144,175,190,saab
49,103,200,155,215,189,saab
51,104,191,162,190,191,saab
53,109,221,169,212,188,saab
54,103,212,162,240,189,saab
54,101,222,173,200,187,saab
51,90,209,156,230,189,saab
54,108,234,168,228,189,saab
34,53,127,121,127,185,saab
47,88,190,155,169,201,saab
36,72,162,133,121,196,saab
38,80,169,131,137,192,saab
45,76,175,149,169,198,saab
51,112,201,162,194,190,saab
54,103,205,175,213,187,saab
55,101,213,177,213,187,saab
54,106,221,164,238,189,saab
44,98,197,146,152,195,saab
46,105,195,150,195,192,saab
55,104,213,167,220,187,saab
53,104,181,167,214,189,saab
47,109,202,154,165,194,saab
51,105,168,162,221,187,saab
46,104,208,148,169,190,saab
46,77,169,148,181,193,saab
53,104,223,164,210,190,saab
53,108,204,172,203,189,saab
55,103,213,172,216,187,saab
52,109,182,171,214,189,saab
53,105,184,168,218,186,saab
38,88,179,131,144,195,saab
37,59,134,128,143,179,saab
49,106,211,158,184,190,saab
53,110,231,165,222,192,saab
34,66,136,118,118,196,saab
40,83,166,133,155,186,saab
48,90,178,152,198,192,saab
54,109,225,169,212,189,saab
51,98,194,161,219,192,saab
56,104,231,172,217,189,saab
52,104,189,163,197,187,saab
41,88,184,140,147,196,saab
45,81,177,147,188,192,saab
41,69,153,141,169,202,saab
46,100,197,149,160,194,saab
36,54,117,126,128,180,saab
45,76,162,147,177,190,saab
39,83,176,132,142,192,saab
46,83,154,148,184,186,saab
42,98,192,138,173,189,saab
45,77,188,151,174,194,saab
55,104,219,171,223,186,saab
48,104,196,152,199,188,saab
48,85,191,153,187,197,saab
52,101,213,158,204,192,saab
45,82,155,149,170,188,saab
54,100,186,173,220,185,saab
53,108,211,167,216,196,saab
36,74,171,128,123,197,saab
39,87,183,134,149,188,saab
53,105,225,167,202,186,saab
51,108,193,163,203,190,saab
38,86,175,134,138,191,saab
37,86,167,131,144,190,saab
43,69,161,143,187,193,saab
36,75,136,125,138,189,saab
52,100,203,165,214,188,saab
37,54,131,127,141,180,saab
50,90,192,155,197,193,saab
54,100,220,170,202,187,saab
54,109,189,174,214,189,saab
40,89,174,133,155,189,saab
54,108,228,170,224,190,saab
39,83,170,134,152,188,saab
38,63,115,130,146,181,saab
56,101,231,171,216,187,saab
47,81,176,152,185,191,saab
42,90,192,144,138,199,saab
37,74,187,134,134,190,saab
40,66,136,137,164,182,saab
40,75,137,134,160,182,saab
39,86,180,134,129,197,saab
41,66,140,136,178,181,saab
37,60,132,129,132,186,saab
54,106,220,167,232,192,saab
38,83,141,132,149,185,saab
40,78,170,139,160,191,saab
38,75,136,131,149,186,saab
53,95,202,160,237,188,saab
53,100,205,166,214,189,saab
50,96,211,156,195,195,saab
55,100,201,173,221,185,saab
53,98,193,169,218,188,saab
36,78,146,124,148,190,saab
54,106,215,166,218,189,saab
43,89,195,144,166,191,saab
51,100,201,162,184,198,saab
54,102,206,164,240,187,saab
37,71,171,134,125,196,saab
36,54,119,125,139,179,saab
50,94,215,158,214,193,saab
40,63,135,135,166,187,saab
40,62,140,133,173,180,saab
53,106,172,168,223,187,saab
36,77,157,126,123,195,saab
53,98,176,171,218,187,saab
47,83,169,150,190,187,saab
45,79,176,148,179,199,saab
48,107,202,153,200,190,saab
33,40,115,119,127,181,saab
54,98,203,167,216,187,saab
35,53,122,123,128,183,saab
36,69,162,131,126,193,saab
53,101,199,168,221,187,saab
37,76,183,134,139,192,saab
50,106,209,158,220,188,saab
34,72,144,123,125,200,saab
38,63,129,130,158,180,saab
37,66,126,127,142,183,saab
47,96,206,150,191,190,saab
38,55,120,128,145,180,saab
49,105,209,157,168,193,saab
51,108,201,163,202,189,saab
43,77,147,146,174,194,saab
49,83,187,154,222,189,saab
54,101,197,172,222,187,saab
38,71,123,127,145,181,saab
52,100,191,158,234,191,saab
53,98,154,164,222,185,bus
43,76,180,143,173,185,bus
52,103,170,160,250,183,bus
57,106,177,170,261,182,bus
44,63,123,147,185,179,bus
56,104,185,168,230,180,bus
52,86,207,161,221,194,bus
41,76,183,136,153,191,bus
55,98,199,168,245,186,bus
