@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
41,84,141,143,158,189,van
36,70,143,130,127,194,van
39,70,148,136,141,192,bus
53,105,219,165,224,191,saab
38,71,174,133,130,189,saab
44,96,195,144,165,191,saab
38,63,135,130,139,183,opel
45,86,201,145,183,194,bus
40,76,188,136,148,193,bus
41,84,141,145,162,188,van
50,108,211,156,218,188,opel
42,80,151,139,170,185,saab
42,85,174,144,150,196,van
42,68,150,143,159,192,van
44,68,135,145,173,180,bus
40,77,159,141,143,190,van
35,50,121,122,138,182,opel
47,88,162,157,185,189,van
48,78,142,160,185,183,van
36,57,130,127,132,190,saab
36,77,165,128,131,196,saab
40,76,171,135,144,192,bus
43,72,172,144,158,203,saab
36,78,149,128,134,197,opel
51,103,197,160,187,190,opel
54,103,161,166,242,181,bus
36,60,116,124,121,178,opel
46,106,209,149,210,191,saab
54,103,171,172,201,190,opel
55,100,194,175,219,187,opel
47,81,149,152,181,188,van
50,81,197,158,198,197,bus
41,66,133,136,162,183,saab
54,98,210,169,216,188,saab
35,47,110,122,139,180,van
45,73,164,146,188,195,opel
58,103,230,176,246,187,opel
44,80,140,157,176,183,van
50,110,186,159,203,191,saab
44,93,193,147,151,193,opel
40,98,192,135,165,195,saab
42,63,126,142,173,180,bus
45,105,208,150,158,198,saab
55,101,219,178,213,187,opel
47,69,146,147,195,183,bus
42,88,188,141,168,189,opel
47,77,204,150,182,199,bus
43,70,169,145,171,184,bus
53,108,206,168,209,188,saab
53,91,194,161,214,192,bus
43,70,124,144,172,183,van
41,62,147,141,157,201,van
56,105,202,179,212,189,opel
46,71,156,147,198,181,bus
39,86,140,134,139,183,opel
51,108,193,162,184,191,opel
54,96,185,170,217,187,opel
55,103,167,172,239,179,bus
40,66,139,139,143,202,van
44,84,135,158,164,183,van
40,66,138,133,151,186,saab
36,68,141,130,127,189,van
40,79,183,138,150,189,opel
56,103,234,174,214,187,saab
52,108,207,168,200,190,saab
44,77,155,141,161,187,opel
38,75,132,131,145,183,saab
42,76,156,143,157,187,bus
58,109,230,182,207,187,opel
51,80,207,159,188,194,bus
45,70,122,144,186,180,bus
57,107,235,171,260,180,bus
42,71,152,142,158,184,bus
42,96,197,141,149,193,opel
45,85,163,156,176,187,van
51,104,217,162,195,188,saab
43,72,142,140,165,186,saab
45,101,201,143,195,189,saab
43,66,123,145,171,179,bus
39,85,160,131,158,186,saab
43,68,150,143,174,192,van
40,53,114,140,157,176,van
43,66,123,146,173,180,bus
37,70,173,129,119,201,bus
