@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
104,106,196,saab
101,100,193,opel
102,85,193,bus
80,63,185,saab
87,85,205,opel
97,108,198,opel
77,75,187,opel
109,109,201,saab
85,64,184,bus
89,54,185,saab
98,68,186,van
88,63,188,saab
93,70,190,van
91,75,198,opel
98,104,195,opel
88,78,197,bus
86,66,185,bus
101,100,192,opel
94,89,209,opel
90,71,197,bus
88,85,195,van
100,101,197,opel
93,85,196,van
91,77,201,saab
106,98,197,saab
90,90,199,saab
82,70,195,bus
105,100,199,saab
87,65,182,bus
106,96,209,opel
89,76,193,van
102,101,198,opel
88,58,183,saab
87,82,196,opel
95,81,198,saab
84,68,187,bus
104,108,201,saab
82,54,184,saab
98,70,203,bus
91,75,191,saab
98,101,196,opel
90,73,191,van
91,82,201,van
106,107,201,opel
100,80,199,bus
105,93,184,bus
94,79,198,opel
88,77,198,opel
109,103,201,opel
98,88,202,van
108,102,185,bus
85,66,182,bus
89,75,198,opel
101,85,210,saab
85,66,182,bus
85,64,203,van
96,82,196,bus
93,78,208,van
97,62,186,van
96,88,199,van
96,94,201,saab
90,85,195,van
110,104,203,saab
94,91,200,van
97,88,191,bus
108,100,205,saab
92,75,202,bus
106,98,198,opel
100,102,196,saab
94,70,206,bus
96,88,202,van
85,69,184,bus
94,84,191,van
106,98,184,bus
81,68,185,bus
97,103,194,opel
90,77,191,van
81,68,185,bus
90,85,195,van
95,82,207,van
86,84,190,opel
92,83,191,saab
94,77,199,saab
86,78,195,saab
85,66,190,van
