@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
91,66,268,van
84,70,280,van
88,58,243,van
94,68,246,van
89,89,338,van
89,60,209,van
89,81,352,van
85,66,212,van
94,66,258,van
88,64,253,van
89,74,278,van
94,82,359,van
90,66,281,van
85,51,207,van
100,90,363,van
98,68,251,van
93,88,334,van
86,76,301,van
91,82,308,van
88,84,350,van
89,84,330,van
88,53,204,van
89,58,225,van
85,73,307,van
90,78,366,van
89,84,368,van
88,85,363,van
90,85,375,van
90,63,259,van
97,62,247,van
98,66,251,van
91,78,323,van
93,78,290,van
83,59,250,van
90,85,389,van
87,53,205,van
94,72,262,van
84,80,349,van
83,53,247,van
94,66,265,van
89,77,314,van
96,58,255,van
91,70,253,van
89,68,291,van
89,76,352,van
91,88,326,van
83,49,219,van
92,70,282,van
93,84,354,van
93,70,240,van
90,86,346,van
86,66,225,van
88,84,351,van
96,88,339,van
93,64,262,van
92,60,194,van
93,85,339,van
93,63,260,van
86,58,204,van
97,88,365,van
97,87,359,van
97,66,246,van
93,62,249,van
88,51,207,van
90,62,246,van
89,85,362,van
90,72,283,van
87,64,265,van
89,84,354,van
90,57,261,van
88,66,227,van
98,68,261,van
93,70,238,van
91,64,249,van
85,57,195,van
86,62,203,van
100,85,387,van
88,55,249,van
86,70,266,van
89,81,347,van
82,70,289,van
94,85,354,van
95,85,347,van
96,77,294,van
87,66,294,van
91,76,256,van
94,87,363,van
94,87,363,van
98,70,243,van
86,68,285,van
92,58,222,van
85,47,203,van
93,73,275,van
95,88,371,van
87,81,325,van
94,81,313,van
96,80,316,van
93,78,281,van
95,82,314,van
94,83,357,van
88,80,318,van
92,66,277,van
85,64,200,van
89,68,265,van
85,68,241,van
93,79,309,van
85,80,324,van
94,84,351,van
93,90,348,van
87,81,317,van
90,72,279,van
92,82,319,van
94,91,358,van
93,82,371,van
93,85,354,van
87,64,264,van
94,82,367,van
97,91,334,van
89,70,273,van
86,75,371,van
91,80,331,van
96,88,354,van
90,85,365,van
84,53,221,van
85,71,307,van
90,81,332,van
85,82,362,van
92,66,275,van
95,92,372,van
91,66,280,van
86,69,284,van
94,68,242,van
90,85,355,van
85,68,253,van
90,81,333,van
94,85,367,van
89,66,254,van
98,88,367,van
89,74,356,van
86,62,223,van
96,64,258,van
95,84,312,van
89,85,345,van
96,85,355,van
90,75,369,van
95,83,379,van
90,73,376,van
90,77,354,van
94,87,366,van
92,62,241,van
96,87,351,van
89,80,369,van
93,83,364,van
90,73,373,van
89,63,223,van
86,44,208,van
89,83,364,van
95,76,381,van
94,85,357,van
89,51,206,van
93,64,279,van
93,85,351,van
96,70,269,van
89,85,356,van
89,85,349,van
90,78,370,van
95,82,365,van
86,58,208,van
91,84,330,van
89,70,237,van
86,60,209,van
93,85,355,van
91,77,289,van
89,77,351,van
88,76,281,van
93,82,309,van
85,75,358,van
89,78,367,van
95,66,253,van
104,108,707,saab
119,106,675,saab
110,104,659,saab
96,69,297,saab
107,103,709,saab
108,105,608,saab
109,104,691,saab
82,51,268,saab
96,101,552,saab
89,69,291,saab
89,52,220,saab
91,75,305,saab
106,98,681,saab
95,95,559,saab
104,106,635,saab
90,90,492,saab
101,108,684,saab
87,66,318,saab
104,108,694,saab
93,81,383,saab
98,109,586,saab
84,53,196,saab
98,96,533,saab
98,90,472,saab
104,101,664,saab
104,105,641,saab
90,85,385,saab
108,100,576,saab
104,100,583,saab
107,108,704,saab
90,72,360,saab
89,54,266,saab
88,77,293,saab
80,63,314,saab
108,103,711,saab
103,106,660,saab
104,101,667,saab
100,102,587,saab
103,100,518,saab
83,54,245,saab
93,90,506,saab
109,96,586,saab
104,96,527,saab
97,104,658,saab
96,94,525,saab
88,57,265,saab
98,90,480,saab
93,86,418,saab
108,109,665,saab
116,110,692,saab
91,83,445,saab
87,74,337,saab
90,80,373,saab
101,98,572,saab
93,88,452,saab
79,55,295,saab
90,85,396,saab
89,85,427,saab
82,66,252,saab
113,98,613,saab
92,76,381,saab
105,108,687,saab
102,104,621,saab
105,105,545,saab
97,101,511,saab
82,54,229,saab
105,100,718,saab
104,105,637,saab
86,77,331,saab
106,108,709,saab
96,100,486,saab
87,60,243,saab
89,77,327,saab
106,98,691,saab
89,77,308,saab
91,72,314,saab
90,66,224,saab
88,58,319,saab
91,98,465,saab
85,75,339,saab
99,104,604,saab
92,71,355,saab
98,78,430,saab
98,81,415,saab
101,101,698,saab
112,110,676,saab
91,83,426,saab
84,75,290,saab
86,66,274,saab
108,103,648,saab
89,82,351,saab
95,71,365,saab
91,79,404,saab
86,66,279,saab
105,108,711,saab
85,50,193,saab
99,105,623,saab
92,83,382,saab
85,53,197,saab
108,104,712,saab
107,108,627,saab
117,110,668,saab
86,63,262,saab
104,101,669,saab
104,100,680,saab
109,103,707,saab
84,83,327,saab
109,103,720,saab
90,89,458,saab
111,103,663,saab
103,106,612,saab
90,74,367,saab
85,75,318,saab
93,72,263,saab
96,74,378,saab
105,105,661,saab
86,62,330,saab
90,83,467,saab
105,100,586,saab
86,64,333,saab
106,101,607,saab
111,108,636,saab
94,69,349,saab
96,78,455,saab
85,66,295,saab
90,66,298,saab
97,105,713,saab
86,78,270,saab
93,98,508,saab
94,77,373,saab
113,93,688,saab
95,104,543,saab
91,88,457,saab
85,72,260,saab
110,100,561,saab
89,80,389,saab
83,54,271,saab
89,80,308,saab
83,54,238,saab
92,78,349,saab
112,104,639,saab
93,76,335,saab
106,107,635,saab
104,107,703,saab
102,101,719,saab
106,106,645,saab
97,88,459,saab
84,77,344,saab
109,109,675,saab
108,109,709,saab
89,77,390,saab
92,86,373,saab
97,95,526,saab
82,59,264,saab
86,86,433,saab
108,109,687,saab
91,72,327,saab
94,88,435,saab
93,63,246,saab
91,72,334,saab
109,109,712,saab
101,101,527,saab
115,100,573,saab
109,109,635,saab
95,105,520,saab
100,81,415,saab
102,106,638,saab
107,103,673,saab
107,104,705,saab
104,108,694,saab
93,98,505,saab
95,81,425,saab
115,100,710,saab
110,104,674,saab
100,88,440,saab
100,92,489,saab
85,40,184,saab
97,96,512,saab
91,77,361,saab
100,104,578,saab
101,112,667,saab
88,90,460,saab
108,103,718,saab
110,102,669,saab
91,83,298,saab
99,89,521,saab
107,98,696,saab
88,63,230,saab
90,57,216,saab
115,100,697,saab
93,87,422,saab
108,103,635,saab
98,104,629,saab
101,85,458,saab
107,98,704,saab
87,65,322,bus
81,71,342,bus
90,71,336,bus
84,66,312,bus
95,73,374,bus
88,70,342,bus
83,68,336,bus
91,81,434,bus
89,72,321,bus
100,89,622,bus
81,68,323,bus
89,75,352,bus
99,77,485,bus
