@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
104,100,686,saab
93,76,405,saab
78,63,299,saab
98,101,661,opel
103,98,567,opel
89,75,317,opel
86,78,305,van
79,80,311,opel
80,57,229,opel
90,80,366,van
80,68,329,bus
89,79,311,van
82,68,320,bus
93,73,347,bus
91,66,325,bus
107,98,866,bus
92,79,396,opel
85,64,323,bus
89,72,286,opel
105,106,640,saab
81,68,333,bus
100,104,642,saab
93,64,268,van
96,74,419,bus
85,65,332,bus
93,75,284,van
103,103,673,opel
94,68,310,bus
86,60,212,van
83,62,218,van
107,106,954,bus
94,73,362,bus
85,70,334,bus
109,100,553,opel
91,66,237,van
89,51,213,van
98,78,300,van
104,96,530,opel
86,75,290,opel
88,77,343,opel
101,105,578,saab
90,85,345,van
91,70,296,van
78,51,209,opel
91,60,211,van
83,73,305,van
101,101,741,opel
90,78,374,van
97,76,370,saab
85,66,333,bus
106,98,679,opel
107,108,700,saab
89,89,471,saab
91,83,383,saab
86,69,325,bus
105,108,712,saab
109,103,677,saab
84,65,325,bus
79,72,344,bus
84,70,278,van
92,69,290,opel
83,70,306,bus
97,76,487,bus
95,83,484,bus
97,78,389,opel
97,92,481,opel
88,60,246,van
89,83,402,saab
92,80,353,saab
88,69,252,opel
94,85,430,saab
102,105,600,saab
101,107,730,opel
87,74,318,bus
98,101,584,saab
80,68,327,bus
90,69,272,van
107,96,694,saab
87,52,196,van
88,82,357,saab
103,105,650,saab
87,71,277,saab
99,100,726,opel
95,76,339,van
106,101,721,saab
