@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
68,133,134,62,201,van
84,156,170,77,182,van
84,149,145,72,188,van
70,137,140,64,196,van
82,155,149,74,186,van
66,128,129,66,195,van
88,158,149,66,194,van
85,153,144,65,196,van
84,154,150,73,185,van
87,157,158,75,183,van
85,157,155,76,184,van
51,118,129,80,181,van
72,137,144,65,196,van
62,128,141,61,201,van
68,134,142,75,186,van
85,152,144,72,187,van
66,123,144,66,193,van
62,122,129,79,181,van
70,139,144,79,183,van
85,155,155,135,188,van
85,152,155,73,186,van
71,143,147,72,187,van
64,134,142,71,192,van
82,159,162,75,182,van
85,155,153,75,184,van
81,150,149,91,186,van
85,155,150,67,192,van
68,139,130,73,189,van
85,155,155,75,185,van
78,160,160,73,185,van
82,145,145,64,199,van
53,118,125,85,180,van
51,119,128,86,179,van
70,140,139,67,192,van
68,128,135,75,182,van
68,138,143,69,192,van
85,155,157,76,184,van
76,142,131,71,189,van
60,119,134,61,200,van
62,127,139,62,204,van
66,134,142,69,191,van
58,117,134,69,190,van
76,151,149,71,187,van
72,133,135,69,192,van
51,120,127,82,181,van
70,130,139,74,186,van
85,153,151,74,186,van
78,147,152,70,189,van
68,130,130,65,195,van
66,131,127,66,196,van
87,157,161,75,184,van
84,155,158,75,183,van
70,133,130,66,194,van
59,132,137,84,177,van
78,137,145,63,203,van
53,123,125,82,179,van
90,153,156,66,194,van
66,126,144,72,191,van
60,114,132,72,190,van
81,145,147,66,194,van
87,156,149,68,192,van
80,146,148,64,199,van
84,157,160,74,182,van
53,132,140,86,176,van
78,161,159,75,184,van
80,148,145,70,189,van
66,139,140,85,182,van
86,153,156,118,185,van
90,157,150,67,192,van
82,143,137,68,191,van
81,146,139,70,189,van
66,133,135,62,201,van
74,136,133,72,189,van
66,139,143,81,182,van
75,140,141,77,184,van
69,138,134,71,189,van
73,143,148,71,190,van
58,118,129,78,184,van
64,133,141,67,193,van
66,137,146,72,188,van
81,156,163,76,184,van
47,117,122,89,180,van
55,132,139,87,176,van
63,132,136,67,193,van
85,151,147,67,195,van
49,122,128,85,180,van
88,149,157,64,197,van
72,136,145,64,201,van
81,147,152,72,188,van
83,158,163,97,184,van
88,151,148,70,192,van
77,139,139,62,201,van
60,119,130,67,192,van
83,156,153,74,185,van
52,115,126,74,186,van
88,155,148,69,194,van
63,131,142,65,197,van
80,147,148,71,188,van
78,142,147,70,190,van
82,159,156,76,183,van
80,156,157,74,183,van
62,122,127,64,200,van
76,137,137,63,201,van
60,118,137,65,193,van
85,157,156,73,187,van
58,122,140,63,199,van
57,135,139,85,183,van
80,159,156,74,185,van
57,114,135,64,197,van
51,119,124,81,181,van
77,144,141,70,190,van
77,157,164,78,182,van
64,136,136,67,193,van
85,163,160,73,185,van
84,149,143,72,189,van
64,133,142,67,193,van
85,159,167,75,182,van
78,142,148,63,201,van
66,131,144,73,188,van
58,133,139,86,181,van
66,137,146,67,193,van
88,150,147,65,196,van
84,145,148,64,199,van
60,128,129,62,202,van
79,144,150,67,195,van
64,129,142,68,194,van
88,159,157,71,189,van
70,127,137,71,191,van
75,160,161,77,182,van
83,162,159,70,187,van
62,116,135,64,199,van
66,120,128,73,186,van
73,161,153,77,183,van
82,159,160,77,183,van
78,160,160,76,183,van
85,155,151,72,185,van
79,144,139,71,188,van
77,156,160,78,183,van
73,161,158,76,182,van
78,139,140,64,201,van
85,156,158,74,183,van
68,127,132,66,195,van
82,159,160,76,183,van
62,130,143,78,184,van
73,142,144,71,191,van
70,137,141,80,183,van
70,139,145,99,190,van
70,130,146,70,190,van
69,135,145,75,187,van
85,158,158,75,183,van
64,135,144,78,185,van
64,134,141,80,183,van
53,118,128,88,180,van
70,126,128,64,199,van
68,128,143,69,192,van
85,161,167,74,185,van
73,136,138,73,187,van
76,132,135,69,191,van
82,146,140,64,199,van
64,116,125,65,196,van
66,122,139,63,202,van
62,131,145,78,184,van
66,133,140,78,184,van
58,127,130,63,199,van
91,151,148,65,197,van
76,156,151,76,184,van
70,127,145,74,189,van
76,162,155,74,184,van
87,158,162,75,183,van
85,158,157,68,189,van
80,160,163,77,182,van
44,119,121,90,180,van
58,122,132,64,197,van
70,136,146,78,186,van
75,157,165,77,182,van
81,150,156,75,185,van
63,123,137,76,186,van
66,140,148,73,188,van
91,157,155,69,190,van
85,169,139,61,200,saab
63,133,135,70,187,saab
89,177,133,70,189,saab
88,175,132,69,191,saab
101,201,158,65,192,saab
66,137,133,74,186,saab
100,220,166,71,189,saab
52,122,125,82,181,saab
71,137,127,75,181,saab
108,218,170,67,190,saab
104,211,164,67,190,saab
96,187,156,65,195,saab
101,217,171,72,187,saab
89,175,132,70,189,saab
103,206,155,72,189,saab
96,198,150,70,190,saab
100,197,158,70,191,saab
103,213,162,72,188,saab
54,135,127,85,180,saab
105,210,163,73,187,saab
110,214,159,71,191,saab
82,154,149,69,188,saab
77,150,128,66,196,saab
100,193,149,65,194,saab
69,141,141,61,202,saab
66,148,136,79,181,saab
109,220,174,70,189,saab
98,185,138,70,189,saab
108,207,167,64,196,saab
105,204,165,68,191,saab
108,217,163,72,190,saab
83,164,150,72,187,saab
53,116,121,70,185,saab
77,140,142,64,198,saab
103,221,174,73,187,saab
77,152,143,77,183,saab
86,167,134,63,197,saab
66,132,127,72,183,saab
72,132,135,68,191,saab
86,170,134,68,191,saab
82,153,129,70,187,saab
74,157,128,61,197,saab
85,163,131,71,186,saab
105,207,157,64,193,saab
72,154,144,61,203,saab
54,134,127,79,184,saab
75,147,131,75,183,saab
96,185,144,66,191,saab
112,214,162,65,190,saab
95,193,160,71,188,saab
96,188,157,68,191,saab
90,183,156,70,189,saab
105,198,150,66,192,saab
83,169,132,67,192,saab
107,207,153,70,190,saab
83,172,134,72,188,saab
72,133,123,63,200,saab
95,188,144,72,190,saab
57,135,125,83,180,saab
74,159,134,69,190,saab
