@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
82,144,143,63,199,van
75,154,145,75,185,bus
54,128,125,82,179,saab
66,142,128,64,197,opel
98,216,171,74,187,saab
68,149,146,83,179,bus
98,215,175,76,185,opel
89,151,145,72,187,van
60,119,132,72,186,van
66,145,144,73,184,bus
100,201,147,72,189,opel
88,157,157,67,192,van
75,161,163,75,183,van
63,149,145,86,179,bus
85,163,163,71,189,van
103,250,169,85,184,bus
91,220,170,72,186,opel
84,156,165,73,185,van
106,207,164,71,189,saab
86,162,131,74,185,opel
72,153,146,81,182,bus
78,160,167,76,182,van
77,157,125,63,198,opel
65,152,141,85,179,bus
68,148,144,80,181,bus
66,135,136,74,180,opel
110,217,165,67,192,saab
66,130,138,69,191,van
81,155,160,90,183,van
83,157,155,75,184,van
88,170,131,66,195,saab
80,161,131,68,192,saab
103,222,175,71,187,saab
73,151,138,73,190,bus
106,236,164,81,185,bus
101,192,151,66,191,opel
81,161,149,72,187,opel
71,142,143,68,188,opel
77,140,150,62,201,van
71,146,144,72,189,bus
70,141,143,66,193,bus
74,149,127,69,201,bus
70,136,134,68,194,van
91,202,148,79,192,bus
105,208,162,72,187,saab
74,157,158,79,184,van
68,149,145,83,180,bus
70,147,145,77,181,bus
100,214,173,74,185,saab
72,146,132,77,184,saab
92,160,157,70,189,van
105,215,177,74,186,opel
103,201,156,69,189,opel
93,216,165,72,188,saab
87,154,149,67,192,van
103,219,172,71,188,saab
82,165,149,61,200,opel
66,126,132,70,185,opel
83,178,132,71,187,opel
68,131,144,72,186,van
101,203,157,65,193,opel
105,211,168,71,186,saab
88,171,155,59,201,saab
66,148,145,84,180,bus
109,251,169,82,183,bus
92,180,143,64,195,saab
83,171,152,67,195,opel
102,213,171,73,188,saab
88,175,140,63,196,saab
74,163,149,70,196,bus
108,215,168,68,189,saab
77,154,127,71,186,opel
104,215,162,67,189,saab
75,171,129,74,197,bus
103,211,156,68,190,saab
64,130,142,63,203,van
98,189,141,71,187,opel
100,217,165,72,188,saab
66,148,145,87,179,bus
80,146,144,71,188,van
60,132,130,75,185,opel
84,176,152,70,198,bus
101,198,161,64,195,opel
109,212,159,71,190,saab
84,159,159,72,186,van
