@relation vehicle

@attribute Circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
44,7,166,van
37,6,135,van
42,8,150,van
35,8,148,van
49,10,176,van
43,9,162,van
38,7,160,van
45,8,173,van
36,6,137,van
41,9,160,van
36,8,161,van
42,10,157,van
39,10,164,van
48,10,177,van
37,7,156,van
42,7,154,van
37,5,138,van
46,9,173,van
42,11,170,van
41,9,159,van
46,11,170,van
44,10,163,van
36,6,139,van
44,12,176,van
45,8,168,van
36,8,158,van
39,8,159,van
50,10,171,van
42,7,164,van
42,9,163,van
46,11,170,van
40,7,160,van
44,7,165,van
46,9,168,van
39,8,160,van
42,9,163,van
49,11,173,van
48,11,175,van
49,10,179,van
42,9,168,van
35,3,136,van
45,11,177,van
40,7,142,van
34,6,148,van
37,5,135,van
44,11,176,van
43,46,200,van
41,8,169,van
41,6,148,van
45,10,166,van
47,9,173,van
36,8,153,van
45,9,169,van
35,6,142,van
40,6,143,van
38,4,140,van
36,8,154,van
48,9,173,van
40,6,142,van
38,8,158,van
37,6,143,van
46,9,169,van
45,8,169,van
46,11,173,van
44,9,168,van
35,9,159,van
44,8,159,van
46,11,176,van
43,8,159,van
47,10,179,van
36,4,138,van
42,7,162,van
45,10,173,van
46,9,170,van
47,11,172,van
37,8,163,van
40,9,168,van
39,5,148,van
36,5,140,van
47,11,172,van
41,7,164,van
47,11,170,van
47,9,168,van
44,10,173,van
46,10,173,van
38,8,157,van
41,9,172,van
39,7,164,van
40,8,149,van
46,11,175,van
48,49,272,van
48,11,173,van
39,8,157,van
36,8,166,van
49,11,173,van
48,10,169,van
39,7,155,van
36,9,153,van
36,3,137,van
41,9,163,van
35,7,147,van
41,9,170,van
46,11,173,van
41,7,160,van
48,11,172,van
48,10,170,van
46,11,180,van
47,9,175,van
42,6,147,van
48,11,169,van
35,2,139,van
46,11,176,van
39,8,156,van
43,11,174,van
40,9,165,van
34,7,141,van
44,10,163,van
41,8,161,van
37,9,161,van
45,10,170,van
47,11,176,van
45,43,200,van
43,55,231,van
43,9,164,van
44,8,160,van
45,11,170,van
38,25,162,van
41,6,149,van
44,11,166,van
39,7,140,van
43,9,161,van
36,5,139,van
40,9,168,van
47,48,229,van
40,7,146,van
39,8,161,van
45,9,161,van
39,6,134,van
37,6,150,van
35,7,147,van
44,10,170,van
40,7,145,van
37,5,144,van
38,5,135,van
39,8,159,van
37,9,156,van
46,11,169,van
47,10,177,van
37,9,159,van
43,10,173,van
47,12,179,van
47,11,169,van
43,6,164,van
43,10,174,van
37,8,157,van
42,7,156,van
48,10,179,van
46,12,172,van
41,7,158,van
46,9,170,van
42,8,171,van
45,10,174,van
40,6,166,van
35,6,138,van
41,8,165,van
45,10,180,van
42,7,154,van
43,8,156,van
43,10,176,van
40,7,145,van
38,7,167,van
45,10,167,van
48,10,176,van
47,9,171,van
40,10,167,van
43,8,158,van
42,10,173,van
37,5,141,van
48,11,171,van
36,6,143,saab
33,3,130,saab
34,6,158,saab
37,7,181,saab
46,10,217,saab
35,4,135,saab
53,10,223,saab
53,11,224,saab
56,10,232,saab
40,8,205,saab
37,6,151,saab
38,7,168,saab
44,5,175,saab
43,7,172,saab
46,9,210,saab
53,10,218,saab
55,12,229,saab
44,9,202,saab
46,10,213,saab
40,6,164,saab
40,9,194,saab
36,6,137,saab
51,10,214,saab
54,12,226,saab
47,8,189,saab
53,10,220,saab
45,9,190,saab
39,8,200,saab
41,9,192,saab
48,10,227,saab
52,12,220,saab
52,10,220,saab
41,7,162,saab
51,10,219,saab
51,12,226,saab
52,9,218,saab
36,8,166,saab
53,11,226,saab
45,8,180,saab
36,8,169,saab
51,12,207,saab
41,6,155,saab
54,11,229,saab
45,7,184,saab
54,12,221,saab
55,11,232,saab
46,8,181,saab
38,5,163,saab
49,10,225,saab
45,10,202,saab
34,7,165,saab
51,11,223,saab
38,5,153,saab
43,10,200,saab
52,11,214,saab
37,4,152,saab
40,4,162,saab
56,11,226,saab
46,6,185,saab
34,6,137,saab
39,6,174,saab
53,12,226,saab
37,4,146,saab
54,11,228,saab
53,12,226,saab
43,8,163,saab
38,6,162,saab
46,9,189,saab
48,10,221,saab
37,8,180,saab
53,11,226,saab
47,11,207,saab
54,10,224,saab
39,7,149,saab
50,11,223,saab
41,6,164,saab
39,7,190,saab
54,11,226,saab
48,11,192,saab
50,9,214,saab
36,7,174,saab
53,11,229,saab
40,5,159,saab
51,10,207,saab
42,8,165,saab
50,10,223,saab
36,8,163,saab
38,7,181,saab
38,9,191,saab
47,10,186,saab
48,10,214,saab
40,7,197,saab
51,11,226,saab
54,11,229,saab
53,11,221,saab
55,10,224,saab
54,10,232,saab
40,5,152,saab
45,9,180,saab
48,8,200,saab
53,10,220,saab
42,9,189,saab
51,10,220,saab
49,9,224,saab
40,8,202,saab
34,6,148,saab
38,7,186,saab
49,7,205,saab
52,12,228,saab
51,11,222,saab
55,11,221,saab
50,10,207,saab
40,8,189,saab
36,4,150,saab
54,10,217,saab
43,7,168,saab
36,8,177,saab
40,9,184,saab
44,11,202,saab
53,10,235,saab
51,8,211,saab
51,10,220,saab
54,12,228,saab
37,5,151,saab
47,9,219,saab
37,7,151,saab
54,11,229,saab
53,11,221,saab
43,8,174,saab
54,12,223,saab
47,7,197,saab
37,7,148,saab
49,11,217,saab
56,10,232,saab
38,6,165,saab
51,11,232,saab
49,11,229,saab
38,7,188,saab
39,9,184,saab
36,7,146,saab
50,11,232,saab
37,8,191,saab
46,9,222,saab
49,10,227,saab
54,11,216,saab
50,10,211,saab
45,9,218,saab
46,9,209,saab
40,7,165,saab
55,9,223,saab
39,7,170,saab
55,9,222,saab
37,9,178,saab
54,10,225,saab
36,7,177,saab
38,7,174,saab
54,11,222,saab
41,5,165,saab
50,9,195,saab
53,12,226,saab
37,5,141,saab
35,4,139,saab
42,6,166,saab
53,11,226,saab
38,8,158,saab
53,11,216,saab
54,11,229,saab
47,7,196,saab
48,8,188,saab
48,9,216,saab
42,9,206,saab
53,12,231,saab
38,8,179,saab
52,12,229,saab
39,9,186,saab
54,11,228,saab
53,11,228,saab
36,6,166,saab
37,8,183,saab
53,11,229,saab
36,6,164,saab
39,8,197,saab
36,7,155,saab
43,7,175,saab
38,7,171,saab
39,9,197,saab
53,12,216,saab
37,9,172,saab
54,11,221,saab
53,10,224,saab
39,7,189,saab
50,11,223,saab
36,6,187,saab
38,8,197,saab
52,10,229,saab
40,7,175,bus
46,5,185,bus
44,7,171,bus
42,6,169,bus
38,6,193,bus
54,4,280,bus
42,8,166,bus
50,6,232,bus
43,6,166,bus
36,6,184,bus
39,8,175,bus
43,7,171,bus
45,6,168,bus
44,6,170,bus
40,6,185,bus
51,5,232,bus
44,6,208,bus
45,6,217,bus
56,6,264,bus
57,6,288,bus
45,5,169,bus
41,7,175,bus
38,7,168,bus
43,7,172,bus
37,5,188,bus
43,8,169,bus
45,6,173,bus
44,6,168,bus
44,7,166,bus
43,7,178,bus
44,7,179,bus
38,5,189,bus
42,7,169,bus
49,6,206,bus
42,7,173,bus
42,7,179,bus
43,6,169,bus
49,7,189,bus
45,8,170,bus
51,6,247,bus
54,5,269,bus
51,5,222,bus
40,7,169,bus
47,6,171,bus
43,6,166,bus
46,8,170,bus
52,5,227,bus
42,7,173,bus
43,7,179,bus
44,6,167,bus
46,6,174,bus
44,8,171,bus
43,7,180,bus
45,22,186,bus
42,5,184,bus
43,7,172,bus
45,5,178,bus
41,5,205,bus
45,6,170,bus
42,6,175,bus
45,7,169,bus
42,7,176,bus
43,7,177,bus
50,4,254,bus
44,6,170,bus
44,8,170,bus
42,8,169,bus
53,4,267,bus
41,7,172,bus
39,6,173,bus
40,6,197,bus
37,7,175,bus
51,7,240,bus
43,8,168,bus
44,8,163,bus
37,7,171,bus
45,6,168,bus
44,7,181,bus
43,5,168,bus
47,6,188,bus
44,7,174,bus
57,6,285,bus
35,5,184,bus
43,7,177,bus
39,7,167,bus
45,7,171,bus
47,6,175,bus
37,6,184,bus
44,52,241,bus
53,6,231,bus
52,7,254,bus
43,7,169,bus
52,5,212,bus
55,6,265,bus
44,6,170,bus
43,8,171,bus
47,6,176,bus
51,6,214,bus
40,7,174,bus
43,6,189,bus
36,6,178,bus
45,8,170,bus
49,5,196,bus
43,7,175,bus
47,7,190,bus
39,7,164,bus
43,5,215,bus
47,5,234,bus
55,7,258,bus
47,7,214,bus
44,8,170,bus
45,7,170,bus
44,8,169,bus
46,6,215,bus
42,6,170,bus
49,6,228,bus
43,6,176,bus
43,6,173,bus
42,7,166,bus
42,7,167,bus
41,5,175,bus
43,8,169,bus
42,7,172,bus
45,6,181,bus
53,4,263,bus
40,7,174,bus
44,6,180,bus
46,7,178,bus
45,7,179,bus
44,8,170,bus
44,7,173,bus
46,6,183,bus
55,6,267,bus
49,7,208,bus
55,7,269,bus
41,5,204,bus
42,7,169,bus
45,6,169,bus
44,7,167,bus
38,6,189,bus
56,5,272,bus
50,6,206,bus
46,6,172,bus
43,8,169,bus
43,6,164,bus
43,8,173,bus
37,6,184,bus
42,6,189,bus
57,7,243,bus
57,6,287,bus
47,7,175,bus
42,6,172,bus
44,6,164,bus
56,6,275,bus
57,6,280,bus
47,7,179,bus
43,8,175,bus
49,7,194,bus
43,7,169,bus
49,4,238,bus
48,7,216,bus
36,6,189,bus
46,6,170,bus
51,7,199,bus
43,19,180,bus
38,6,178,bus
43,8,169,bus
41,7,175,bus
44,7,166,bus
43,6,174,bus
46,7,172,bus
54,6,246,bus
42,7,177,bus
38,6,199,bus
43,7,178,bus
46,6,180,bus
42,6,169,bus
58,6,278,bus
43,7,170,bus
45,7,203,bus
57,5,285,bus
45,8,171,bus
54,4,266,bus
45,5,204,bus
45,7,167,bus
37,7,167,bus
41,6,202,bus
46,6,175,bus
54,7,256,bus
57,8,275,bus
46,7,177,bus
44,5,166,bus
51,6,219,bus
42,5,184,bus
42,7,174,bus
56,5,280,bus
42,6,170,opel
38,9,145,opel
55,11,231,opel
55,11,228,opel
35,6,162,opel
51,10,210,opel
57,11,226,opel
52,9,206,opel
41,10,197,opel
54,12,221,opel
44,6,175,opel
57,11,228,opel
53,11,228,opel
49,12,214,opel
37,6,142,opel
54,9,222,opel
45,10,202,opel
56,10,217,opel
56,11,219,opel
39,8,176,opel
36,6,141,opel
41,9,202,opel
38,7,184,opel
51,10,217,opel
44,10,214,opel
38,6,167,opel
48,11,227,opel
41,7,161,opel
52,10,241,opel
55,11,221,opel
57,11,234,opel
52,11,217,opel
55,11,229,opel
55,10,226,opel
55,10,228,opel
51,11,238,opel
57,11,234,opel
57,10,224,opel
45,6,170,opel
39,8,199,opel
42,8,174,opel
39,8,185,opel
55,10,225,opel
36,8,182,opel
38,7,137,opel
57,13,223,opel
43,10,217,opel
48,10,222,opel
48,8,195,opel
52,11,221,opel
57,12,223,opel
58,11,234,opel
44,8,202,opel
54,11,220,opel
53,12,220,opel
48,10,232,opel
50,6,207,opel
47,7,197,opel
38,5,148,opel
46,9,219,opel
37,8,182,opel
55,10,237,opel
38,7,166,opel
45,7,182,opel
52,11,219,opel
55,11,217,opel
52,9,214,opel
40,7,167,opel
40,6,158,opel
55,9,231,opel
48,9,227,opel
51,10,222,opel
46,9,207,opel
39,6,151,opel
46,8,190,opel
43,7,170,opel
44,8,159,opel
41,7,154,opel
45,7,184,opel
35,7,169,opel
56,10,227,opel
39,7,174,opel
48,9,200,opel
55,9,227,opel
49,9,202,opel
55,12,230,opel
40,7,172,opel
49,9,197,opel
36,4,135,opel
58,12,225,opel
53,11,222,opel
54,10,219,opel
49,10,197,opel
41,9,199,opel
34,5,158,opel
52,9,216,opel
46,8,183,opel
48,11,212,opel
56,11,225,opel
42,8,165,opel
39,5,155,opel
38,6,144,opel
56,11,234,opel
40,8,173,opel
36,7,163,opel
38,8,152,opel
36,7,168,opel
52,10,214,opel
52,8,218,opel
40,6,155,opel
45,8,181,opel
55,11,228,opel
37,8,189,opel
52,10,235,opel
46,9,223,opel
40,8,199,opel
52,9,217,opel
55,10,221,opel
44,6,189,opel
56,12,231,opel
48,10,226,opel
49,11,212,opel
50,9,214,opel
49,8,203,opel
40,4,170,opel
55,11,231,opel
42,10,208,opel
39,7,209,opel
49,10,215,opel
37,7,179,opel
54,10,214,opel
54,10,224,opel
39,9,191,opel
54,10,223,opel
51,10,219,opel
47,8,187,opel
56,11,223,opel
41,7,170,opel
48,12,215,opel
47,10,220,opel
40,7,147,opel
54,10,219,opel
37,7,178,opel
59,11,225,opel
51,9,208,opel
40,7,200,opel
36,7,154,opel
55,11,222,opel
38,9,181,opel
51,9,238,opel
55,10,219,opel
38,5,152,opel
51,11,222,opel
35,8,172,opel
46,11,212,opel
38,8,186,opel
38,9,190,opel
53,11,228,opel
44,7,174,opel
46,10,224,opel
36,6,161,opel
39,9,165,opel
55,11,219,opel
55,9,236,opel
52,10,226,opel
36,8,174,opel
46,8,181,opel
43,7,182,opel
50,10,232,opel
50,10,209,opel
42,9,199,opel
52,10,228,opel
35,5,132,opel
36,8,148,opel
54,11,227,opel
58,11,231,opel
44,6,170,opel
45,8,231,opel
54,11,225,opel
38,5,152,opel
53,9,210,opel
54,10,231,opel
46,8,208,opel
45,7,181,opel
39,7,194,opel
52,10,219,opel
55,13,225,opel
55,13,225,opel
38,5,145,opel
38,8,160,opel
52,10,207,opel
