@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Minor_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
92,20,157,7,van
77,20,160,7,van
88,19,157,1,van
87,20,162,5,van
66,18,144,10,van
60,18,129,1,van
70,18,134,11,van
82,20,160,10,van
87,20,149,1,van
85,19,153,12,van
90,20,150,17,van
63,18,142,15,van
70,18,139,0,van
68,18,130,7,van
73,18,144,10,van
64,17,125,1,van
70,18,139,4,van
81,19,152,0,van
66,18,148,3,van
78,18,148,19,van
66,18,142,6,van
82,19,145,4,van
79,19,139,8,van
66,17,139,7,van
89,19,145,11,van
68,18,142,4,van
58,18,130,4,van
77,20,164,1,van
66,18,140,11,van
70,18,145,5,van
66,18,143,7,van
47,17,122,5,van
85,20,158,12,van
85,20,163,18,van
49,17,128,8,van
60,17,132,2,van
85,20,160,9,van
85,19,151,13,van
79,19,150,4,van
64,18,142,3,van
51,17,129,2,van
63,17,137,12,van
64,18,142,7,van
73,20,153,11,van
91,20,155,15,van
64,18,136,2,van
87,19,149,9,van
60,17,130,6,van
58,17,132,6,van
66,19,140,12,van
68,18,132,1,van
51,17,124,13,van
85,19,144,8,van
78,20,159,2,van
71,19,147,2,van
57,17,135,17,van
53,17,128,7,van
68,18,144,4,van
78,20,160,5,van
53,17,125,7,van
84,20,170,5,van
70,18,144,4,van
88,19,148,15,van
84,19,143,9,van
74,18,133,7,van
68,18,130,3,van
76,20,151,12,van
66,18,135,9,van
53,18,140,8,van
80,19,144,4,van
62,17,129,0,van
66,18,127,8,van
62,18,141,13,van
88,20,149,14,van
88,19,148,14,van
81,19,156,2,van
84,19,150,6,van
87,20,161,4,van
75,20,161,0,van
69,18,145,3,van
78,18,145,17,van
51,17,127,7,van
66,17,128,1,van
80,20,163,1,van
88,20,157,12,van
59,18,137,12,van
66,18,146,3,van
75,18,141,5,van
62,17,135,7,van
80,19,145,3,van
82,19,140,9,van
69,18,134,1,van
70,18,140,0,van
52,17,126,11,van
81,19,147,11,van
62,18,145,8,van
83,20,159,6,van
80,20,157,5,van
85,19,155,4,van
68,18,143,14,van
60,17,132,14,van
85,19,150,3,van
85,20,156,17,van
77,18,139,8,van
78,18,140,4,van
82,19,143,6,van
82,19,137,13,van
82,19,149,1,van
78,20,167,1,van
80,19,148,1,van
58,17,134,7,van
72,18,135,2,van
62,17,127,2,van
77,19,141,0,van
68,18,134,6,van
64,18,142,6,van
70,18,146,10,van
73,18,148,2,van
66,18,129,6,van
86,19,156,0,van
68,18,135,8,van
