@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
76,156,151,176,van
85,152,155,184,van
68,127,132,116,van
70,140,139,130,van
66,120,128,131,van
87,156,149,182,van
62,122,129,135,van
62,130,143,157,van
68,130,130,121,van
77,144,141,143,van
66,130,138,123,van
80,147,148,174,van
81,150,156,200,van
83,157,155,188,van
75,161,163,185,van
78,160,167,185,van
78,142,147,171,van
66,126,144,155,van
78,142,148,171,van
85,163,160,185,van
49,122,128,146,van
52,115,126,144,van
90,157,150,184,van
78,160,160,185,van
66,134,142,164,van
84,159,159,176,van
68,138,143,174,van
87,154,149,174,van
81,147,152,181,van
77,156,160,177,van
84,156,165,188,van
66,139,143,161,van
81,145,147,179,van
53,118,128,136,van
64,129,142,153,van
60,119,132,129,van
84,145,148,166,van
66,137,146,167,van
70,136,134,140,van
83,162,159,184,van
85,155,153,165,van
88,157,157,157,van
82,145,145,140,van
68,128,143,159,van
70,126,128,112,van
78,139,140,126,van
51,119,128,125,van
78,137,145,159,van
63,132,136,121,van
60,119,130,118,van
66,133,135,119,van
60,118,137,153,van
73,136,138,137,van
80,146,144,161,van
69,135,145,162,van
58,118,129,152,van
69,138,134,124,van
58,127,130,113,van
73,142,144,179,van
85,159,167,186,van
92,160,157,171,van
53,132,140,157,van
82,159,160,186,van
70,136,146,166,van
82,159,156,173,van
60,128,129,109,van
77,140,150,124,van
84,157,160,176,van
76,151,149,159,van
70,133,130,127,van
85,152,144,161,van
73,161,153,185,van
88,150,147,143,van
75,157,165,176,van
83,156,153,187,van
80,148,145,147,van
72,133,135,128,van
84,155,158,164,van
70,139,144,172,van
85,151,147,179,van
51,119,124,127,van
81,156,163,188,van
58,117,134,148,van
73,161,158,186,van
81,146,139,157,van
80,156,157,176,van
68,131,144,134,van
82,159,162,185,van
85,155,150,159,van
70,139,145,172,van
76,142,131,138,van
68,134,142,134,van
85,158,158,173,van
88,159,157,185,van
78,160,160,176,van
74,157,158,177,van
62,116,135,145,van
66,140,148,175,van
60,114,132,137,van
68,139,130,127,van
63,131,142,162,van
75,160,161,171,van
66,131,144,162,van
80,159,156,186,van
79,144,139,149,van
87,158,162,186,van
80,160,163,174,van
70,127,145,152,van
58,122,132,116,van
51,120,127,147,van
44,119,121,137,van
84,149,143,158,van
47,117,122,139,van
85,161,167,186,van
57,135,139,151,van
78,161,159,186,van
85,155,155,186,van
88,149,157,140,van
