@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
62,17,210,van
66,18,194,van
64,18,204,van
66,17,208,van
68,18,201,van
76,19,200,van
84,19,199,van
60,17,198,van
85,19,202,van
80,19,197,van
78,20,193,van
72,18,195,van
85,20,195,van
66,18,194,van
80,19,207,van
87,20,195,van
70,18,185,van
58,18,182,van
71,19,196,van
78,19,200,van
88,20,202,van
53,18,183,van
62,17,185,van
53,17,183,van
60,17,207,van
78,20,192,van
68,18,187,van
78,18,210,van
75,20,192,van
66,18,191,van
88,19,199,van
70,18,190,van
82,20,192,van
88,20,200,van
84,19,206,van
83,20,194,van
75,20,192,van
66,18,208,van
73,18,188,van
69,18,195,van
85,20,199,van
66,18,194,van
58,17,186,van
86,19,194,van
91,20,200,van
70,18,202,van
80,19,199,van
84,19,196,van
88,20,198,van
66,18,184,van
64,18,201,van
81,19,198,van
64,18,201,van
72,18,203,van
84,20,191,van
62,17,204,van
81,19,202,van
60,17,190,van
64,18,201,van
68,18,209,van
85,19,204,van
58,17,203,van
77,18,208,van
64,18,210,van
85,20,195,van
85,20,193,van
88,19,202,van
58,17,206,van
64,18,184,van
74,20,191,van
64,18,201,van
66,18,197,van
75,20,191,van
83,20,197,van
85,20,196,van
70,18,202,van
59,18,183,van
70,17,207,van
82,19,206,van
85,20,195,van
57,17,202,van
73,18,199,van
52,17,190,van
51,17,183,van
82,19,207,van
55,18,183,van
70,18,202,van
82,19,207,van
87,19,201,van
76,18,209,van
80,20,193,van
62,18,208,van
66,17,198,van
44,17,183,van
76,18,196,van
78,20,192,van
85,19,196,van
63,17,188,van
90,19,203,van
70,18,205,van
82,19,201,van
69,18,191,van
85,19,197,van
85,20,195,van
51,17,183,van
66,18,200,van
76,20,193,van
81,20,193,van
88,19,207,van
85,19,196,van
82,20,193,van
85,19,196,van
79,19,197,van
84,19,200,van
85,20,192,van
68,18,196,van
66,18,183,van
70,18,190,van
85,20,195,van
85,19,197,van
51,17,184,van
82,20,194,van
77,18,209,van
85,19,204,van
47,17,184,van
70,18,199,van
66,18,201,van
70,18,185,van
77,20,191,van
87,20,194,van
84,20,195,van
64,18,185,van
84,20,192,van
68,18,196,van
64,17,203,van
73,18,199,van
77,19,200,van
66,19,183,van
62,17,208,van
74,18,193,van
83,20,197,van
92,20,200,van
84,20,195,van
79,19,203,van
76,18,192,van
78,18,201,van
81,19,196,van
70,18,187,van
89,19,199,van
66,17,190,van
58,17,194,van
87,20,194,van
85,19,196,van
73,20,191,van
58,18,206,van
68,18,196,van
75,18,185,van
80,20,193,van
70,18,194,van
78,18,207,van
85,19,197,van
81,20,192,van
73,20,193,van
91,19,205,van
80,20,193,van
57,18,182,van
60,17,199,van
62,18,186,van
68,18,186,van
66,18,196,van
77,20,191,van
83,19,196,van
60,18,209,van
70,18,183,van
90,20,200,van
78,18,208,van
76,20,193,van
84,20,197,van
82,19,197,van
109,24,201,saab
88,21,210,saab
101,22,197,saab
104,22,200,saab
100,22,208,saab
63,19,185,saab
83,19,200,saab
63,18,191,saab
98,25,199,saab
110,24,202,saab
104,24,199,saab
72,18,195,saab
79,20,208,saab
104,23,197,saab
108,25,200,saab
89,22,199,saab
105,24,196,saab
101,23,197,saab
78,18,195,saab
77,20,201,saab
80,19,189,saab
88,21,204,saab
66,18,187,saab
69,18,209,saab
72,19,189,saab
105,24,197,saab
108,25,204,saab
96,24,198,saab
100,24,195,saab
105,24,207,saab
50,17,185,saab
82,19,193,saab
78,19,211,saab
109,24,199,saab
81,20,198,saab
98,24,197,saab
71,19,195,saab
109,25,201,saab
75,19,191,saab
80,19,195,saab
108,24,201,saab
57,18,184,saab
63,18,204,saab
63,18,188,saab
104,25,196,saab
54,18,184,saab
51,18,182,saab
90,22,196,saab
104,23,197,saab
106,24,202,saab
100,24,197,saab
69,18,204,saab
54,18,185,saab
81,20,199,saab
108,23,205,saab
83,20,191,saab
105,23,200,saab
58,19,183,saab
100,23,208,saab
106,24,199,saab
106,24,200,saab
101,24,197,saab
92,21,205,saab
96,22,199,saab
104,24,203,saab
57,17,195,saab
74,19,196,saab
104,23,197,saab
90,21,199,saab
101,24,198,saab
83,20,191,saab
101,23,204,saab
69,19,198,saab
83,20,199,saab
96,22,206,saab
40,17,183,saab
72,19,191,saab
81,20,205,saab
63,19,185,saab
105,25,200,saab
90,21,201,saab
81,20,207,saab
98,24,197,saab
101,22,206,saab
106,23,199,saab
66,17,202,saab
83,19,191,saab
77,19,203,saab
76,20,197,saab
103,24,197,saab
66,18,190,saab
100,23,200,saab
103,25,199,saab
80,20,197,saab
105,24,197,saab
72,19,205,saab
74,19,204,saab
71,18,186,saab
101,25,199,saab
98,22,201,saab
106,24,202,saab
100,21,202,saab
100,24,194,saab
76,19,194,saab
103,24,200,saab
88,21,205,saab
93,24,199,saab
100,23,205,saab
77,20,199,saab
101,25,201,saab
108,25,203,saab
75,18,195,saab
64,19,185,saab
108,24,199,saab
104,25,199,saab
77,19,193,saab
103,24,198,saab
96,22,199,saab
76,20,206,saab
104,24,198,saab
89,21,196,saab
110,24,206,saab
86,20,196,saab
87,20,195,saab
104,24,199,saab
66,19,186,saab
75,19,188,saab
112,24,206,saab
83,20,193,saab
53,17,189,saab
80,20,209,saab
54,18,184,saab
104,24,202,saab
103,25,197,saab
59,18,185,saab
102,24,198,saab
100,25,199,saab
109,25,201,saab
85,20,210,saab
66,18,207,saab
88,21,198,saab
106,24,197,saab
86,20,204,saab
98,23,204,saab
101,24,198,saab
101,24,196,saab
72,18,206,saab
62,19,185,saab
54,18,183,saab
106,23,196,saab
76,20,195,saab
102,23,196,saab
103,24,201,saab
55,19,183,saab
82,19,192,saab
85,20,192,saab
108,25,203,saab
109,24,202,saab
105,23,201,saab
105,22,205,saab
95,22,197,saab
53,17,190,saab
85,20,203,saab
100,22,203,saab
100,23,198,saab
107,24,199,saab
54,18,183,saab
86,21,199,saab
72,19,209,saab
101,22,202,saab
103,25,199,saab
88,21,202,saab
109,23,208,saab
98,21,205,saab
105,23,205,saab
83,21,194,saab
103,25,200,saab
108,24,201,saab
105,22,211,saab
77,19,201,saab
105,23,204,saab
103,23,198,saab
85,21,210,saab
77,18,205,saab
75,19,187,saab
66,18,189,saab
98,24,197,saab
83,21,195,saab
94,22,201,saab
60,18,192,saab
71,20,208,saab
104,23,196,saab
90,21,199,saab
98,22,197,saab
108,25,205,saab
108,24,201,saab
70,19,205,bus
98,26,184,bus
77,20,203,bus
70,19,186,bus
71,19,190,bus
