@relation wine

@attribute OD280/OD315 numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
3.45,1480,1
3.58,1290,1
2.82,1280,1
3.92,1065,1
3,1235,1
3,1035,1
3.52,770,1
3,680,1
3.71,780,1
3.17,1185,1
3.47,920,1
3.03,1120,1
3.35,885,1
3.22,1195,1
3.55,1045,1
2.85,1045,1
3.33,985,1
3.2,830,1
3.31,970,1
3.82,845,1
2.77,1285,1
2.84,1270,1
4,1035,1
2.51,1105,1
2.87,990,1
2.88,1515,1
3.59,1035,1
2.65,1280,1
3,1547,1
3.44,1065,1
2.73,1150,1
3.26,1190,1
3.63,1015,1
2.75,1060,1
3.4,1050,1
3.58,1295,1
2.93,1375,1
2.9,1320,1
3.37,1265,1
2.93,735,1
2.57,1130,1
2.87,1095,1
2.85,1450,1
3.56,1095,1
2.91,1150,1
3.17,1510,1
2.88,1310,1
3.36,845,1
2.87,1285,1
2.82,1680,1
3.33,1080,1
2.71,1285,1
2.78,880,1
3.4,915,1
3.12,365,2
2.96,345,2
3.14,714,2
2.23,355,2
3.08,520,2
2.77,660,2
3.19,385,2
2.72,630,2
2.48,392,2
3.02,312,2
2.31,434,2
3.5,985,2
2.14,428,2
3.13,463,2
3.3,290,2
1.67,680,2
2.5,607,2
3.21,625,2
2.78,342,2
3.64,380,2
2.31,750,2
3.69,465,2
2.63,937,2
3.39,625,2
2.81,562,2
2.26,495,2
3.12,278,2
2.46,630,2
2.52,500,2
3.3,315,2
1.59,450,2
2.3,678,2
3.48,510,2
2.27,480,2
2.65,450,2
2.78,325,2
2.75,680,2
3.21,562,2
2.83,406,2
2.12,372,2
2.57,580,2
1.82,870,2
1.93,750,2
3.57,672,2
3.26,680,2
3.13,886,2
2.84,352,2
2.96,345,2
2.96,710,2
2.77,562,2
3.16,450,2
1.82,520,2
2.74,428,2
3.38,438,2
3.07,718,2
2.06,495,2
2.87,420,2
3.1,380,2
3.05,564,2
2.87,407,2
3.28,378,2
2.26,625,2
3.16,410,2
1.75,520,3
1.55,640,3
1.42,530,3
1.58,695,3
1.75,675,3
2.06,520,3
1.82,680,3
1.62,840,3
1.51,675,3
1.83,510,3
1.47,480,3
1.68,615,3
1.86,625,3
1.68,830,3
1.29,630,3
1.27,720,3
1.36,560,3
2,855,3
1.82,580,3
2.15,590,3
1.51,650,3
1.56,695,3
1.48,725,3
2.47,780,3
1.71,660,3
1.74,740,3
1.63,470,3
1.96,660,3
2.05,550,3
1.33,425,3
1.64,480,3
1.73,880,3
1.33,550,3
1.56,835,3
1.92,630,3
1.78,620,3
2.31,600,3
1.6,560,3
1.3,500,3
2.11,570,3
1.69,515,3
1.8,750,3
1.33,415,3
