@relation wine

@attribute ColorIntensity numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
6.8,1285,1
3.7,1020,1
5.1,760,1
4.9,1065,1
4.36,680,1
3.84,990,1
6.3,1375,1
4.28,1035,1
7.05,1190,1
4.25,1105,1
5.85,1060,1
6.25,1120,1
5.25,1290,1
5.68,1185,1
6.9,1515,1
3.95,1285,1
6.1,985,1
7.2,1150,1
6.2,1060,1
7.22,1045,1
5.24,1080,1
4.38,1050,1
7.8,1480,1
6,1270,1
5.04,885,1
5.7,1285,1
6.13,795,1
5.64,1065,1
5.4,1150,1
6.38,970,1
3.93,1015,1
5.05,1295,1
4.5,770,1
4.32,735,1
7.3,1310,1
5.2,1045,1
7.5,1547,1
8.7,1680,1
4.2,1095,1
3.58,830,1
6.75,1450,1
4.7,1035,1
3.52,845,1
5.75,1510,1
6.2,1280,1
6.6,1130,1
3.8,1035,1
4.5,915,1
8.9,1260,1
5.6,1265,1
5.43,1095,1
4.8,1195,1
5,1280,1
2.6,562,2
3,466,2
2.85,718,2
3.25,625,2
2.57,463,2
2.15,290,2
3.21,886,2
4.5,660,2
3.08,434,2
3.8,428,2
3.4,372,2
2.08,365,2
2.7,312,2
3.8,607,2
3.6,450,2
2.65,680,2
5.75,450,2
2.8,680,2
2.5,278,2
2.9,428,2
2.94,672,2
2.5,625,2
2.45,562,2
2.8,380,2
4.8,515,2
3.05,870,2
1.74,625,2
3.38,410,2
1.9,407,2
2.6,380,2
3.9,714,2
2.7,315,2
6,465,2
3.4,510,2
2.9,385,2
1.95,495,2
4.6,678,2
3.94,352,2
4.45,420,2
2.12,342,2
5.3,502,2
2.45,495,2
3.74,472,2
4.68,510,2
3.05,495,2
1.28,564,2
3.35,985,2
2.6,937,2
2.3,406,2
2.9,562,2
2,325,2
3.4,750,2
3.25,345,2
2.6,580,2
3.3,488,2
3.8,630,2
2.4,480,2
1.95,520,2
2.76,378,2
3.17,750,2
2.8,438,2
2.06,345,2
3.3,710,2
2.06,415,2
9.2,560,3
7.65,520,3
4.35,520,3
5.45,650,3
7.9,725,3
4.4,550,3
9.4,550,3
8.6,500,3
5.5,510,3
8.42,650,3
9.58,615,3
9.3,840,3
8.5,630,3
9.7,660,3
5.4,530,3
10.26,685,3
5,515,3
6.62,520,3
5.28,675,3
5.7,580,3
7.1,425,3
7.6,640,3
7.3,750,3
10.68,695,3
5.88,680,3
11.75,620,3
10.2,835,3
4.92,590,3
7.1,695,3
3.85,720,3
9.899999,470,3
5,600,3
9.01,480,3
4.6,600,3
4.9,415,3
7.7,740,3
5.58,570,3
4,830,3
8.66,750,3
10.8,480,3
7.5,880,3
13,660,3
5.7,560,3
