@relation wine

@attribute flavanoids numeric
@attribute Hue numeric
@attribute Class {1,2,3}

@data
3.17,1.09,1
3,0.94,1
2.76,1.05,1
3.49,0.86,1
3.25,1.19,1
3.54,1.12,1
2.64,1.18,1
3.17,1.04,1
2.97,1.25,1
3.64,1.2,1
2.92,1.07,1
3.39,0.91,1
2.19,1.02,1
2.53,1.1,1
3.29,0.95,1
2.43,1.17,1
2.76,1.15,1
3.4,1.13,1
3.04,0.89,1
2.69,1.04,1
3.27,1.12,1
3.67,0.89,1
3.03,0.96,1
2.51,1.06,1
2.68,1.13,1
2.74,1.25,1
3.24,1.03,1
2.9,0.92,1
3.23,1.07,1
2.63,0.82,1
3,0.88,1
3.39,1.05,1
2.68,1.09,1
2.33,1.04,1
3.56,0.88,1
2.99,1.24,1
2.98,1.04,1
2.69,1.23,1
3.69,1.25,1
2.78,0.98,1
3.32,1.25,1
2.43,1.12,1
3.19,1.09,1
3.74,1.01,1
3.14,1.07,1
2.91,1.28,1
3.06,1.04,1
2.79,1.13,1
2.98,1.08,1
3.93,1.23,1
2.41,1.03,1
2.94,0.92,1
2.52,1.02,1
2.92,0.96,2
1.75,0.79,2
2.99,1.42,2
2.29,0.93,2
2.03,1.23,2
1.58,1.31,2
1.5,1.08,2
2.45,0.89,2
1.09,1.25,2
1.79,1.23,2
3.03,0.75,2
2.13,0.92,2
1.36,1.04,2
2.65,0.73,2
2.79,0.8,2
2.27,1.16,2
1.25,1.05,2
1.94,1.23,2
2.01,1.1,2
2.86,1.36,2
0.99,0.95,2
3.18,1.12,2
1.32,0.96,2
2.11,0.8,2
2.03,1,2
1.64,0.94,2
2.24,0.97,2
1.84,0.86,2
2.26,1.16,2
1.59,1.07,2
1.25,0.7,2
2.27,0.9,2
2.65,0.86,2
1.69,1,2
2.89,1.31,2
1.02,0.906,2
2.17,1.27,2
2.04,0.86,2
5.08,0.93,2
2.14,0.99,2
1.92,1.04,2
1.64,0.93,2
2.26,1.38,2
2.65,1.19,2
2.53,1.16,2
1.59,0.84,2
1.75,1.45,2
3.1,1.22,2
3.15,0.69,2
1.6,0.95,2
1.85,1.06,2
2.55,1.19,2
2.5,1.23,2
2.09,1.06,2
2.58,0.75,2
2.17,1.71,2
1.84,0.98,2
0.57,1.05,2
1.76,0.88,2
3.75,1.04,2
1.3,1.02,2
1.28,1.28,2
2.03,1.19,2
2.21,0.79,2
0.58,0.75,3
0.65,0.54,3
0.96,0.67,3
0.78,0.65,3
0.52,0.89,3
0.34,0.58,3
0.7,0.68,3
1.31,0.57,3
0.66,0.72,3
0.5,0.77,3
0.47,0.78,3
0.83,0.57,3
1.22,0.74,3
0.66,0.73,3
0.51,0.57,3
0.69,0.59,3
0.68,0.7,3
0.92,0.56,3
0.6,0.89,3
0.68,0.6,3
0.5,0.7,3
0.47,0.75,3
1.39,0.57,3
0.83,0.56,3
1.09,0.66,3
1.2,0.78,3
1.1,0.57,3
0.75,0.7,3
0.76,0.61,3
0.58,0.67,3
1.25,0.76,3
0.56,0.96,3
0.6,0.87,3
1.57,0.59,3
0.84,0.74,3
0.92,0.85,3
0.7,0.62,3
0.63,0.6,3
1.28,0.61,3
0.8,0.91,3
0.58,0.58,3
0.61,0.64,3
0.49,0.66,3
0.76,0.55,3
