@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
M, 0.455, 0.365, 0.095, 0.514, 0.2245, 0.101, 0.15, 15
I, 0.205, 0.15, 0.055, 0.042, 0.0255, 0.015, 0.012, 5
F, 0.5, 0.4, 0.14, 0.6615, 0.2565, 0.1755, 0.22, 8
M, 0.47, 0.385, 0.135, 0.5895, 0.2765, 0.12, 0.17, 8
F, 0.565, 0.44, 0.16, 0.915, 0.354, 0.1935, 0.32, 12
M, 0.56, 0.44, 0.16, 0.8645, 0.3305, 0.2075, 0.26, 10
M, 0.665, 0.535, 0.195, 1.606, 0.5755, 0.388, 0.48, 14
I, 0.36, 0.265, 0.095, 0.2315, 0.105, 0.046, 0.075, 7
M, 0.465, 0.36, 0.105, 0.431, 0.172, 0.107, 0.175, 9
M, 0.595, 0.48, 0.165, 1.262, 0.4835, 0.283, 0.41, 17
F, 0.305, 0.23, 0.08, 0.156, 0.0675, 0.0345, 0.048, 7
F, 0.55, 0.45, 0.145, 0.741, 0.295, 0.1435, 0.2665, 10
M, 0.65, 0.52, 0.19, 1.3445, 0.519, 0.306, 0.4465, 16
F, 0.605, 0.5, 0.185, 1.1185, 0.469, 0.2585, 0.335, 9
F, 0.565, 0.45, 0.135, 0.9885, 0.387, 0.1495, 0.31, 12
F, 0.575, 0.46, 0.165, 1.124, 0.2985, 0.1785, 0.44, 13
F, 0.68, 0.57, 0.205, 1.842, 0.625, 0.408, 0.65, 20
M, 0.525, 0.435, 0.155, 1.065, 0.486, 0.233, 0.285, 8
I, 0.36, 0.26, 0.09, 0.1785, 0.0645, 0.037, 0.075, 7
I, 0.315, 0.245, 0.085, 0.1435, 0.053, 0.0475, 0.05, 8
F, 0.56, 0.45, 0.16, 1.0235, 0.429, 0.268, 0.3, 10
F, 0.525, 0.415, 0.17, 0.8325, 0.2755, 0.1685, 0.31, 13
F, 0.53, 0.415, 0.16, 0.783, 0.2935, 0.158, 0.245, 15
I, 0.075, 0.055, 0.01, 0.0020, 0.0010, 5.0E-4, 0.0015, 1
I, 0.33, 0.25, 0.105, 0.1715, 0.0655, 0.035, 0.06, 7
F, 0.57, 0.44, 0.125, 0.865, 0.3675, 0.1725, 0.27, 12
M, 0.62, 0.485, 0.205, 1.219, 0.3875, 0.2505, 0.385, 14
F, 0.515, 0.425, 0.135, 0.712, 0.2665, 0.1605, 0.25, 11
F, 0.565, 0.455, 0.175, 1.013, 0.342, 0.207, 0.35, 19
F, 0.62, 0.47, 0.2, 1.2255, 0.381, 0.27, 0.435, 23
I, 0.19, 0.145, 0.04, 0.038, 0.0165, 0.0065, 0.015, 4
M, 0.62, 0.465, 0.185, 1.274, 0.579, 0.3065, 0.32, 12
I, 0.34, 0.26, 0.08, 0.2, 0.08, 0.0555, 0.055, 6
F, 0.62, 0.5, 0.175, 1.186, 0.4985, 0.3015, 0.35, 12
M, 0.63, 0.49, 0.18, 1.13, 0.458, 0.2765, 0.315, 12
F, 0.69, 0.56, 0.215, 1.719, 0.68, 0.299, 0.47, 17
F, 0.585, 0.45, 0.16, 1.077, 0.4995, 0.2875, 0.25, 10
F, 0.455, 0.37, 0.105, 0.4925, 0.216, 0.1245, 0.135, 9
I, 0.365, 0.295, 0.095, 0.25, 0.1075, 0.0545, 0.08, 9
M, 0.515, 0.455, 0.135, 0.7225, 0.295, 0.1625, 0.235, 9
M, 0.63, 0.515, 0.165, 1.352, 0.488, 0.349, 0.45, 20
M, 0.58, 0.45, 0.175, 1.068, 0.425, 0.203, 0.32, 13
F, 0.575, 0.45, 0.17, 1.0475, 0.3775, 0.1705, 0.385, 18
M, 0.5, 0.415, 0.165, 0.6885, 0.249, 0.138, 0.25, 13
F, 0.675, 0.535, 0.16, 1.41, 0.592, 0.3175, 0.42, 16
F, 0.525, 0.41, 0.135, 0.7085, 0.293, 0.1525, 0.235, 11
I, 0.255, 0.195, 0.07, 0.0735, 0.0255, 0.02, 0.025, 6
M, 0.555, 0.45, 0.175, 0.874, 0.3275, 0.202, 0.305, 10
M, 0.6, 0.47, 0.175, 1.105, 0.4865, 0.247, 0.315, 15
M, 0.235, 0.16, 0.06, 0.0545, 0.0265, 0.0095, 0.015, 4
F, 0.57, 0.445, 0.155, 0.733, 0.282, 0.159, 0.235, 14
F, 0.57, 0.45, 0.16, 0.9715, 0.3965, 0.255, 0.26, 12
I, 0.47, 0.37, 0.14, 0.4985, 0.2095, 0.1225, 0.145, 10
M, 0.445, 0.35, 0.115, 0.3615, 0.1565, 0.0695, 0.117, 8
M, 0.32, 0.245, 0.075, 0.1555, 0.0585, 0.038, 0.049, 11
M, 0.205, 0.155, 0.045, 0.0425, 0.017, 0.0055, 0.0155, 7
I, 0.56, 0.44, 0.165, 0.8, 0.335, 0.1735, 0.25, 12
I, 0.485, 0.39, 0.125, 0.591, 0.287, 0.141, 0.12, 9
I, 0.56, 0.425, 0.14, 0.9175, 0.4005, 0.1975, 0.26, 10
F, 0.585, 0.435, 0.175, 0.982, 0.4055, 0.2495, 0.27, 10
F, 0.645, 0.525, 0.19, 1.4635, 0.6615, 0.3435, 0.435, 19
M, 0.37, 0.285, 0.1, 0.228, 0.0675, 0.0675, 0.081, 10
I, 0.44, 0.345, 0.12, 0.487, 0.1965, 0.108, 0.16, 14
M, 0.33, 0.255, 0.095, 0.1875, 0.0735, 0.045, 0.06, 7
F, 0.555, 0.435, 0.165, 0.97, 0.336, 0.2315, 0.295, 17
I, 0.535, 0.45, 0.17, 0.781, 0.3055, 0.1555, 0.295, 11
F, 0.45, 0.35, 0.145, 0.5425, 0.1765, 0.123, 0.175, 13
M, 0.4, 0.305, 0.085, 0.297, 0.108, 0.0705, 0.1, 10
M, 0.695, 0.515, 0.175, 1.5165, 0.578, 0.4105, 0.39, 15
F, 0.605, 0.495, 0.19, 1.437, 0.469, 0.2655, 0.41, 15
F, 0.55, 0.44, 0.155, 0.946, 0.313, 0.1825, 0.335, 16
F, 0.61, 0.47, 0.145, 1.153, 0.403, 0.296, 0.32, 14
M, 0.385, 0.275, 0.115, 0.2685, 0.0975, 0.0825, 0.085, 8
M, 0.49, 0.38, 0.14, 0.6385, 0.2305, 0.142, 0.195, 13
F, 0.425, 0.345, 0.11, 0.3665, 0.125, 0.081, 0.117, 11
I, 0.385, 0.3, 0.1, 0.2895, 0.1215, 0.063, 0.09, 7
I, 0.425, 0.325, 0.1, 0.398, 0.1185, 0.0645, 0.0945, 6
F, 0.54, 0.42, 0.14, 0.805, 0.369, 0.1725, 0.21, 11
F, 0.545, 0.44, 0.135, 0.9185, 0.429, 0.2015, 0.2375, 10
F, 0.605, 0.475, 0.175, 1.382, 0.609, 0.2325, 0.3985, 10
F, 0.615, 0.5, 0.175, 1.377, 0.5585, 0.33, 0.292, 12
M, 0.615, 0.51, 0.15, 1.296, 0.545, 0.3315, 0.32, 9
M, 0.635, 0.51, 0.17, 1.3555, 0.619, 0.305, 0.39, 9
M, 0.65, 0.525, 0.175, 1.4715, 0.675, 0.315, 0.399, 11
F, 0.67, 0.585, 0.16, 1.309, 0.5445, 0.2945, 0.413, 10
I, 0.255, 0.19, 0.05, 0.083, 0.0295, 0.0215, 0.027, 6
I, 0.335, 0.25, 0.075, 0.186, 0.0945, 0.038, 0.0445, 7
I, 0.375, 0.28, 0.09, 0.215, 0.084, 0.06, 0.055, 6
I, 0.46, 0.36, 0.1, 0.4635, 0.2325, 0.093, 0.115, 7
I, 0.505, 0.355, 0.125, 0.601, 0.25, 0.1205, 0.185, 8
I, 0.51, 0.405, 0.135, 0.769, 0.3655, 0.1585, 0.18, 7
M, 0.535, 0.43, 0.14, 0.7165, 0.2855, 0.1595, 0.2155, 8
F, 0.58, 0.45, 0.145, 1.137, 0.5585, 0.22, 0.29, 8
M, 0.61, 0.475, 0.155, 1.168, 0.554, 0.239, 0.3295, 10
M, 0.625, 0.49, 0.175, 1.3325, 0.5705, 0.271, 0.405, 10
F, 0.625, 0.485, 0.2, 1.38, 0.5845, 0.302, 0.401, 9
M, 0.645, 0.52, 0.175, 1.561, 0.709, 0.3555, 0.4, 8
F, 0.645, 0.5, 0.16, 1.2465, 0.5475, 0.327, 0.3, 10
F, 0.645, 0.515, 0.15, 1.212, 0.515, 0.2055, 0.385, 10
M, 0.67, 0.525, 0.165, 1.6085, 0.682, 0.3145, 0.4005, 11
F, 0.705, 0.535, 0.18, 1.685, 0.693, 0.42, 0.4045, 12
I, 0.375, 0.28, 0.08, 0.2345, 0.1125, 0.0455, 0.067, 6
I, 0.41, 0.3, 0.1, 0.282, 0.1255, 0.057, 0.0875, 7
I, 0.41, 0.325, 0.1, 0.3245, 0.132, 0.072, 0.106, 6
M, 0.47, 0.36, 0.105, 0.544, 0.27, 0.1395, 0.129, 7
I, 0.5, 0.38, 0.125, 0.519, 0.2485, 0.1135, 0.134, 8
