@relation page-blocks
@attribute Height integer [1,  804]
@attribute Lenght integer [1,  553]
@attribute Area integer [7,  143993]
@attribute Eccen real [0.0070,  537.0]
@attribute P_black real [0.052,  1.0]
@attribute P_and real [0.062,  1.0]
@attribute Mean_tr real [1.0,  4955.0]
@attribute Blackpix integer [1,  33017]
@attribute Blackand integer [7,  46133]
@attribute Wb_trans integer [1,  3212]
@attribute Class {1, 2, 3, 4, 5}
@data
6, 4, 24, 0.667, 0.417, 0.708, 2.5, 10, 17, 4, 1
5, 7, 35, 1.4, 0.429, 0.857, 5.0, 15, 30, 3, 1
6, 7, 42, 1.167, 0.405, 0.952, 4.25, 17, 40, 4, 1
13, 25, 325, 1.923, 0.234, 0.286, 10.86, 76, 93, 7, 1
11, 35, 385, 3.182, 0.382, 0.657, 6.13, 147, 253, 24, 1
10, 38, 380, 3.8, 0.426, 0.947, 3.12, 162, 360, 52, 1
10, 53, 530, 5.3, 0.294, 0.819, 1.79, 156, 434, 87, 1
11, 102, 1122, 9.273, 0.223, 0.768, 1.53, 250, 862, 163, 1
12, 56, 672, 4.667, 0.256, 0.827, 2.02, 172, 556, 85, 1
2, 20, 40, 10.0, 0.775, 0.85, 31.0, 31, 34, 1, 2
11, 86, 946, 7.818, 0.413, 0.853, 3.1, 391, 807, 126, 1
11, 101, 1111, 9.182, 0.398, 0.888, 2.76, 442, 987, 160, 1
11, 119, 1309, 10.818, 0.261, 0.798, 1.88, 341, 1045, 181, 1
11, 119, 1309, 10.818, 0.236, 0.747, 1.75, 309, 978, 177, 1
8, 48, 384, 6.0, 0.302, 0.914, 1.76, 116, 351, 66, 1
2, 18, 36, 9.0, 0.722, 0.722, 26.0, 26, 26, 1, 2
7, 17, 119, 2.429, 0.227, 0.58, 2.7, 27, 69, 10, 1
9, 19, 171, 2.111, 0.292, 0.76, 2.63, 50, 130, 19, 1
9, 66, 594, 7.333, 0.323, 0.805, 2.0, 192, 478, 96, 1
9, 34, 306, 3.778, 0.337, 0.817, 1.81, 103, 250, 57, 1
7, 35, 245, 5.0, 0.453, 0.873, 2.47, 111, 214, 45, 1
5, 35, 175, 7.0, 0.2, 0.829, 4.38, 35, 145, 8, 1
3, 16, 48, 5.333, 0.375, 0.938, 2.25, 18, 45, 8, 1
9, 81, 729, 9.0, 0.388, 0.897, 2.38, 283, 654, 119, 1
10, 11, 110, 1.1, 0.382, 1.0, 1.5, 42, 110, 28, 1
9, 32, 288, 3.556, 0.333, 0.861, 1.68, 96, 248, 57, 1
4, 8, 32, 2.0, 0.344, 0.781, 1.83, 11, 25, 6, 1
10, 100, 1000, 10.0, 0.449, 0.874, 2.82, 449, 874, 159, 1
9, 82, 738, 9.111, 0.337, 0.817, 2.01, 249, 603, 124, 1
2, 446, 892, 223.0, 0.439, 0.603, 17.82, 392, 538, 22, 2
48, 402, 19296, 8.375, 0.055, 0.094, 4.13, 1058, 1814, 256, 5
304, 463, 140752, 1.523, 0.063, 0.121, 3.91, 8898, 17081, 2273, 5
9, 76, 684, 8.444, 0.363, 0.874, 2.18, 248, 598, 114, 1
6, 17, 102, 2.833, 0.275, 0.824, 2.0, 28, 84, 14, 1
5, 46, 230, 9.2, 0.278, 0.835, 2.21, 64, 192, 29, 1
19, 462, 8778, 24.316, 0.523, 0.688, 16.88, 4591, 6035, 272, 2
10, 49, 490, 4.9, 0.551, 0.943, 3.07, 270, 462, 88, 1
1, 52, 52, 52.0, 0.538, 1.0, 14.0, 28, 52, 2, 2
22, 26, 572, 1.182, 0.283, 0.918, 1.93, 162, 525, 84, 1
10, 34, 340, 3.4, 0.356, 0.803, 1.83, 121, 273, 66, 1
37, 101, 3737, 2.73, 0.282, 0.695, 2.44, 1053, 2596, 432, 1
10, 21, 210, 2.1, 0.362, 0.819, 2.11, 76, 172, 36, 1
1, 48, 48, 48.0, 0.875, 1.0, 10.5, 42, 48, 4, 2
8, 59, 472, 7.375, 0.292, 0.888, 1.82, 138, 419, 76, 1
9, 23, 207, 2.556, 0.3, 1.0, 1.51, 62, 207, 41, 1
10, 66, 660, 6.6, 0.324, 0.78, 2.25, 214, 515, 95, 1
10, 79, 790, 7.9, 0.347, 0.784, 2.25, 274, 619, 122, 1
10, 80, 800, 8.0, 0.308, 0.838, 2.02, 246, 670, 122, 1
7, 18, 126, 2.571, 0.119, 0.452, 2.14, 15, 57, 7, 1
7, 121, 847, 17.286, 0.276, 0.607, 1.79, 234, 514, 131, 1
11, 8, 88, 0.727, 0.727, 0.989, 10.67, 64, 87, 6, 1
11, 7, 77, 0.636, 0.468, 0.481, 36.0, 36, 37, 1, 1
9, 49, 441, 5.444, 0.592, 0.998, 2.97, 261, 440, 88, 1
9, 78, 702, 8.667, 0.329, 0.896, 2.1, 231, 629, 110, 1
9, 12, 108, 1.333, 0.407, 1.0, 1.57, 44, 108, 28, 1
9, 63, 567, 7.0, 0.298, 0.787, 2.01, 169, 446, 84, 1
11, 75, 825, 6.818, 0.27, 0.679, 2.08, 223, 560, 107, 1
8, 12, 96, 1.5, 0.469, 1.0, 1.61, 45, 96, 28, 1
12, 102, 1224, 8.5, 0.257, 0.804, 1.77, 315, 984, 178, 1
12, 26, 312, 2.167, 0.224, 0.907, 1.63, 70, 283, 43, 1
11, 86, 946, 7.818, 0.289, 0.701, 1.98, 273, 663, 138, 1
8, 6, 48, 0.75, 0.583, 0.813, 7.0, 28, 39, 4, 1
9, 99, 891, 11.0, 0.461, 0.906, 2.65, 411, 807, 155, 1
8, 14, 112, 1.75, 0.268, 0.554, 3.0, 30, 62, 10, 1
11, 21, 231, 1.909, 0.316, 0.58, 4.29, 73, 134, 17, 1
10, 67, 670, 6.7, 0.291, 0.649, 2.17, 195, 435, 90, 1
9, 32, 288, 3.556, 0.354, 0.806, 1.7, 102, 232, 60, 1
10, 80, 800, 8.0, 0.279, 0.8, 1.92, 223, 640, 116, 1
12, 72, 864, 6.0, 0.281, 0.807, 2.15, 243, 697, 113, 1
9, 81, 729, 9.0, 0.328, 0.916, 2.04, 239, 668, 117, 1
11, 8, 88, 0.727, 0.261, 1.0, 2.09, 23, 88, 11, 1
9, 75, 675, 8.333, 0.373, 0.913, 2.23, 252, 616, 113, 1
10, 101, 1010, 10.1, 0.45, 0.869, 2.95, 455, 878, 154, 1
9, 85, 765, 9.444, 0.308, 0.744, 1.95, 236, 569, 121, 1
9, 43, 387, 4.778, 0.47, 0.948, 3.31, 182, 367, 55, 1
9, 42, 378, 4.667, 0.344, 0.931, 2.13, 130, 352, 61, 1
9, 130, 1170, 14.444, 0.513, 0.925, 2.86, 600, 1082, 210, 1
9, 21, 189, 2.333, 0.365, 0.905, 2.3, 69, 171, 30, 1
11, 82, 902, 7.455, 0.236, 0.814, 1.97, 213, 734, 108, 1
9, 21, 189, 2.333, 0.323, 0.81, 1.79, 61, 153, 34, 1
8, 7, 56, 0.875, 0.321, 0.429, 6.0, 18, 24, 3, 1
9, 32, 288, 3.556, 0.299, 0.691, 2.1, 86, 199, 41, 1
8, 46, 368, 5.75, 0.315, 0.938, 1.78, 116, 345, 65, 1
10, 44, 440, 4.4, 0.441, 0.92, 2.94, 194, 405, 66, 1
14, 301, 4214, 21.5, 0.257, 0.564, 2.37, 1084, 2378, 458, 1
9, 123, 1107, 13.667, 0.359, 0.898, 2.78, 397, 994, 143, 1
261, 30, 7830, 0.115, 0.063, 0.09, 2.4, 492, 701, 205, 4
8, 3, 24, 0.375, 0.5, 0.667, 3.0, 12, 16, 4, 1
8, 3, 24, 0.375, 0.458, 0.708, 2.75, 11, 17, 4, 1
10, 8, 80, 0.8, 0.688, 1.0, 9.17, 55, 80, 6, 1
10, 9, 90, 0.9, 0.522, 0.656, 9.4, 47, 59, 5, 1
8, 21, 168, 2.625, 0.548, 1.0, 3.54, 92, 168, 26, 1
12, 72, 864, 6.0, 0.228, 0.78, 1.79, 197, 674, 110, 1
9, 97, 873, 10.778, 0.317, 0.863, 1.76, 277, 753, 157, 1
11, 26, 286, 2.364, 0.283, 0.888, 2.19, 81, 254, 37, 1
8, 76, 608, 9.5, 0.388, 0.903, 2.11, 236, 549, 112, 1
10, 116, 1160, 11.6, 0.273, 0.797, 1.7, 317, 925, 186, 1
10, 131, 1310, 13.1, 0.487, 0.856, 2.94, 638, 1121, 217, 1
36, 172, 6192, 4.778, 0.128, 0.337, 4.84, 793, 2086, 164, 5
13, 116, 1508, 8.923, 0.279, 0.658, 2.3, 421, 992, 183, 1
11, 1, 11, 0.091, 1.0, 1.0, 11.0, 11, 11, 1, 4
9, 34, 306, 3.778, 0.366, 0.846, 2.38, 112, 259, 47, 1
7, 46, 322, 6.571, 0.304, 0.963, 2.58, 98, 310, 38, 1
3, 54, 162, 18.0, 0.364, 0.519, 8.43, 59, 84, 7, 2
6, 181, 1086, 30.167, 0.298, 0.684, 1.69, 324, 743, 192, 1
8, 71, 568, 8.875, 0.407, 0.903, 2.06, 231, 513, 112, 1
5, 99, 495, 19.8, 0.356, 0.881, 1.5, 176, 436, 117, 1
13, 407, 5291, 31.308, 0.266, 0.649, 2.31, 1406, 3435, 609, 1
11, 63, 693, 5.727, 0.332, 0.724, 2.77, 230, 502, 83, 1
6, 114, 684, 19.0, 0.278, 0.741, 1.76, 190, 507, 108, 1
7, 28, 196, 4.0, 0.337, 0.99, 2.13, 66, 194, 31, 1
22, 71, 1562, 3.227, 0.487, 0.834, 10.13, 760, 1302, 75, 1
12, 129, 1548, 10.75, 0.303, 0.711, 2.51, 469, 1100, 187, 1
11, 33, 363, 3.0, 0.295, 0.694, 1.98, 107, 252, 54, 1
22, 71, 1562, 3.227, 0.519, 0.843, 11.25, 810, 1317, 72, 1
8, 70, 560, 8.75, 0.463, 0.986, 2.31, 259, 552, 112, 1
11, 29, 319, 2.636, 0.408, 0.765, 3.1, 130, 244, 42, 1
6, 100, 600, 16.667, 0.385, 0.828, 1.72, 231, 497, 134, 1
9, 9, 81, 1.0, 0.63, 0.802, 5.1, 51, 65, 10, 1
8, 183, 1464, 22.875, 0.288, 0.664, 2.08, 421, 972, 202, 1
11, 37, 407, 3.364, 0.371, 0.899, 2.01, 151, 366, 75, 1
12, 497, 5964, 41.417, 0.278, 0.751, 2.27, 1657, 4478, 731, 1
8, 27, 216, 3.375, 0.218, 0.852, 2.24, 47, 184, 21, 1
9, 76, 684, 8.444, 0.436, 0.955, 2.37, 298, 653, 126, 1
8, 93, 744, 11.625, 0.261, 0.937, 1.55, 194, 697, 125, 1
7, 115, 805, 16.429, 0.273, 0.704, 1.72, 220, 567, 128, 1
8, 69, 552, 8.625, 0.312, 0.842, 1.91, 172, 465, 90, 1
9, 91, 819, 10.111, 0.233, 0.789, 1.71, 191, 646, 112, 1
8, 127, 1016, 15.875, 0.314, 0.825, 1.98, 319, 838, 161, 1
11, 104, 1144, 9.455, 0.377, 0.779, 2.57, 431, 891, 168, 1
2, 6, 12, 3.0, 0.667, 1.0, 4.0, 8, 12, 2, 2
9, 108, 972, 12.0, 0.364, 0.794, 2.15, 354, 772, 165, 1
11, 104, 1144, 9.455, 0.367, 0.747, 2.56, 420, 854, 164, 1
6, 89, 534, 14.833, 0.403, 0.82, 2.03, 215, 438, 106, 1
18, 64, 1152, 3.556, 0.261, 0.705, 3.24, 301, 812, 93, 1
10, 26, 260, 2.6, 0.312, 0.577, 2.03, 81, 150, 40, 1
13, 13, 169, 1.0, 0.124, 0.45, 3.5, 21, 76, 6, 5
8, 271, 2168, 33.875, 0.314, 0.819, 1.82, 681, 1775, 375, 1
8, 21, 168, 2.625, 0.28, 0.923, 1.38, 47, 155, 34, 1
7, 6, 42, 0.857, 0.214, 0.286, 9.0, 9, 12, 1, 1
7, 7, 49, 1.0, 0.367, 1.0, 1.38, 18, 49, 13, 1
100, 49, 4900, 0.49, 0.093, 0.4, 1.77, 458, 1958, 259, 5
7, 47, 329, 6.714, 0.158, 0.289, 5.78, 52, 95, 9, 5
