@relation penbased
@Attribute At1 integer [0,  100]
@Attribute At2 integer [0,  100]
@Attribute At3 integer [0,  100]
@Attribute At4 integer [0,  100]
@Attribute At5 integer [0,  100]
@Attribute At6 integer [0,  100]
@Attribute At7 integer [0,  100]
@Attribute At8 integer [0,  100]
@Attribute At9 integer [0,  100]
@Attribute At10 integer [0,  100]
@Attribute At11 integer [0,  100]
@Attribute At12 integer [0,  100]
@Attribute At13 integer [0,  100]
@Attribute At14 integer [0,  100]
@Attribute At15 integer [0,  100]
@Attribute At16 integer [0,  100]
@Attribute Class {0,1,2,3,4,5,6,7,8,9}
@data
0, 100, 3, 72, 26, 35, 85, 35, 100, 71, 73, 97, 65, 49, 66, 0, 4
91, 74, 54, 100, 0, 87, 23, 59, 81, 67, 100, 39, 79, 4, 21, 0, 9
8, 77, 47, 100, 100, 96, 71, 66, 100, 46, 99, 13, 46, 0, 0, 13, 3
33, 58, 19, 90, 78, 100, 91, 62, 51, 28, 0, 2, 37, 1, 100, 0, 2
14, 91, 9, 52, 28, 10, 74, 0, 100, 38, 86, 81, 43, 100, 0, 80, 0
22, 93, 0, 95, 50, 97, 100, 100, 67, 81, 43, 56, 28, 28, 30, 0, 7
52, 91, 72, 100, 87, 70, 57, 43, 100, 45, 90, 15, 43, 0, 0, 12, 3
40, 79, 61, 100, 78, 72, 46, 41, 0, 16, 1, 5, 61, 1, 100, 0, 2
47, 100, 40, 82, 18, 49, 0, 19, 53, 20, 92, 34, 94, 35, 100, 0, 4
0, 100, 67, 100, 86, 72, 56, 37, 34, 0, 6, 33, 32, 45, 100, 46, 7
54, 93, 0, 88, 54, 46, 70, 0, 5, 9, 54, 52, 100, 96, 7, 100, 8
84, 100, 46, 98, 13, 60, 0, 19, 53, 0, 100, 32, 33, 36, 10, 4, 6
14, 100, 1, 54, 51, 47, 36, 0, 0, 14, 6, 71, 42, 93, 100, 97, 5
0, 70, 53, 88, 64, 100, 62, 78, 70, 57, 83, 36, 100, 14, 98, 0, 1
0, 78, 18, 96, 59, 95, 100, 100, 86, 82, 66, 56, 52, 29, 47, 0, 7
21, 92, 85, 100, 90, 67, 67, 34, 49, 0, 0, 26, 27, 43, 100, 42, 7
83, 86, 44, 100, 0, 74, 58, 67, 100, 94, 89, 63, 77, 31, 75, 0, 9
0, 97, 43, 100, 58, 62, 41, 17, 26, 0, 8, 36, 54, 34, 100, 33, 7
67, 100, 36, 82, 0, 60, 5, 37, 66, 38, 100, 50, 73, 25, 56, 0, 4
100, 100, 68, 96, 38, 70, 14, 44, 0, 14, 36, 0, 51, 23, 3, 28, 6
0, 96, 45, 100, 100, 99, 79, 83, 60, 63, 45, 42, 36, 21, 33, 0, 7
27, 92, 22, 53, 58, 28, 18, 0, 0, 32, 13, 85, 50, 98, 100, 100, 5
0, 96, 40, 100, 60, 66, 58, 27, 41, 0, 20, 35, 54, 42, 100, 46, 7
92, 73, 32, 63, 0, 86, 51, 100, 100, 82, 96, 51, 64, 23, 21, 0, 9
0, 74, 28, 100, 69, 99, 79, 63, 59, 28, 28, 0, 57, 0, 100, 2, 2
76, 82, 34, 77, 0, 84, 55, 100, 100, 85, 77, 52, 38, 25, 3, 0, 9
34, 79, 66, 100, 83, 72, 52, 51, 100, 49, 91, 13, 43, 0, 0, 14, 3
85, 100, 56, 72, 42, 39, 55, 7, 100, 0, 95, 30, 46, 37, 0, 23, 6
62, 45, 95, 75, 69, 100, 4, 86, 0, 59, 74, 57, 100, 32, 94, 0, 9
0, 89, 41, 94, 87, 100, 100, 98, 80, 75, 68, 50, 59, 25, 60, 0, 7
33, 80, 23, 100, 87, 96, 97, 68, 79, 44, 100, 16, 44, 0, 0, 22, 3
100, 96, 66, 100, 63, 85, 85, 88, 78, 53, 66, 20, 35, 0, 0, 12, 9
100, 100, 54, 90, 17, 66, 0, 35, 16, 5, 66, 0, 66, 29, 22, 47, 6
74, 100, 30, 76, 0, 50, 55, 49, 100, 72, 77, 56, 52, 28, 35, 0, 4
54, 85, 100, 100, 99, 98, 49, 86, 23, 60, 63, 34, 50, 1, 0, 0, 5
100, 97, 66, 100, 30, 88, 24, 55, 54, 59, 61, 27, 38, 0, 0, 1, 5
92, 65, 50, 100, 0, 82, 47, 46, 87, 6, 42, 0, 54, 45, 100, 79, 8
0, 84, 40, 100, 76, 71, 65, 33, 32, 0, 5, 28, 42, 44, 100, 46, 7
0, 52, 37, 73, 76, 94, 100, 100, 75, 75, 53, 49, 35, 22, 28, 0, 1
38, 76, 58, 100, 21, 65, 0, 27, 44, 0, 100, 22, 45, 36, 22, 8, 6
5, 85, 50, 100, 79, 77, 54, 50, 85, 44, 100, 22, 56, 2, 0, 0, 3
0, 69, 10, 54, 67, 37, 47, 0, 14, 13, 17, 54, 34, 92, 100, 100, 5
100, 99, 56, 100, 31, 65, 87, 73, 98, 90, 94, 48, 61, 13, 0, 0, 9
100, 100, 51, 85, 18, 58, 0, 28, 17, 0, 78, 1, 68, 20, 8, 12, 6
100, 100, 26, 97, 1, 66, 45, 33, 29, 0, 0, 26, 38, 61, 87, 93, 8
0, 100, 67, 94, 83, 65, 57, 33, 41, 0, 0, 20, 29, 31, 100, 32, 7
100, 66, 56, 100, 23, 73, 77, 34, 65, 0, 0, 24, 55, 58, 73, 77, 8
12, 86, 62, 100, 92, 86, 54, 64, 81, 46, 100, 22, 62, 0, 0, 5, 3
0, 96, 45, 98, 100, 100, 97, 83, 77, 62, 60, 39, 52, 17, 55, 0, 7
0, 92, 39, 100, 67, 79, 50, 37, 24, 0, 17, 22, 52, 41, 100, 46, 7
35, 96, 100, 100, 44, 93, 0, 73, 27, 60, 85, 46, 76, 17, 21, 0, 5
86, 71, 72, 100, 32, 75, 55, 35, 42, 0, 0, 17, 48, 45, 100, 70, 8
31, 100, 4, 70, 0, 37, 66, 36, 100, 50, 66, 68, 36, 34, 14, 0, 4
20, 85, 0, 61, 18, 22, 50, 0, 86, 11, 100, 51, 79, 87, 45, 100, 0
29, 100, 3, 82, 0, 52, 60, 51, 100, 78, 90, 56, 81, 27, 75, 0, 4
13, 95, 17, 66, 83, 35, 77, 0, 0, 14, 42, 49, 100, 81, 34, 100, 8
52, 96, 84, 100, 100, 79, 73, 58, 84, 35, 90, 11, 47, 0, 0, 5, 3
0, 96, 10, 100, 59, 99, 100, 87, 93, 64, 69, 43, 44, 22, 25, 0, 7
14, 99, 16, 67, 67, 33, 74, 0, 0, 17, 44, 48, 100, 77, 39, 100, 8
0, 82, 37, 62, 83, 30, 65, 0, 46, 32, 81, 66, 100, 100, 23, 90, 8
45, 100, 14, 69, 61, 42, 46, 0, 0, 3, 15, 50, 42, 91, 100, 96, 5
62, 99, 19, 100, 55, 82, 71, 98, 99, 58, 100, 14, 49, 0, 0, 20, 9
100, 86, 63, 100, 20, 78, 22, 43, 76, 47, 90, 13, 36, 0, 0, 24, 5
85, 87, 48, 72, 0, 73, 34, 100, 82, 96, 89, 64, 87, 31, 100, 0, 9
31, 100, 0, 62, 37, 38, 100, 43, 88, 80, 66, 85, 62, 42, 51, 0, 4
19, 78, 29, 36, 13, 0, 8, 27, 58, 49, 100, 79, 55, 100, 0, 88, 8
20, 82, 35, 100, 73, 87, 42, 60, 72, 49, 100, 26, 57, 4, 0, 0, 3
0, 69, 29, 100, 77, 97, 39, 64, 61, 38, 100, 10, 47, 0, 2, 15, 3
100, 84, 27, 100, 0, 85, 0, 68, 13, 51, 20, 34, 27, 17, 60, 0, 1
42, 49, 34, 94, 81, 100, 85, 53, 48, 16, 0, 0, 45, 3, 100, 3, 2
15, 59, 57, 81, 100, 100, 79, 72, 65, 44, 53, 15, 0, 1, 21, 0, 1
0, 0, 42, 10, 79, 33, 100, 64, 89, 96, 40, 100, 22, 73, 67, 64, 9
25, 79, 35, 100, 78, 78, 50, 50, 68, 48, 100, 21, 59, 0, 0, 11, 3
0, 83, 32, 100, 75, 89, 39, 69, 49, 49, 100, 35, 70, 15, 21, 0, 3
42, 100, 93, 98, 79, 64, 51, 31, 15, 0, 0, 30, 25, 53, 100, 52, 7
48, 53, 10, 54, 0, 0, 49, 6, 88, 48, 100, 100, 48, 84, 7, 44, 0
0, 42, 10, 60, 68, 83, 100, 100, 77, 75, 61, 50, 48, 25, 35, 0, 1
17, 100, 17, 69, 60, 36, 30, 0, 0, 20, 0, 73, 41, 91, 100, 92, 5
55, 70, 73, 100, 62, 66, 49, 26, 30, 0, 0, 2, 50, 3, 100, 6, 1
61, 77, 78, 100, 94, 76, 77, 43, 47, 15, 0, 1, 47, 0, 100, 4, 2
0, 87, 32, 100, 67, 84, 48, 50, 16, 23, 16, 2, 58, 3, 100, 0, 2
46, 94, 13, 69, 0, 28, 32, 0, 77, 7, 100, 44, 85, 83, 43, 100, 0
0, 52, 56, 73, 100, 100, 91, 85, 88, 51, 89, 16, 42, 0, 93, 6, 1
83, 85, 57, 77, 60, 83, 65, 100, 72, 55, 87, 10, 0, 0, 100, 2, 1
0, 92, 33, 100, 97, 83, 82, 41, 59, 0, 100, 9, 82, 37, 7, 45, 7
9, 78, 39, 100, 86, 87, 51, 58, 79, 50, 100, 19, 54, 0, 0, 11, 3
63, 93, 36, 100, 30, 74, 58, 85, 80, 53, 100, 20, 60, 0, 0, 8, 9
43, 82, 85, 44, 100, 3, 17, 0, 0, 34, 62, 64, 90, 100, 7, 95, 8
0, 63, 23, 100, 56, 78, 48, 34, 19, 0, 11, 13, 55, 23, 100, 11, 2
0, 61, 33, 71, 66, 86, 100, 100, 94, 77, 79, 52, 66, 26, 62, 0, 1
48, 100, 18, 59, 43, 74, 53, 82, 41, 22, 0, 0, 38, 1, 100, 0, 1
62, 100, 27, 82, 0, 51, 2, 19, 51, 0, 100, 18, 62, 40, 20, 22, 6
100, 100, 55, 99, 39, 73, 91, 84, 86, 76, 68, 47, 43, 20, 0, 0, 9
0, 77, 33, 100, 55, 71, 45, 35, 14, 8, 9, 19, 56, 17, 100, 0, 2
24, 91, 67, 100, 61, 65, 36, 33, 0, 6, 0, 13, 50, 3, 100, 0, 2
0, 60, 42, 80, 90, 100, 100, 97, 84, 72, 68, 47, 55, 22, 45, 0, 1
0, 94, 61, 100, 100, 77, 83, 44, 58, 13, 44, 0, 25, 29, 97, 36, 7
31, 85, 63, 100, 75, 71, 39, 43, 0, 17, 11, 4, 58, 1, 100, 0, 2
46, 88, 78, 100, 79, 67, 65, 47, 100, 32, 75, 7, 37, 0, 0, 5, 3
69, 97, 0, 90, 24, 45, 81, 3, 0, 0, 46, 45, 100, 89, 20, 100, 8
54, 96, 60, 67, 87, 34, 48, 0, 14, 26, 0, 72, 40, 100, 100, 99, 5
0, 92, 51, 100, 100, 98, 83, 57, 71, 14, 59, 0, 44, 33, 97, 42, 7
33, 100, 13, 89, 0, 61, 49, 58, 100, 76, 63, 55, 37, 28, 20, 0, 4
11, 84, 0, 34, 35, 0, 84, 19, 100, 67, 65, 100, 21, 70, 11, 24, 0
7, 86, 44, 100, 54, 70, 30, 39, 0, 13, 14, 4, 57, 2, 100, 0, 2
30, 84, 70, 100, 78, 69, 63, 38, 34, 10, 0, 12, 46, 14, 100, 0, 2
