@relation twonorm
@attribute A1 real [-4.2497,  3.5782]
@attribute A2 real [-3.9606,  4.3451]
@attribute A3 real [-4.4798,  4.4039]
@attribute A4 real [-3.8891,  4.2589]
@attribute A5 real [-3.9099,  5.6395]
@attribute A6 real [-4.0095,  3.9901]
@attribute A7 real [-3.7334,  4.4522]
@attribute A8 real [-4.5744,  3.8648]
@attribute A9 real [-3.8136,  4.254]
@attribute A10 real [-4.1999,  4.0829]
@attribute A11 real [-3.9204,  4.0953]
@attribute A12 real [-3.8262,  4.3025]
@attribute A13 real [-3.9451,  3.7817]
@attribute A14 real [-3.8516,  4.1238]
@attribute A15 real [-3.6978,  3.5485]
@attribute A16 real [-3.6976,  4.2439]
@attribute A17 real [-3.9428,  3.7233]
@attribute A18 real [-4.0653,  4.0557]
@attribute A19 real [-4.1218,  4.3238]
@attribute A20 real [-3.7831,  4.279]
@attribute Class {0, 1}
@data
-1.1085, 0.8295, -1.0473, -1.5558, 0.6791, -0.0202, -1.5196, 0.4485, 1.3138, -0.9154, -1.0799, -1.3414, 0.6303, -0.13, -0.1113, 0.0918, -0.6247, -0.028, -0.6141, -1.3867, 1
0.7522, -0.1899, 0.5606, 0.3304, -0.1008, 1.4079, -0.5027, -0.484, 0.1268, -0.4863, -1.011, -1.2447, -0.6688, -0.1173, -0.4243, -0.5565, -0.7752, 1.8749, 0.7594, 2.3512, 0
1.6971, -0.5382, 0.4609, -0.4952, 1.2847, -1.1886, 1.1339, -0.9486, 1.3676, 1.601, 1.2129, 0.213, 0.7559, 1.3912, 0.2784, -1.3001, -0.4163, 1.1609, -0.4601, 0.1687, 0
1.149, 0.9633, 0.3777, -0.2037, -0.6592, 1.2039, 2.9136, 0.5674, 1.4107, 0.7222, -0.3375, 1.4807, -0.9807, 1.6085, 0.9985, 0.2475, 1.2408, 1.5107, -0.15, 0.1237, 0
0.7075, 0.3998, -0.0818, -0.8427, 0.2437, 2.0538, 0.215, 1.3763, -1.305, -0.2033, 0.27, -1.1172, -0.4084, -1.1397, 0.55, -0.5076, -0.4972, 0.886, 2.3787, 1.0751, 0
-1.3413, 0.7071, -0.3894, -1.7727, 0.5828, -0.2171, -2.4343, 0.0025, -0.0077, -1.2153, -0.3426, -1.3633, -0.8748, -0.4961, -0.7337, -0.1551, -0.199, -1.2072, 0.5351, 0.1769, 1
0.2886, 0.4991, -1.3311, 0.9328, -0.303, 1.686, 0.5484, 0.5402, 0.7906, 0.449, 1.7394, 1.0946, 0.477, 1.5651, 0.8559, -0.3973, 1.7649, 1.4677, 0.348, -0.9644, 0
0.4492, -1.7159, -0.6053, 1.542, -2.2849, -0.3464, -0.0868, 0.7383, 0.9349, -1.2743, -2.6372, -0.6378, 0.0882, -0.9884, -2.1401, 0.239, -1.0099, 1.4092, -0.8953, 0.3217, 1
-0.537, 0.0463, 0.2819, 0.1771, -0.5326, -1.0219, -0.9146, -0.1285, -0.1269, -0.9997, -1.3398, 0.102, -0.8245, -1.9261, -0.5761, -1.4477, 0.0346, 0.2253, 0.394, -1.4961, 1
0.919, -0.3194, -0.7527, 1.3388, 0.7651, 1.3998, 0.2699, 0.0486, -0.3535, 0.4411, 0.2938, -0.2008, 0.0218, 0.2071, 0.0575, -0.1181, -0.0477, 3.7287, -0.0164, 0.7831, 0
1.6669, -0.3839, -0.228, -0.2157, 0.3393, 1.2026, -0.6364, 0.9286, 2.3878, 0.4135, 1.0023, 1.6342, 0.4313, 0.4524, 1.0874, 1.359, 1.7171, -1.5873, 1.6716, 3.2649, 0
