@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0,  8025.0]
@attribute A3 real [0.0,  26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0,  14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0,  67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0,  2000]
@attribute A15 integer [0,  100000]
@attribute Class {positive, negative}
@data
b,2783.0,154.0,u,g,w,v,375.0,t,t,5,t,g,100,3,positive
b,3208.0,4.0,u,g,m,v,25.0,t,f,0,t,g,360,0,positive
a,4583.0,105.0,u,g,q,v,5.0,t,t,7,t,g,0,0,positive
b,5658.0,185.0,u,g,d,bb,15.0,t,t,17,t,g,0,0,positive
b,4208.0,104.0,u,g,w,v,5.0,t,t,6,t,g,500,10000,positive
b,495.0,7585.0,u,g,i,bb,7585.0,t,t,15,t,g,0,5000,positive
b,2725.0,1585.0,u,g,cc,h,1835.0,t,t,12,t,g,583,713,positive
b,2775.0,585.0,y,p,cc,v,25.0,t,t,2,f,g,260,500,positive
b,3958.0,13915.0,u,g,w,v,8625.0,t,t,6,t,g,70,0,positive
b,2317.0,0.0,u,g,cc,v,85.0,t,f,0,f,g,0,0,positive
b,4325.0,3.0,u,g,q,h,6.0,t,t,11,f,g,80,0,positive
b,3167.0,16165.0,u,g,d,v,3.0,t,t,9,f,g,250,730,positive
a,2042.0,835.0,u,g,q,v,1585.0,t,t,1,f,g,0,0,positive
b,2667.0,425.0,u,g,cc,v,429.0,t,t,1,t,g,120,0,positive
b,34.0,45.0,u,g,aa,v,1.0,t,f,0,t,g,240,0,negative
a,2842.0,35.0,u,g,w,v,835.0,t,f,0,f,s,280,0,positive
a,6058.0,165.0,u,g,q,v,11.0,t,f,0,t,g,21,10561,positive
b,27.0,15.0,y,p,w,v,375.0,t,f,0,t,g,260,1065,positive
